#      x          Cp  
     1.00000    0.47212
     0.99212    0.24396
     0.98198    0.17546
     0.97049    0.11287
     0.95748    0.05871
     0.94305    0.00786
     0.92770   -0.03979
     0.91210   -0.08381
     0.89666   -0.12431
     0.88141   -0.16207
     0.86623   -0.19797
     0.85107   -0.23258
     0.83585   -0.26629
     0.82054   -0.29938
     0.80515   -0.33203
     0.78966   -0.36432
     0.77412   -0.39632
     0.75855   -0.42814
     0.74297   -0.45985
     0.72740   -0.49159
     0.71185   -0.52346
     0.69633   -0.55588
     0.68082   -0.58914
     0.66535   -0.62282
     0.64989   -0.65675
     0.63444   -0.69081
     0.61901   -0.72487
     0.60358   -0.75875
     0.58816   -0.79192
     0.57273   -0.82462
     0.55729   -0.85721
     0.54185   -0.88980
     0.52640   -0.92255
     0.51095   -0.95559
     0.49550   -0.98927
     0.48006   -1.02384
     0.46465   -1.05892
     0.44925   -1.09443
     0.43388   -1.13031
     0.41852   -1.16654
     0.40318   -1.20308
     0.38784   -1.23975
     0.37249   -1.27686
     0.35714   -1.31474
     0.34178   -1.35369
     0.32643   -1.39415
     0.31111   -1.43660
     0.29586   -1.48274
     0.28069   -1.53381
     0.26564   -1.58760
     0.25072   -1.64346
     0.23592   -1.70111
     0.22122   -1.76049
     0.20659   -1.82176
     0.19199   -1.88489
     0.17740   -1.95151
     0.16287   -2.02473
     0.14856   -2.11319
     0.13469   -2.22978
     0.12137   -2.35006
     0.10856   -2.46188
     0.09610   -2.53822
     0.08380   -2.56993
     0.07177   -2.64487
     0.06047   -2.79666
     0.05028   -2.92834
     0.04132   -2.99992
     0.03357   -3.08274
     0.02695   -3.21260
     0.02129   -3.48142
     0.01653   -3.76660
     0.01267   -4.00948
     0.00961   -4.35683
     0.00718   -4.74369
     0.00526   -5.14087
     0.00371   -5.53940
     0.00249   -5.92046
     0.00153   -6.25160
     0.00081   -6.48040
     0.00032   -6.53118
     0.00005   -6.31410
     0.00000   -5.72070
     0.00019   -4.69816
     0.00061   -3.59401
     0.00125   -2.57575
     0.00212   -1.70334
     0.00324   -0.98788
     0.00464   -0.41686
     0.00636    0.03002
     0.00846    0.37324
     0.01103    0.62958
     0.01414    0.81191
     0.01786    0.92924
     0.02225    0.98715
     0.02737    0.99974
     0.03341    0.98372
     0.04065    0.94941
     0.04945    0.90469
     0.06001    0.85487
     0.07222    0.80622
     0.08556    0.75847
     0.09955    0.71358
     0.11402    0.67697
     0.12905    0.64692
     0.14461    0.62108
     0.16048    0.59387
     0.17626    0.56558
     0.19176    0.53961
     0.20698    0.51888
     0.22205    0.50404
     0.23712    0.49249
     0.25229    0.48338
     0.26763    0.47596
     0.28318    0.46952
     0.29895    0.46306
     0.31490    0.45466
     0.33096    0.44533
     0.34706    0.43576
     0.36315    0.42619
     0.37925    0.41681
     0.39532    0.40784
     0.41136    0.39975
     0.42739    0.39240
     0.44342    0.38551
     0.45947    0.37899
     0.47552    0.37276
     0.49160    0.36675
     0.50769    0.36082
     0.52379    0.35493
     0.53989    0.34917
     0.55599    0.34356
     0.57209    0.33811
     0.58820    0.33283
     0.60430    0.32774
     0.62040    0.32286
     0.63649    0.31815
     0.65257    0.31362
     0.66866    0.30924
     0.68474    0.30501
     0.70084    0.30092
     0.71693    0.29697
     0.73300    0.29318
     0.74905    0.28955
     0.76508    0.28610
     0.78112    0.28284
     0.79719    0.27978
     0.81327    0.27695
     0.82925    0.27441
     0.84514    0.27220
     0.86097    0.27037
     0.87678    0.26899
     0.89266    0.26820
     0.90869    0.26822
     0.92465    0.26939
     0.94062    0.27232
     0.95579    0.27786
     0.96943    0.28708
     0.98139    0.30268
     0.99189    0.32647
     1.00000    0.47212
