#      x          Cp  
     1.00000    0.46844
     0.99181    0.24323
     0.98043    0.16921
     0.96725    0.10081
     0.95286    0.04263
     0.93788   -0.00840
     0.92263   -0.05353
     0.90723   -0.09504
     0.89177   -0.13416
     0.87628   -0.17162
     0.86077   -0.20771
     0.84525   -0.24267
     0.82973   -0.27671
     0.81420   -0.31003
     0.79867   -0.34274
     0.78314   -0.37490
     0.76759   -0.40674
     0.75204   -0.43838
     0.73648   -0.46995
     0.72092   -0.50161
     0.70535   -0.53356
     0.68978   -0.56642
     0.67422   -0.60008
     0.65868   -0.63416
     0.64317   -0.66850
     0.62766   -0.70288
     0.61218   -0.73726
     0.59671   -0.77123
     0.58125   -0.80423
     0.56578   -0.83695
     0.55030   -0.86953
     0.53482   -0.90228
     0.51933   -0.93546
     0.50385   -0.96928
     0.48837   -1.00477
     0.47291   -1.04171
     0.45749   -1.07940
     0.44210   -1.11730
     0.42674   -1.15506
     0.41142   -1.19247
     0.39611   -1.22789
     0.38080   -1.25982
     0.36545   -1.29072
     0.35005   -1.32228
     0.33461   -1.35627
     0.31913   -1.39433
     0.30363   -1.43861
     0.28819   -1.49922
     0.27291   -1.57295
     0.25786   -1.65374
     0.24304   -1.73755
     0.22845   -1.82191
     0.21409   -1.90475
     0.19993   -1.98153
     0.18591   -2.04326
     0.17198   -2.09616
     0.15810   -2.14783
     0.14432   -2.20739
     0.13072   -2.27851
     0.11738   -2.35875
     0.10438   -2.44420
     0.09176   -2.52549
     0.07957   -2.62576
     0.06812   -2.79094
     0.05771   -2.97981
     0.04849   -3.17468
     0.04045   -3.34703
     0.03353   -3.51918
     0.02768   -3.61214
     0.02274   -3.61608
     0.01857   -3.53859
     0.01501   -3.41949
     0.01196   -3.42154
     0.00935   -3.65204
     0.00713   -3.96896
     0.00527   -4.31899
     0.00372   -4.67220
     0.00244   -5.04187
     0.00143   -5.38189
     0.00067   -5.59933
     0.00018   -5.72695
    -0.00005   -5.45061
    -0.00000   -4.67722
     0.00032   -3.78302
     0.00093   -2.66291
     0.00181   -1.70483
     0.00296   -0.95948
     0.00436   -0.37638
     0.00604    0.06248
     0.00800    0.39103
     0.01027    0.62602
     0.01292    0.80030
     0.01600    0.91695
     0.01963    0.97841
     0.02392    0.99933
     0.02910    0.99445
     0.03535    0.97308
     0.04275    0.93740
     0.05141    0.89282
     0.06156    0.84645
     0.07336    0.80334
     0.08671    0.76112
     0.10091    0.71794
     0.11554    0.68027
     0.13050    0.64698
     0.14567    0.61780
     0.16099    0.59251
     0.17644    0.57055
     0.19201    0.55149
     0.20769    0.53479
     0.22347    0.52004
     0.23935    0.50703
     0.25531    0.49550
     0.27135    0.48512
     0.28746    0.47557
     0.30360    0.46627
     0.31975    0.45660
     0.33592    0.44704
     0.35211    0.43773
     0.36831    0.42869
     0.38451    0.41998
     0.40072    0.41166
     0.41692    0.40381
     0.43313    0.39637
     0.44933    0.38924
     0.46555    0.38239
     0.48176    0.37580
     0.49797    0.36944
     0.51418    0.36324
     0.53040    0.35721
     0.54661    0.35137
     0.56283    0.34570
     0.57904    0.34022
     0.59526    0.33490
     0.61147    0.32976
     0.62769    0.32479
     0.64391    0.31998
     0.66012    0.31532
     0.67634    0.31083
     0.69255    0.30647
     0.70877    0.30227
     0.72499    0.29823
     0.74120    0.29434
     0.75742    0.29062
     0.77364    0.28708
     0.78985    0.28375
     0.80607    0.28063
     0.82228    0.27776
     0.83850    0.27519
     0.85471    0.27296
     0.87092    0.27116
     0.88712    0.26991
     0.90330    0.26939
     0.91943    0.26987
     0.93541    0.27183
     0.95111    0.27611
     0.96614    0.28423
     0.97983    0.29936
     0.99158    0.32391
     1.00000    0.46844
