#      x          Cp  
     1.00000    0.48518
     0.99197    0.28723
     0.98158    0.24073
     0.96971    0.20021
     0.95616    0.16562
     0.94102    0.13221
     0.92491    0.09930
     0.90862    0.06735
     0.89253    0.03674
     0.87659    0.00703
     0.86068   -0.02285
     0.84473   -0.05349
     0.82869   -0.08552
     0.81256   -0.11951
     0.79638   -0.15703
     0.78022   -0.19945
     0.76417   -0.24407
     0.74825   -0.28952
     0.73245   -0.33451
     0.71676   -0.37754
     0.70111   -0.41597
     0.68543   -0.44369
     0.66964   -0.46536
     0.65370   -0.48433
     0.63759   -0.50249
     0.62131   -0.52195
     0.60493   -0.54532
     0.58852   -0.57999
     0.57220   -0.62365
     0.55601   -0.67139
     0.53999   -0.72148
     0.52411   -0.77211
     0.50831   -0.82166
     0.49253   -0.86454
     0.47666   -0.90022
     0.46063   -0.93408
     0.44442   -0.96826
     0.42804   -1.00501
     0.41158   -1.04696
     0.39518   -1.10173
     0.37899   -1.17400
     0.36312   -1.25255
     0.34762   -1.33278
     0.33244   -1.41104
     0.31750   -1.48324
     0.30268   -1.54352
     0.28782   -1.57352
     0.27277   -1.58502
     0.25739   -1.59027
     0.24162   -1.59612
     0.22546   -1.61124
     0.20905   -1.64613
     0.19262   -1.73907
     0.17654   -1.89601
     0.16113   -2.07082
     0.14665   -2.24226
     0.13321   -2.39508
     0.12062   -2.52550
     0.10847   -2.62803
     0.09615   -2.63982
     0.08286   -2.52707
     0.06948   -2.62048
     0.05835   -2.94693
     0.04889   -3.26104
     0.03958   -3.42813
     0.03050   -3.46654
     0.02354   -3.59535
     0.01852   -3.88918
     0.01473   -4.20255
     0.01172   -4.53443
     0.00926   -4.88488
     0.00721   -5.25446
     0.00549   -5.64033
     0.00406   -6.03511
     0.00287   -6.42359
     0.00190   -6.77969
     0.00113   -7.06201
     0.00057   -7.21173
     0.00019   -7.15554
    -0.00000   -6.82106
     0.00000   -6.14354
     0.00021   -5.11870
     0.00061   -4.01979
     0.00120   -2.99189
     0.00199   -2.09717
     0.00298   -1.35252
     0.00418   -0.75026
     0.00561   -0.27245
     0.00730    0.10124
     0.00928    0.38966
     0.01162    0.60876
     0.01439    0.77124
     0.01772    0.88657
     0.02183    0.96085
     0.02700    0.99655
     0.03360    0.99433
     0.04178    0.96638
     0.05081    0.93386
     0.06024    0.88980
     0.07015    0.83255
     0.08079    0.78230
     0.09261    0.75736
     0.10585    0.72964
     0.11985    0.68095
     0.13366    0.62767
     0.14701    0.57846
     0.16019    0.55239
     0.17372    0.54442
     0.18807    0.54477
     0.20350    0.54423
     0.21993    0.53238
     0.23640    0.51709
     0.25269    0.50040
     0.26906    0.48295
     0.28568    0.46533
     0.30228    0.44911
     0.31868    0.43599
     0.33501    0.42445
     0.35135    0.41392
     0.36777    0.40406
     0.38430    0.39454
     0.40094    0.38493
     0.41766    0.37459
     0.43442    0.36404
     0.45118    0.35350
     0.46792    0.34313
     0.48464    0.33307
     0.50133    0.32364
     0.51800    0.31536
     0.53466    0.30746
     0.55132    0.29952
     0.56796    0.29114
     0.58457    0.28184
     0.60112    0.27055
     0.61757    0.25552
     0.63392    0.23889
     0.65014    0.22180
     0.66624    0.20509
     0.68225    0.18965
     0.69820    0.17683
     0.71414    0.16965
     0.73012    0.16615
     0.74618    0.16482
     0.76235    0.16502
     0.77865    0.16615
     0.79508    0.16763
     0.81162    0.16831
     0.82826    0.16829
     0.84495    0.16793
     0.86167    0.16710
     0.87836    0.16548
     0.89500    0.16233
     0.91151    0.15296
     0.92774    0.14247
     0.94326    0.13881
     0.95758    0.14923
     0.97044    0.17408
     0.98186    0.21352
     0.99203    0.26520
     1.00000    0.48518
