#      x          Cp  
     1.00000    0.32705
     0.95000    0.21942
     0.90000    0.09388
     0.80000    0.08716
     0.70000   -0.23068
     0.60000   -0.49187
     0.50000   -0.72658
     0.40000   -0.97670
     0.30000   -1.21145
     0.20000   -1.74332
     0.15000   -1.89647
     0.10000   -2.19787
     0.07500   -2.37641
     0.05000   -2.82734
     0.02500   -3.19618
     0.01250   -3.07464
     0.00000   -4.25818
     0.01250    0.98560
     0.02500    0.97642
     0.05000    0.81866
     0.07500    0.71806
     0.10000    0.63566
     0.15000    0.51930
     0.20000    0.44738
     0.30000    0.36744
     0.40000    0.30131
     0.50000    0.23932
     0.60000    0.17523
     0.70000    0.09163
     0.80000   -0.11440
     0.90000    0.04593
     0.95000    0.11465
     1.00000    0.32705
