#      x          Cp  
     1.00000    0.47761
     0.99190    0.25654
     0.98080    0.16488
     0.96803    0.09322
     0.95405    0.03566
     0.93930   -0.01323
     0.92409   -0.05758
     0.90864   -0.09926
     0.89308   -0.13845
     0.87746   -0.17595
     0.86179   -0.21211
     0.84610   -0.24751
     0.83040   -0.28243
     0.81469   -0.31681
     0.79900   -0.35069
     0.78329   -0.38415
     0.76759   -0.41737
     0.75189   -0.45048
     0.73618   -0.48373
     0.72049   -0.51702
     0.70480   -0.55029
     0.68912   -0.58344
     0.67345   -0.61641
     0.65778   -0.64933
     0.64211   -0.68228
     0.62644   -0.71534
     0.61077   -0.74860
     0.59512   -0.78200
     0.57946   -0.81552
     0.56382   -0.84915
     0.54818   -0.88288
     0.53255   -0.91677
     0.51692   -0.95088
     0.50130   -0.98525
     0.48569   -1.01998
     0.47009   -1.05506
     0.45450   -1.09053
     0.43892   -1.12641
     0.42336   -1.16269
     0.40780   -1.19957
     0.39225   -1.23731
     0.37671   -1.27616
     0.36120   -1.31687
     0.34572   -1.35941
     0.33028   -1.40311
     0.31487   -1.44835
     0.29948   -1.49599
     0.28413   -1.54737
     0.26884   -1.60678
     0.25369   -1.67363
     0.23870   -1.74680
     0.22390   -1.82510
     0.20933   -1.90866
     0.19500   -1.99411
     0.18094   -2.07882
     0.16712   -2.15668
     0.15350   -2.22293
     0.14005   -2.28307
     0.12677   -2.33819
     0.11366   -2.38502
     0.10075   -2.43487
     0.08814   -2.50220
     0.07610   -2.60908
     0.06492   -2.75465
     0.05482   -2.93245
     0.04594   -3.14315
     0.03829   -3.36424
     0.03177   -3.58015
     0.02625   -3.76827
     0.02157   -3.92563
     0.01761   -4.05445
     0.01425   -4.17252
     0.01139   -4.27245
     0.00897   -4.36456
     0.00692   -4.46173
     0.00520   -4.54197
     0.00374   -4.64336
     0.00253   -4.76788
     0.00157   -4.83714
     0.00083   -4.87844
     0.00033   -4.89865
     0.00006   -4.78370
     0.00001   -4.42614
     0.00020   -3.80723
     0.00066   -3.08336
     0.00144   -2.20198
     0.00255   -1.28031
     0.00399   -0.54319
     0.00571   -0.00768
     0.00773    0.37630
     0.01008    0.63722
     0.01276    0.80480
     0.01584    0.91027
     0.01936    0.96967
     0.02342    0.99616
     0.02813    0.99847
     0.03363    0.98296
     0.04012    0.95465
     0.04779    0.91782
     0.05684    0.87590
     0.06737    0.83184
     0.07937    0.78880
     0.09264    0.74723
     0.10679    0.70816
     0.12152    0.67337
     0.13665    0.64234
     0.15202    0.61479
     0.16755    0.59050
     0.18324    0.56991
     0.19909    0.55194
     0.21506    0.53546
     0.23112    0.52099
     0.24728    0.50823
     0.26354    0.49647
     0.27989    0.48532
     0.29626    0.47423
     0.31264    0.46388
     0.32903    0.45459
     0.34545    0.44546
     0.36188    0.43620
     0.37831    0.42740
     0.39475    0.41915
     0.41120    0.41126
     0.42764    0.40367
     0.44408    0.39626
     0.46053    0.38900
     0.47698    0.38197
     0.49343    0.37518
     0.50988    0.36870
     0.52633    0.36251
     0.54279    0.35653
     0.55924    0.35072
     0.57569    0.34502
     0.59214    0.33943
     0.60859    0.33399
     0.62505    0.32873
     0.64150    0.32368
     0.65796    0.31884
     0.67441    0.31417
     0.69087    0.30966
     0.70733    0.30531
     0.72379    0.30113
     0.74025    0.29712
     0.75671    0.29331
     0.77316    0.28972
     0.78960    0.28627
     0.80603    0.28286
     0.82246    0.27940
     0.83890    0.27608
     0.85534    0.27304
     0.87176    0.27038
     0.88817    0.26819
     0.90450    0.26631
     0.92069    0.26515
     0.93662    0.26560
     0.95211    0.26883
     0.96676    0.27716
     0.98008    0.29520
     0.99161    0.33620
     1.00000    0.47761
