#      x          Cp  
     1.00000    0.47386
     0.99169    0.24136
     0.98103    0.17141
     0.96904    0.10744
     0.95557    0.05211
     0.94070    0.00009
     0.92488   -0.04892
     0.90866   -0.09475
     0.89240   -0.13751
     0.87615   -0.17788
     0.85987   -0.21659
     0.84354   -0.25408
     0.82717   -0.29070
     0.81073   -0.32667
     0.79424   -0.36221
     0.77771   -0.39745
     0.76117   -0.43246
     0.74462   -0.46733
     0.72807   -0.50218
     0.71153   -0.53709
     0.69501   -0.57234
     0.67851   -0.60811
     0.66201   -0.64421
     0.64553   -0.68062
     0.62906   -0.71737
     0.61260   -0.75443
     0.59617   -0.79190
     0.57975   -0.82984
     0.56337   -0.86810
     0.54700   -0.90660
     0.53067   -0.94530
     0.51435   -0.98412
     0.49805   -1.02282
     0.48176   -1.06111
     0.46548   -1.09953
     0.44920   -1.13842
     0.43292   -1.17807
     0.41664   -1.21885
     0.40038   -1.26140
     0.38413   -1.30697
     0.36791   -1.35479
     0.35174   -1.40449
     0.33562   -1.45610
     0.31958   -1.50982
     0.30365   -1.56622
     0.28784   -1.62767
     0.27218   -1.69266
     0.25669   -1.75936
     0.24138   -1.82693
     0.22625   -1.89470
     0.21130   -1.96211
     0.19653   -2.02813
     0.18193   -2.09215
     0.16749   -2.15644
     0.15326   -2.22293
     0.13927   -2.29729
     0.12559   -2.37698
     0.11233   -2.45897
     0.09958   -2.54142
     0.08747   -2.62225
     0.07616   -2.73152
     0.06585   -2.92569
     0.05669   -3.13717
     0.04870   -3.32948
     0.04182   -3.50594
     0.03590   -3.65476
     0.03077   -3.76696
     0.02628   -3.83104
     0.02232   -3.79610
     0.01876   -3.68956
     0.01556   -3.58492
     0.01269   -3.54558
     0.01014   -3.66643
     0.00794   -3.84439
     0.00607   -4.03307
     0.00450   -4.21755
     0.00320   -4.38319
     0.00213   -4.51334
     0.00129   -4.58701
     0.00065   -4.57866
     0.00021   -4.46017
    -0.00003   -4.20466
    -0.00007   -3.79709
     0.00009   -3.20946
     0.00047   -2.52286
     0.00105   -1.86835
     0.00183   -1.28033
     0.00281   -0.77099
     0.00400   -0.33981
     0.00541    0.01891
     0.00706    0.31247
     0.00896    0.54789
     0.01114    0.73055
     0.01363    0.86606
     0.01646    0.95175
     0.01968    0.99138
     0.02335    0.99990
     0.02753    0.99137
     0.03231    0.97257
     0.03780    0.94654
     0.04412    0.91558
     0.05138    0.88152
     0.05974    0.84524
     0.06941    0.80821
     0.08058    0.77215
     0.09336    0.73877
     0.10767    0.70778
     0.12324    0.67905
     0.13960    0.65384
     0.15638    0.63110
     0.17340    0.60968
     0.19061    0.58997
     0.20795    0.57171
     0.22536    0.55471
     0.24277    0.53893
     0.26016    0.52423
     0.27757    0.51047
     0.29499    0.49754
     0.31241    0.48538
     0.32983    0.47392
     0.34724    0.46307
     0.36465    0.45277
     0.38207    0.44296
     0.39950    0.43360
     0.41693    0.42464
     0.43436    0.41606
     0.45179    0.40783
     0.46921    0.39992
     0.48664    0.39231
     0.50408    0.38499
     0.52151    0.37792
     0.53894    0.37111
     0.55637    0.36453
     0.57380    0.35817
     0.59123    0.35202
     0.60866    0.34607
     0.62609    0.34031
     0.64351    0.33474
     0.66094    0.32936
     0.67836    0.32415
     0.69579    0.31912
     0.71321    0.31427
     0.73063    0.30960
     0.74804    0.30513
     0.76544    0.30086
     0.78285    0.29680
     0.80028    0.29298
     0.81767    0.28944
     0.83501    0.28622
     0.85229    0.28338
     0.86952    0.28101
     0.88671    0.27923
     0.90387    0.27826
     0.92101    0.27842
     0.93778    0.28030
     0.95355    0.28465
     0.96777    0.29260
     0.98034    0.30679
     0.99141    0.32915
     1.00000    0.47386
