#      x          Cp  
     1.00000    0.53656
     0.99105    0.29275
     0.97965    0.21598
     0.96691    0.14546
     0.95276    0.08431
     0.93734    0.02594
     0.92108   -0.02980
     0.90446   -0.08224
     0.88771   -0.13012
     0.87087   -0.17436
     0.85391   -0.21641
     0.83684   -0.25699
     0.81966   -0.29671
     0.80239   -0.33617
     0.78506   -0.37657
     0.76771   -0.41767
     0.75036   -0.45908
     0.73303   -0.50071
     0.71575   -0.54252
     0.69852   -0.58452
     0.68134   -0.62676
     0.66421   -0.66915
     0.64713   -0.71159
     0.63008   -0.75401
     0.61305   -0.79629
     0.59603   -0.83814
     0.57898   -0.87899
     0.56190   -0.91959
     0.54478   -0.96036
     0.52764   -1.00167
     0.51051   -1.04386
     0.49341   -1.08795
     0.47641   -1.13510
     0.45954   -1.18338
     0.44280   -1.23186
     0.42617   -1.27998
     0.40960   -1.32693
     0.39302   -1.37030
     0.37634   -1.40776
     0.35948   -1.44416
     0.34243   -1.48249
     0.32522   -1.52541
     0.30797   -1.57650
     0.29086   -1.64654
     0.27409   -1.74148
     0.25782   -1.84497
     0.24209   -1.95139
     0.22687   -2.05600
     0.21209   -2.15483
     0.19765   -2.24168
     0.18344   -2.30284
     0.16938   -2.35098
     0.15544   -2.39567
     0.14169   -2.44924
     0.12825   -2.51703
     0.11527   -2.58832
     0.10295   -2.66138
     0.09140   -2.73859
     0.08074   -2.82259
     0.07100   -2.92742
     0.06220   -3.06641
     0.05433   -3.19417
     0.04736   -3.29989
     0.04123   -3.38780
     0.03585   -3.45515
     0.03112   -3.49795
     0.02694   -3.51127
     0.02322   -3.47756
     0.01989   -3.37251
     0.01687   -3.24783
     0.01413   -3.14058
     0.01165   -3.09407
     0.00941   -3.17087
     0.00744   -3.28729
     0.00574   -3.41087
     0.00429   -3.52859
     0.00307   -3.62900
     0.00207   -3.69971
     0.00127   -3.72618
     0.00066   -3.69134
     0.00024   -3.57661
     0.00001   -3.36368
    -0.00004   -3.03938
     0.00012   -2.57249
     0.00048   -2.03889
     0.00103   -1.52095
     0.00177   -1.04496
     0.00270   -0.62332
     0.00384   -0.25902
     0.00519    0.04974
     0.00677    0.30688
     0.00861    0.51702
     0.01071    0.68451
     0.01311    0.81336
     0.01582    0.90680
     0.01886    0.96467
     0.02226    0.99286
     0.02605    0.99999
     0.03024    0.99343
     0.03490    0.97676
     0.04008    0.95204
     0.04586    0.92093
     0.05233    0.88544
     0.05962    0.84846
     0.06792    0.81169
     0.07743    0.77548
     0.08833    0.73729
     0.10062    0.69864
     0.11414    0.65902
     0.12856    0.62047
     0.14355    0.58506
     0.15889    0.55503
     0.17466    0.53080
     0.19095    0.51066
     0.20780    0.49305
     0.22513    0.47688
     0.24283    0.46271
     0.26080    0.45034
     0.27892    0.43935
     0.29713    0.42917
     0.31537    0.41839
     0.33360    0.40736
     0.35182    0.39664
     0.37001    0.38638
     0.38818    0.37670
     0.40634    0.36786
     0.42451    0.36001
     0.44270    0.35281
     0.46093    0.34612
     0.47920    0.33982
     0.49750    0.33377
     0.51582    0.32769
     0.53414    0.32169
     0.55246    0.31593
     0.57076    0.31044
     0.58904    0.30528
     0.60731    0.30055
     0.62556    0.29630
     0.64382    0.29242
     0.66209    0.28889
     0.68036    0.28568
     0.69865    0.28279
     0.71696    0.28022
     0.73529    0.27796
     0.75363    0.27602
     0.77197    0.27440
     0.79031    0.27311
     0.80862    0.27206
     0.82689    0.27133
     0.84509    0.27122
     0.86320    0.27195
     0.88120    0.27383
     0.89907    0.27735
     0.91676    0.28341
     0.93405    0.29200
     0.95044    0.30340
     0.96542    0.31839
     0.97881    0.34089
     0.99071    0.37214
     1.00000    0.53656
