#      x          Cp  
     1.00000    0.49284
     0.99368    0.26304
     0.98548    0.17180
     0.97606    0.10072
     0.96509    0.04085
     0.95234   -0.01126
     0.93849   -0.05045
     0.92499   -0.07778
     0.91135   -0.09970
     0.89729   -0.12130
     0.88335   -0.14654
     0.86963   -0.17204
     0.85598   -0.19736
     0.84230   -0.22229
     0.82852   -0.24661
     0.81458   -0.26997
     0.80048   -0.29150
     0.78625   -0.30935
     0.77201   -0.32484
     0.75779   -0.33892
     0.74358   -0.35217
     0.72935   -0.36514
     0.71508   -0.37843
     0.70078   -0.39295
     0.68650   -0.41044
     0.67224   -0.42965
     0.65799   -0.44981
     0.64374   -0.47060
     0.62950   -0.49171
     0.61525   -0.51282
     0.60099   -0.53339
     0.58672   -0.55222
     0.57244   -0.57029
     0.55814   -0.58831
     0.54383   -0.60670
     0.52951   -0.62592
     0.51519   -0.64646
     0.50086   -0.66932
     0.48655   -0.69661
     0.47224   -0.72663
     0.45795   -0.75821
     0.44367   -0.79071
     0.42941   -0.82350
     0.41517   -0.85579
     0.40093   -0.88623
     0.38669   -0.91178
     0.37244   -0.93495
     0.35818   -0.95750
     0.34391   -0.98046
     0.32963   -1.00489
     0.31533   -1.03198
     0.30101   -1.06378
     0.28669   -1.10467
     0.27236   -1.15192
     0.25803   -1.20381
     0.24372   -1.25975
     0.22944   -1.31927
     0.21519   -1.38192
     0.20099   -1.44658
     0.18685   -1.50957
     0.17277   -1.57849
     0.15869   -1.66124
     0.14453   -1.78298
     0.13031   -1.95556
     0.11621   -2.14987
     0.10217   -2.35594
     0.08898   -2.55760
     0.07642   -2.73018
     0.06347   -2.76939
     0.05119   -2.84494
     0.04023   -3.30447
     0.03250   -3.77552
     0.02519   -4.00250
     0.01718   -2.89032
     0.00920   -3.85241
     0.00561   -5.67302
     0.00338   -7.77267
     0.00186  -10.75108
     0.00084  -15.17109
     0.00022  -21.45622
    -0.00002  -26.27223
     0.00015  -19.10979
     0.00075   -9.46306
     0.00179   -4.25909
     0.00339   -1.58798
     0.00585   -0.16956
     0.01023    0.62711
     0.01963    0.96434
     0.02918    0.99634
     0.03727    0.95449
     0.04661    0.88206
     0.05948    0.80733
     0.07314    0.78732
     0.08683    0.78218
     0.10019    0.77682
     0.11367    0.75831
     0.12741    0.73208
     0.14146    0.70155
     0.15576    0.67333
     0.17006    0.65244
     0.18435    0.63464
     0.19868    0.61896
     0.21298    0.60445
     0.22725    0.59099
     0.24149    0.57843
     0.25574    0.56660
     0.26999    0.55532
     0.28427    0.54443
     0.29857    0.53372
     0.31289    0.52284
     0.32722    0.51193
     0.34156    0.50109
     0.35590    0.49036
     0.37025    0.47977
     0.38460    0.46938
     0.39894    0.45924
     0.41329    0.44952
     0.42764    0.44013
     0.44199    0.43099
     0.45634    0.42210
     0.47069    0.41345
     0.48505    0.40505
     0.49940    0.39697
     0.51376    0.38932
     0.52813    0.38198
     0.54249    0.37484
     0.55686    0.36787
     0.57122    0.36101
     0.58558    0.35424
     0.59993    0.34754
     0.61427    0.34090
     0.62858    0.33424
     0.64288    0.32749
     0.65716    0.32056
     0.67143    0.31340
     0.68570    0.30590
     0.70000    0.29799
     0.71433    0.28960
     0.72865    0.28050
     0.74291    0.27048
     0.75713    0.25920
     0.77134    0.24619
     0.78560    0.23071
     0.79991    0.21098
     0.81408    0.18356
     0.82803    0.15242
     0.84175    0.11999
     0.85531    0.08781
     0.86876    0.05748
     0.88224    0.03089
     0.89589    0.01074
     0.90993    0.00468
     0.92405    0.01209
     0.93793    0.02938
     0.95196    0.05723
     0.96478    0.09377
     0.97585    0.13926
     0.98536    0.19736
     0.99363    0.27720
     1.00000    0.49284
