#      x          Cp  
     1.00000    0.32003
     0.95000   -0.04884
     0.90000   -0.12058
     0.80000   -0.36719
     0.70000   -0.65333
     0.60000   -0.80306
     0.50000   -1.09424
     0.40000   -1.37117
     0.30000   -1.65799
     0.20000   -2.16502
     0.15000   -2.31938
     0.10000   -2.64118
     0.07500   -2.62769
     0.05000   -3.30119
     0.02500   -3.91571
     0.01250   -3.61154
     0.00000   -8.81982
     0.01250    0.94770
     0.02500    0.99833
     0.05000    0.89813
     0.07500    0.82335
     0.10000    0.79634
     0.15000    0.73978
     0.20000    0.67364
     0.30000    0.58754
     0.40000    0.55852
     0.50000    0.51497
     0.60000    0.42038
     0.70000    0.37415
     0.80000    0.33462
     0.90000    0.28252
     0.95000    0.27048
     1.00000    0.32003
