#      x          Cp  
     1.00000    0.37715
     0.99321   -0.00614
     0.98275    0.00842
     0.96989   -0.03335
     0.95630   -0.08768
     0.94259   -0.13666
     0.92891   -0.17916
     0.91516   -0.21041
     0.90129   -0.23976
     0.88737   -0.26990
     0.87345   -0.29816
     0.85952   -0.32480
     0.84555   -0.35063
     0.83155   -0.37593
     0.81754   -0.40102
     0.80352   -0.42612
     0.78950   -0.45087
     0.77547   -0.47515
     0.76143   -0.49899
     0.74739   -0.52226
     0.73333   -0.54508
     0.71926   -0.56776
     0.70517   -0.59054
     0.69108   -0.61334
     0.67699   -0.63629
     0.66289   -0.65938
     0.64879   -0.68245
     0.63468   -0.70533
     0.62057   -0.72818
     0.60645   -0.75122
     0.59232   -0.77467
     0.57819   -0.79845
     0.56406   -0.82258
     0.54993   -0.84711
     0.53579   -0.87206
     0.52166   -0.89756
     0.50752   -0.92361
     0.49339   -0.95028
     0.47926   -0.97769
     0.46513   -1.00579
     0.45101   -1.03454
     0.43690   -1.06401
     0.42279   -1.09428
     0.40869   -1.12567
     0.39461   -1.15814
     0.38054   -1.19131
     0.36648   -1.22484
     0.35244   -1.25901
     0.33840   -1.29423
     0.32439   -1.33076
     0.31039   -1.36817
     0.29642   -1.40599
     0.28246   -1.44463
     0.26851   -1.48492
     0.25458   -1.52752
     0.24067   -1.57284
     0.22679   -1.62206
     0.21294   -1.67553
     0.19914   -1.73469
     0.18539   -1.80034
     0.17172   -1.87276
     0.15814   -1.95341
     0.14465   -2.04251
     0.13130   -2.14239
     0.11809   -2.25354
     0.10508   -2.37928
     0.09229   -2.51818
     0.07975   -2.67295
     0.06753   -2.85207
     0.05573   -3.06306
     0.04447   -3.32291
     0.03406   -3.64700
     0.02496   -4.04726
     0.01743   -4.55340
     0.01182   -5.13473
     0.00790   -5.77761
     0.00507   -6.53850
     0.00297   -7.66992
     0.00153   -8.58937
     0.00062   -9.62709
     0.00012  -10.79639
     0.00001  -10.65262
     0.00029   -8.80907
     0.00101   -6.53049
     0.00229   -3.45438
     0.00418   -1.19282
     0.00670   -0.02558
     0.00996    0.57602
     0.01449    0.87196
     0.02112    0.98187
     0.03021    0.99802
     0.04180    0.96718
     0.05492    0.92077
     0.06850    0.87474
     0.08238    0.83287
     0.09640    0.79587
     0.11049    0.76343
     0.12466    0.73473
     0.13886    0.70906
     0.15306    0.68639
     0.16729    0.66641
     0.18156    0.64858
     0.19585    0.63256
     0.21017    0.61808
     0.22450    0.60487
     0.23885    0.59288
     0.25321    0.58202
     0.26759    0.57211
     0.28197    0.56296
     0.29634    0.55448
     0.31070    0.54658
     0.32505    0.53914
     0.33939    0.53215
     0.35373    0.52556
     0.36807    0.51934
     0.38240    0.51356
     0.39672    0.50823
     0.41102    0.50312
     0.42531    0.49789
     0.43962    0.49261
     0.45393    0.48756
     0.46825    0.48301
     0.48256    0.47875
     0.49685    0.47456
     0.51114    0.47032
     0.52543    0.46618
     0.53973    0.46225
     0.55401    0.45850
     0.56829    0.45476
     0.58255    0.45085
     0.59682    0.44687
     0.61109    0.44287
     0.62537    0.43888
     0.63964    0.43492
     0.65392    0.43108
     0.66818    0.42734
     0.68244    0.42361
     0.69669    0.41983
     0.71093    0.41595
     0.72517    0.41190
     0.73940    0.40763
     0.75362    0.40317
     0.76784    0.39856
     0.78206    0.39377
     0.79627    0.38877
     0.81047    0.38352
     0.82466    0.37790
     0.83884    0.37180
     0.85302    0.36525
     0.86719    0.35832
     0.88134    0.35065
     0.89550    0.34158
     0.90967    0.33150
     0.92387    0.32064
     0.93808    0.30888
     0.95231    0.29629
     0.96646    0.28404
     0.98014    0.27506
     0.99212    0.26814
     1.00000    0.37715
