#      x          Cp  
     1.00000    0.49811
     0.99132    0.28937
     0.97965    0.19805
     0.96639    0.12274
     0.95191    0.06153
     0.93663    0.01543
     0.92073   -0.01828
     0.90446   -0.04873
     0.88805   -0.08634
     0.87150   -0.13081
     0.85487   -0.17841
     0.83829   -0.22748
     0.82183   -0.27647
     0.80550   -0.32412
     0.78922   -0.36586
     0.77292   -0.40242
     0.75653   -0.43689
     0.74005   -0.47076
     0.72347   -0.50537
     0.70683   -0.54196
     0.69017   -0.58559
     0.67359   -0.63632
     0.65716   -0.69043
     0.64088   -0.74606
     0.62474   -0.80183
     0.60874   -0.85660
     0.59282   -0.90644
     0.57693   -0.94983
     0.56102   -0.98947
     0.54508   -1.02676
     0.52909   -1.06230
     0.51306   -1.09655
     0.49698   -1.12998
     0.48086   -1.16319
     0.46471   -1.19628
     0.44853   -1.22947
     0.43232   -1.26324
     0.41609   -1.29790
     0.39984   -1.33433
     0.38361   -1.37439
     0.36740   -1.41720
     0.35123   -1.46232
     0.33511   -1.50958
     0.31904   -1.55919
     0.30304   -1.61167
     0.28713   -1.66933
     0.27133   -1.73143
     0.25566   -1.79680
     0.24014   -1.86501
     0.22477   -1.93628
     0.20957   -2.01062
     0.19456   -2.09095
     0.17980   -2.17881
     0.16533   -2.27139
     0.15124   -2.38321
     0.13765   -2.51766
     0.12469   -2.67018
     0.11243   -2.81584
     0.10085   -2.91584
     0.08968   -2.87878
     0.07877   -2.84331
     0.06843   -2.93110
     0.05906   -3.05752
     0.05077   -3.19930
     0.04347   -3.17324
     0.03702   -3.07417
     0.03133   -2.97524
     0.02635   -2.93544
     0.02203   -2.93387
     0.01830   -2.95399
     0.01508   -2.99750
     0.01227   -3.07200
     0.00984   -3.21481
     0.00772   -3.39081
     0.00590   -3.59269
     0.00434   -3.78058
     0.00303   -3.96554
     0.00195   -4.12216
     0.00110   -4.23401
     0.00049   -4.22414
     0.00010   -4.15759
    -0.00004   -3.82390
     0.00006   -3.25411
     0.00042   -2.59931
     0.00104   -1.82386
     0.00191   -1.14289
     0.00303   -0.58821
     0.00439   -0.14388
     0.00599    0.20223
     0.00784    0.46810
     0.00994    0.66379
     0.01234    0.80871
     0.01506    0.90978
     0.01816    0.96991
     0.02167    0.99659
     0.02565    0.99812
     0.03018    0.98257
     0.03533    0.95478
     0.04119    0.91771
     0.04789    0.87538
     0.05556    0.82945
     0.06432    0.78271
     0.07423    0.73932
     0.08537    0.70274
     0.09788    0.67390
     0.11168    0.64473
     0.12629    0.61665
     0.14140    0.59304
     0.15691    0.57674
     0.17284    0.56816
     0.18920    0.56422
     0.20574    0.56017
     0.22235    0.55366
     0.23899    0.54670
     0.25565    0.53964
     0.27230    0.53247
     0.28895    0.52514
     0.30562    0.51731
     0.32232    0.50875
     0.33909    0.49987
     0.35592    0.49077
     0.37281    0.48161
     0.38977    0.47252
     0.40679    0.46385
     0.42382    0.45576
     0.44087    0.44787
     0.45793    0.44013
     0.47498    0.43236
     0.49204    0.42448
     0.50912    0.41617
     0.52623    0.40742
     0.54338    0.39849
     0.56059    0.38946
     0.57784    0.38046
     0.59513    0.37161
     0.61247    0.36325
     0.62982    0.35530
     0.64718    0.34758
     0.66455    0.34007
     0.68192    0.33274
     0.69929    0.32562
     0.71665    0.31880
     0.73400    0.31207
     0.75133    0.30524
     0.76863    0.29813
     0.78590    0.29048
     0.80315    0.28153
     0.82037    0.27040
     0.83751    0.25870
     0.85449    0.24734
     0.87129    0.23699
     0.88788    0.22829
     0.90424    0.22180
     0.92030    0.21844
     0.93597    0.22020
     0.95115    0.23213
     0.96568    0.25670
     0.97913    0.29331
     0.99107    0.34709
     1.00000    0.49811
