#      x          Cp  
     1.00000    0.45702
     0.99217    0.21567
     0.98217    0.14050
     0.97095    0.07250
     0.95834    0.01536
     0.94433   -0.03396
     0.92919   -0.07469
     0.91345   -0.11017
     0.89752   -0.14471
     0.88159   -0.18361
     0.86569   -0.22376
     0.84985   -0.26433
     0.83405   -0.30494
     0.81831   -0.34520
     0.80260   -0.38456
     0.78691   -0.42161
     0.77121   -0.45711
     0.75548   -0.49189
     0.73972   -0.52626
     0.72393   -0.56055
     0.70811   -0.59505
     0.69226   -0.63040
     0.67641   -0.66677
     0.66055   -0.70372
     0.64470   -0.74114
     0.62887   -0.77900
     0.61305   -0.81726
     0.59725   -0.85591
     0.58145   -0.89498
     0.56566   -0.93446
     0.54988   -0.97433
     0.53409   -1.01466
     0.51832   -1.05533
     0.50256   -1.09641
     0.48682   -1.13785
     0.47110   -1.17967
     0.45541   -1.22187
     0.43975   -1.26453
     0.42410   -1.30758
     0.40844   -1.35111
     0.39276   -1.39451
     0.37702   -1.43806
     0.36122   -1.48320
     0.34536   -1.53090
     0.32946   -1.58236
     0.31357   -1.63919
     0.29775   -1.70573
     0.28209   -1.78733
     0.26664   -1.87677
     0.25143   -1.97038
     0.23648   -2.06635
     0.22175   -2.16254
     0.20721   -2.25705
     0.19281   -2.34356
     0.17849   -2.42265
     0.16424   -2.50186
     0.15008   -2.58712
     0.13607   -2.68782
     0.12231   -2.79867
     0.10889   -2.91815
     0.09588   -3.04927
     0.08340   -3.19846
     0.07171   -3.40444
     0.06110   -3.67737
     0.05169   -3.92146
     0.04344   -4.09000
     0.03628   -4.23556
     0.03010   -4.39191
     0.02479   -4.58583
     0.02020   -4.84230
     0.01624   -5.05602
     0.01287   -5.26274
     0.01002   -5.61271
     0.00766   -6.03686
     0.00571   -6.48828
     0.00412   -6.95469
     0.00283   -7.41677
     0.00180   -7.84440
     0.00101   -8.18986
     0.00044   -8.38425
     0.00008   -8.33750
    -0.00005   -7.96003
     0.00004   -7.12599
     0.00037   -5.89787
     0.00092   -4.65178
     0.00170   -3.51439
     0.00271   -2.53297
     0.00397   -1.71237
     0.00549   -1.03891
     0.00732   -0.49273
     0.00949   -0.05379
     0.01207    0.29604
     0.01511    0.57896
     0.01870    0.78421
     0.02299    0.90940
     0.02816    0.97074
     0.03435    0.99634
     0.04162    0.99832
     0.04987    0.98232
     0.05926    0.95515
     0.07036    0.92273
     0.08354    0.88534
     0.09792    0.84459
     0.11263    0.80677
     0.12764    0.77244
     0.14301    0.74123
     0.15871    0.71271
     0.17465    0.68667
     0.19070    0.66308
     0.20682    0.64139
     0.22298    0.62120
     0.23918    0.60259
     0.25541    0.58544
     0.27166    0.56964
     0.28792    0.55508
     0.30419    0.54160
     0.32047    0.52905
     0.33673    0.51755
     0.35299    0.50712
     0.36924    0.49781
     0.38548    0.48973
     0.40172    0.48318
     0.41795    0.47866
     0.43419    0.47538
     0.45043    0.47293
     0.46669    0.47100
     0.48296    0.46926
     0.49926    0.46727
     0.51558    0.46422
     0.53192    0.46062
     0.54828    0.45676
     0.56466    0.45276
     0.58104    0.44871
     0.59740    0.44472
     0.61374    0.44104
     0.63004    0.43747
     0.64629    0.43383
     0.66249    0.42999
     0.67865    0.42581
     0.69481    0.42110
     0.71097    0.41526
     0.72718    0.40848
     0.74346    0.40117
     0.75981    0.39348
     0.77623    0.38558
     0.79269    0.37765
     0.80915    0.37009
     0.82557    0.36297
     0.84193    0.35608
     0.85823    0.34941
     0.87449    0.34296
     0.89078    0.33675
     0.90718    0.33088
     0.92370    0.32551
     0.93998    0.32108
     0.95530    0.31843
     0.96907    0.31871
     0.98117    0.32371
     0.99178    0.33637
     1.00000    0.45702
