#      x          Cp  
     1.00000    0.31840
     0.99160    0.22255
     0.98077    0.17990
     0.96863    0.13888
     0.95517    0.10080
     0.94051    0.06373
     0.92487    0.02601
     0.90847   -0.01502
     0.89144   -0.06096
     0.87391   -0.11061
     0.85600   -0.16460
     0.83779   -0.22501
     0.81938   -0.29243
     0.80098   -0.36680
     0.78282   -0.44466
     0.76501   -0.52383
     0.74758   -0.60274
     0.73049   -0.67808
     0.71362   -0.74673
     0.69687   -0.81116
     0.68018   -0.87215
     0.66354   -0.93136
     0.64694   -0.98803
     0.63034   -1.04037
     0.61370   -1.08973
     0.59701   -1.13689
     0.58027   -1.18150
     0.56346   -1.22402
     0.54658   -1.26501
     0.52962   -1.30513
     0.51261   -1.34541
     0.49556   -1.38530
     0.47847   -1.42508
     0.46137   -1.46645
     0.44429   -1.50958
     0.42725   -1.55342
     0.41027   -1.59706
     0.39335   -1.63984
     0.37649   -1.68301
     0.35970   -1.72756
     0.34301   -1.77328
     0.32644   -1.81998
     0.31000   -1.86720
     0.29370   -1.91463
     0.27757   -1.96216
     0.26161   -2.01083
     0.24585   -2.06176
     0.23034   -2.11529
     0.21512   -2.17155
     0.20023   -2.22794
     0.18571   -2.28411
     0.17159   -2.34371
     0.15796   -2.40620
     0.14486   -2.47185
     0.13238   -2.53935
     0.12056   -2.60853
     0.10945   -2.67807
     0.09907   -2.74685
     0.08943   -2.81508
     0.08055   -2.88274
     0.07239   -2.95503
     0.06493   -3.02459
     0.05813   -3.08990
     0.05194   -3.15181
     0.04631   -3.20800
     0.04118   -3.26064
     0.03651   -3.31406
     0.03226   -3.36325
     0.02839   -3.40803
     0.02485   -3.45388
     0.02163   -3.50040
     0.01868   -3.54436
     0.01600   -3.58875
     0.01354   -3.65361
     0.01132   -3.72668
     0.00930   -3.78787
     0.00749   -3.83062
     0.00588   -3.84701
     0.00444   -3.85218
     0.00317   -3.86336
     0.00206   -4.00719
     0.00114   -4.24401
     0.00047   -4.29926
     0.00011   -3.79280
     0.00000   -3.15707
     0.00006   -2.85124
     0.00032   -2.59166
     0.00084   -2.24743
     0.00171   -1.68804
     0.00296   -0.98664
     0.00459   -0.26465
     0.00654    0.29568
     0.00875    0.65652
     0.01116    0.84207
     0.01374    0.93460
     0.01650    0.97930
     0.01944    0.99692
     0.02259    0.99966
     0.02598    0.99326
     0.02963    0.98106
     0.03360    0.96507
     0.03792    0.94660
     0.04267    0.92661
     0.04794    0.90573
     0.05380    0.88374
     0.06039    0.86082
     0.06783    0.83736
     0.07627    0.81357
     0.08588    0.78952
     0.09688    0.76563
     0.10941    0.74217
     0.12358    0.71950
     0.13934    0.69800
     0.15650    0.67784
     0.17474    0.65959
     0.19371    0.64335
     0.21310    0.62884
     0.23271    0.61590
     0.25243    0.60431
     0.27219    0.59400
     0.29194    0.58485
     0.31164    0.57673
     0.33130    0.56931
     0.35092    0.56242
     0.37048    0.55640
     0.38996    0.55097
     0.40937    0.54580
     0.42872    0.54087
     0.44800    0.53619
     0.46722    0.53185
     0.48637    0.52769
     0.50543    0.52355
     0.52444    0.51896
     0.54344    0.51391
     0.56244    0.50878
     0.58143    0.50365
     0.60040    0.49855
     0.61936    0.49312
     0.63831    0.48731
     0.65726    0.48120
     0.67623    0.47470
     0.69522    0.46781
     0.71423    0.46086
     0.73324    0.45390
     0.75221    0.44693
     0.77115    0.43944
     0.79007    0.43118
     0.80896    0.42245
     0.82782    0.41308
     0.84663    0.40280
     0.86535    0.39177
     0.88390    0.38008
     0.90215    0.36786
     0.91988    0.35519
     0.93685    0.34215
     0.95270    0.33036
     0.96713    0.31953
     0.98002    0.30693
     0.99136    0.30161
     1.00000    0.31840
