#      x          Cp  
     1.00000    0.45893
     0.99313    0.26371
     0.98472    0.18718
     0.97572    0.12710
     0.96607    0.07653
     0.95567    0.03027
     0.94445   -0.01364
     0.93234   -0.05644
     0.91930   -0.09882
     0.90538   -0.14118
     0.89071   -0.18403
     0.87588   -0.22599
     0.86119   -0.26591
     0.84645   -0.30430
     0.83151   -0.34120
     0.81657   -0.37565
     0.80183   -0.40620
     0.78721   -0.43034
     0.77260   -0.45057
     0.75793   -0.46905
     0.74315   -0.48698
     0.72823   -0.50574
     0.71319   -0.52684
     0.69807   -0.55387
     0.68295   -0.59151
     0.66789   -0.63417
     0.65295   -0.67937
     0.63813   -0.72532
     0.62343   -0.77026
     0.60880   -0.81222
     0.59419   -0.84532
     0.57953   -0.86761
     0.56477   -0.88555
     0.54987   -0.90136
     0.53483   -0.91710
     0.51966   -0.93498
     0.50442   -0.95794
     0.48917   -0.99459
     0.47400   -1.04163
     0.45897   -1.09305
     0.44410   -1.14652
     0.42938   -1.19983
     0.41477   -1.25057
     0.40020   -1.29446
     0.38561   -1.32279
     0.37090   -1.34351
     0.35603   -1.36152
     0.34099   -1.37985
     0.32580   -1.40201
     0.31054   -1.43193
     0.29534   -1.48186
     0.28033   -1.55861
     0.26558   -1.64410
     0.25107   -1.72977
     0.23668   -1.80217
     0.22230   -1.86993
     0.20792   -1.93946
     0.19364   -2.02265
     0.17960   -2.11988
     0.16588   -2.21403
     0.15244   -2.29513
     0.13916   -2.33923
     0.12590   -2.36113
     0.11259   -2.37699
     0.09929   -2.39745
     0.08612   -2.43587
     0.07311   -2.52549
     0.06010   -2.71205
     0.04803   -2.91810
     0.03817   -3.12645
     0.02999   -3.34716
     0.02235   -3.55924
     0.01486   -3.67202
     0.00995   -4.13427
     0.00683   -4.80871
     0.00464   -5.51426
     0.00300   -6.29286
     0.00178   -7.14138
     0.00089   -8.02257
     0.00028   -8.82330
    -0.00006   -9.30094
    -0.00014   -9.09160
     0.00006   -7.76433
     0.00056   -5.58216
     0.00137   -3.59945
     0.00250   -2.06932
     0.00402   -0.96664
     0.00602   -0.19468
     0.00871    0.33798
     0.01251    0.69535
     0.01822    0.91409
     0.02645    0.99532
     0.03644    0.99147
     0.04778    0.94971
     0.06006    0.89328
     0.07318    0.83746
     0.08687    0.78390
     0.10068    0.73608
     0.11463    0.69809
     0.12896    0.66757
     0.14378    0.64220
     0.15894    0.61627
     0.17408    0.58931
     0.18898    0.56505
     0.20365    0.54650
     0.21828    0.53595
     0.23305    0.52872
     0.24802    0.52204
     0.26316    0.51082
     0.27836    0.49741
     0.29355    0.48408
     0.30871    0.47299
     0.32387    0.46433
     0.33904    0.45695
     0.35425    0.45058
     0.36950    0.44500
     0.38478    0.44005
     0.40010    0.43554
     0.41542    0.43129
     0.43073    0.42724
     0.44601    0.42332
     0.46126    0.41940
     0.47647    0.41534
     0.49166    0.41097
     0.50683    0.40575
     0.52199    0.39958
     0.53717    0.39295
     0.55238    0.38600
     0.56761    0.37883
     0.58288    0.37155
     0.59819    0.36424
     0.61352    0.35704
     0.62888    0.34999
     0.64424    0.34316
     0.65959    0.33664
     0.67495    0.33055
     0.69028    0.32504
     0.70556    0.32061
     0.72077    0.31744
     0.73590    0.31491
     0.75098    0.31280
     0.76603    0.31096
     0.78110    0.30920
     0.79626    0.30734
     0.81156    0.30489
     0.82669    0.30213
     0.84157    0.29936
     0.85627    0.29670
     0.87093    0.29422
     0.88573    0.29204
     0.90089    0.29035
     0.91562    0.28952
     0.92938    0.28971
     0.94212    0.29110
     0.95389    0.29400
     0.96475    0.29897
     0.97481    0.30717
     0.98416    0.32090
     0.99288    0.34909
     1.00000    0.45893
