#      x          Cp  
     1.00000    0.44438
     0.99104    0.28634
     0.97927    0.22761
     0.96582    0.18286
     0.95087    0.14536
     0.93481    0.11174
     0.91792    0.08040
     0.90049    0.05033
     0.88272    0.02125
     0.86476   -0.00745
     0.84666   -0.03619
     0.82848   -0.06479
     0.81024   -0.09402
     0.79195   -0.12402
     0.77361   -0.15472
     0.75523   -0.18637
     0.73681   -0.21929
     0.71835   -0.25358
     0.69986   -0.28941
     0.68135   -0.32684
     0.66287   -0.36576
     0.64445   -0.40669
     0.62609   -0.44949
     0.60782   -0.49421
     0.58964   -0.54101
     0.57155   -0.59013
     0.55358   -0.64148
     0.53571   -0.69501
     0.51796   -0.75152
     0.50034   -0.80983
     0.48284   -0.87145
     0.46549   -0.93490
     0.44828   -1.00101
     0.43123   -1.06974
     0.41433   -1.14028
     0.39760   -1.21346
     0.38105   -1.28813
     0.36467   -1.36369
     0.34847   -1.44071
     0.33245   -1.51829
     0.31663   -1.59547
     0.30099   -1.67179
     0.28555   -1.74676
     0.27029   -1.81893
     0.25522   -1.88829
     0.24033   -1.95413
     0.22563   -2.01400
     0.21110   -2.06983
     0.19676   -2.11919
     0.18260   -2.16233
     0.16865   -2.19997
     0.15492   -2.23227
     0.14146   -2.25978
     0.12834   -2.28745
     0.11566   -2.31888
     0.10356   -2.35585
     0.09216   -2.40028
     0.08158   -2.45207
     0.07190   -2.51033
     0.06315   -2.57651
     0.05532   -2.64879
     0.04835   -2.72574
     0.04217   -2.80758
     0.03669   -2.89366
     0.03183   -2.98292
     0.02750   -3.07655
     0.02365   -3.17136
     0.02021   -3.26945
     0.01714   -3.36803
     0.01439   -3.46423
     0.01193   -3.56255
     0.00974   -3.64884
     0.00780   -3.73424
     0.00608   -3.80361
     0.00458   -3.84631
     0.00329   -3.86786
     0.00221   -3.84287
     0.00133   -3.76241
     0.00065   -3.62560
     0.00018   -3.42151
    -0.00010   -3.12648
    -0.00018   -2.76065
    -0.00007   -2.34943
     0.00025   -1.87334
     0.00079   -1.37935
     0.00156   -0.90775
     0.00256   -0.46728
     0.00380   -0.08677
     0.00528    0.22277
     0.00697    0.46548
     0.00891    0.65062
     0.01108    0.78563
     0.01349    0.88000
     0.01617    0.94253
     0.01914    0.97962
     0.02241    0.99707
     0.02603    0.99926
     0.03005    0.98958
     0.03451    0.97066
     0.03949    0.94458
     0.04506    0.91284
     0.05132    0.87686
     0.05836    0.83750
     0.06631    0.79593
     0.07525    0.75282
     0.08528    0.70931
     0.09643    0.66611
     0.10870    0.62424
     0.12200    0.58430
     0.13622    0.54696
     0.15120    0.51255
     0.16682    0.48103
     0.18293    0.45246
     0.19942    0.42656
     0.21623    0.40319
     0.23329    0.38202
     0.25054    0.36285
     0.26795    0.34543
     0.28550    0.32964
     0.30317    0.31527
     0.32093    0.30217
     0.33877    0.29012
     0.35669    0.27912
     0.37467    0.26904
     0.39270    0.25983
     0.41079    0.25137
     0.42891    0.24360
     0.44708    0.23647
     0.46529    0.22992
     0.48352    0.22391
     0.50179    0.21842
     0.52008    0.21337
     0.53839    0.20879
     0.55672    0.20463
     0.57507    0.20089
     0.59344    0.19755
     0.61182    0.19459
     0.63023    0.19199
     0.64864    0.18976
     0.66707    0.18789
     0.68551    0.18635
     0.70395    0.18518
     0.72239    0.18440
     0.74086    0.18403
     0.75934    0.18409
     0.77783    0.18460
     0.79629    0.18561
     0.81468    0.18715
     0.83298    0.18931
     0.85123    0.19222
     0.86949    0.19606
     0.88778    0.20106
     0.90586    0.20750
     0.92329    0.21568
     0.93960    0.22591
     0.95450    0.23877
     0.96798    0.25554
     0.98016    0.27899
     0.99120    0.31792
     1.00000    0.44438
