#      x          Cp  
     1.00000    0.36745
     0.99754    0.07755
     0.99070   -0.21348
     0.98037   -0.24663
     0.96698   -0.14435
     0.95044   -0.13824
     0.93064   -0.17878
     0.90775   -0.23883
     0.88202   -0.30642
     0.85370   -0.38296
     0.82309   -0.46353
     0.79048   -0.54422
     0.75616   -0.62530
     0.72043   -0.70367
     0.68359   -0.77888
     0.64594   -0.85340
     0.60778   -0.92519
     0.56937   -0.99679
     0.53099   -1.06922
     0.49265   -1.14333
     0.45435   -1.22214
     0.41638   -1.29842
     0.37887   -1.38539
     0.34204   -1.46924
     0.30609   -1.56463
     0.27120   -1.66065
     0.23760   -1.76456
     0.20549   -1.87724
     0.17504   -1.98685
     0.14648   -2.08734
     0.11999   -2.15307
     0.09576   -2.19857
     0.07395   -2.30181
     0.05468   -2.64341
     0.03811   -3.25998
     0.02433   -4.08839
     0.01338   -5.17243
     0.00548   -7.27799
     0.00098  -10.67313
     0.00000  -11.52809
     0.00098   -6.58900
     0.00548   -0.53577
     0.01338    0.86357
     0.02433    0.99964
     0.03811    0.96235
     0.05468    0.91121
     0.07395    0.86277
     0.09576    0.81848
     0.11999    0.77955
     0.14648    0.74565
     0.17504    0.71690
     0.20549    0.69358
     0.23760    0.67323
     0.27120    0.65585
     0.30609    0.64003
     0.34204    0.62552
     0.37887    0.61114
     0.41638    0.59770
     0.45435    0.58342
     0.49265    0.56977
     0.53099    0.55499
     0.56937    0.54073
     0.60778    0.52452
     0.64594    0.50799
     0.68359    0.49094
     0.72043    0.47255
     0.75616    0.45292
     0.79048    0.43313
     0.82309    0.41132
     0.85370    0.38945
     0.88202    0.36609
     0.90775    0.34493
     0.93064    0.32287
     0.95044    0.29348
     0.96698    0.22604
     0.98037    0.13525
     0.99070    0.08751
     0.99754    0.22435
     1.00000    0.36745
