#      x          Cp  
     1.00000    0.58855
     0.99188    0.33033
     0.98162    0.21934
     0.97024    0.12961
     0.95767    0.05423
     0.94391   -0.00996
     0.92922   -0.06285
     0.91393   -0.10712
     0.89834   -0.14522
     0.88253   -0.18031
     0.86652   -0.21278
     0.85029   -0.24362
     0.83389   -0.27406
     0.81736   -0.30563
     0.80078   -0.34099
     0.78425   -0.38576
     0.76784   -0.43581
     0.75159   -0.48827
     0.73552   -0.54161
     0.71960   -0.59415
     0.70379   -0.64389
     0.68802   -0.68519
     0.67222   -0.72032
     0.65634   -0.75244
     0.64033   -0.78269
     0.62418   -0.81217
     0.60787   -0.84182
     0.59140   -0.87365
     0.57480   -0.90828
     0.55810   -0.94514
     0.54134   -0.98465
     0.52456   -1.02752
     0.50780   -1.07471
     0.49113   -1.13017
     0.47460   -1.19380
     0.45823   -1.26167
     0.44203   -1.33248
     0.42599   -1.40502
     0.41008   -1.47814
     0.39425   -1.54886
     0.37844   -1.61591
     0.36263   -1.68270
     0.34679   -1.75051
     0.33094   -1.82073
     0.31511   -1.89488
     0.29935   -1.97658
     0.28374   -2.07267
     0.26834   -2.17559
     0.25321   -2.28117
     0.23836   -2.38693
     0.22379   -2.49033
     0.20948   -2.58922
     0.19539   -2.67915
     0.18149   -2.75749
     0.16777   -2.82969
     0.15424   -2.89788
     0.14093   -2.96868
     0.12791   -3.03928
     0.11524   -3.10382
     0.10302   -3.16065
     0.09131   -3.20786
     0.08020   -3.25066
     0.06976   -3.30984
     0.06008   -3.37541
     0.05133   -3.41631
     0.04365   -3.42833
     0.03701   -3.42877
     0.03126   -3.42121
     0.02625   -3.39966
     0.02182   -3.31845
     0.01786   -3.23292
     0.01436   -3.22734
     0.01133   -3.41871
     0.00876   -3.78949
     0.00664   -4.18342
     0.00490   -4.58288
     0.00348   -4.96879
     0.00233   -5.31822
     0.00142   -5.59792
     0.00075   -5.76271
     0.00028   -5.75744
     0.00004   -5.52970
     0.00001   -5.01560
     0.00020   -4.22422
     0.00061   -3.39305
     0.00122   -2.61002
     0.00204   -1.90991
     0.00307   -1.30241
     0.00433   -0.78474
     0.00584   -0.34889
     0.00762    0.01455
     0.00972    0.31444
     0.01217    0.55885
     0.01501    0.75637
     0.01833    0.89013
     0.02222    0.96314
     0.02676    0.99333
     0.03203    0.99988
     0.03808    0.99059
     0.04491    0.96842
     0.05252    0.93725
     0.06117    0.90329
     0.07137    0.86959
     0.08348    0.83337
     0.09705    0.79542
     0.11147    0.76194
     0.12667    0.73350
     0.14263    0.70931
     0.15924    0.68741
     0.17624    0.66700
     0.19343    0.64870
     0.21066    0.63200
     0.22793    0.61667
     0.24520    0.60266
     0.26245    0.58982
     0.27968    0.57804
     0.29686    0.56724
     0.31397    0.55747
     0.33098    0.54844
     0.34791    0.53983
     0.36474    0.53139
     0.38150    0.52279
     0.39822    0.51355
     0.41494    0.50254
     0.43169    0.49044
     0.44851    0.47779
     0.46542    0.46486
     0.48242    0.45200
     0.49951    0.43974
     0.51669    0.42917
     0.53393    0.41958
     0.55120    0.41056
     0.56850    0.40189
     0.58581    0.39338
     0.60310    0.38463
     0.62037    0.37523
     0.63760    0.36572
     0.65480    0.35629
     0.67195    0.34713
     0.68905    0.33840
     0.70611    0.33049
     0.72312    0.32357
     0.74010    0.31734
     0.75707    0.31173
     0.77403    0.30674
     0.79102    0.30239
     0.80808    0.29907
     0.82523    0.29667
     0.84247    0.29450
     0.85975    0.29213
     0.87696    0.28890
     0.89396    0.28390
     0.91059    0.27167
     0.92662    0.25716
     0.94180    0.24951
     0.95592    0.25639
     0.96886    0.28049
     0.98066    0.32148
     0.99141    0.38765
     1.00000    0.58855
