#      x          Cp  
     1.00000    0.99949
     0.99872    0.85929
     0.99599    0.59084
     0.99220    0.28418
     0.98732    0.01601
     0.98120   -0.12348
     0.97399   -0.20619
     0.96595   -0.32653
     0.95716   -0.44121
     0.94751   -0.52419
     0.93678   -0.55834
     0.92481   -0.59395
     0.91195   -0.71602
     0.89861   -0.85453
     0.88474   -0.93812
     0.87008   -0.99381
     0.85442   -1.03081
     0.83758   -1.05192
     0.81947   -1.06462
     0.80029   -1.08782
     0.78065   -1.16014
     0.76108   -1.24755
     0.74151   -1.30881
     0.72144   -1.33528
     0.70065   -1.36495
     0.67951   -1.43213
     0.65867   -1.51396
     0.63844   -1.59540
     0.61875   -1.66845
     0.59933   -1.72080
     0.57973   -1.73087
     0.55950   -1.72128
     0.53829   -1.70520
     0.51606   -1.69344
     0.49320   -1.71641
     0.47062   -1.79230
     0.44899   -1.88082
     0.42840   -1.96734
     0.40860   -2.04127
     0.38917   -2.07622
     0.36965   -2.07528
     0.34966   -2.06219
     0.32907   -2.04632
     0.30803   -2.03898
     0.28707   -2.07582
     0.26679   -2.14148
     0.24722   -2.18542
     0.22791   -2.17707
     0.20860   -2.16914
     0.18962   -2.22344
     0.17164   -2.33323
     0.15503   -2.44742
     0.13977   -2.55066
     0.12574   -2.63575
     0.11281   -2.69767
     0.10088   -2.72132
     0.08984   -2.66739
     0.07964   -2.61936
     0.07035   -2.68215
     0.06203   -2.83399
     0.05465   -2.98356
     0.04806   -3.09867
     0.04216   -3.16907
     0.03684   -3.22796
     0.03204   -3.28555
     0.02770   -3.35005
     0.02377   -3.45464
     0.02021   -3.60226
     0.01699   -3.72024
     0.01409   -3.78933
     0.01147   -3.80412
     0.00914   -3.78667
     0.00709   -3.75631
     0.00530   -3.71471
     0.00378   -3.66043
     0.00250   -3.58975
     0.00145   -3.49751
     0.00064   -3.37728
     0.00004   -3.22162
    -0.00032   -3.02259
    -0.00046   -2.77226
    -0.00036   -2.46427
    -0.00001   -2.08914
     0.00061   -1.63757
     0.00150   -1.18560
     0.00265   -0.76801
     0.00407   -0.39764
     0.00577   -0.07878
     0.00776    0.18932
     0.01004    0.40984
     0.01261    0.58727
     0.01548    0.72701
     0.01865    0.83230
     0.02213    0.90704
     0.02594    0.95604
     0.03011    0.98473
     0.03469    0.99795
     0.03975    0.99934
     0.04534    0.99195
     0.05153    0.97813
     0.05838    0.95902
     0.06596    0.93546
     0.07435    0.90794
     0.08358    0.87553
     0.09373    0.83872
     0.10488    0.80151
     0.11721    0.76836
     0.13091    0.73832
     0.14602    0.70999
     0.16211    0.67248
     0.17841    0.62921
     0.19442    0.59097
     0.21009    0.57731
     0.22559    0.58176
     0.24108    0.58651
     0.25666    0.57009
     0.27247    0.52297
     0.28869    0.46228
     0.30553    0.40646
     0.32324    0.37498
     0.34206    0.35475
     0.36219    0.34272
     0.38374    0.33590
     0.40661    0.32735
     0.43028    0.31102
     0.45417    0.29294
     0.47791    0.27464
     0.50146    0.25731
     0.52502    0.24213
     0.54880    0.22734
     0.57270    0.21155
     0.59632    0.19259
     0.61906    0.16320
     0.64045    0.13253
     0.66042    0.10889
     0.67911    0.09746
     0.69675    0.10570
     0.71357    0.15648
     0.72981    0.21564
     0.74572    0.25544
     0.76148    0.23776
     0.77723    0.18314
     0.79314    0.12205
     0.80946    0.09988
     0.82650    0.11918
     0.84422    0.14326
     0.86188    0.13346
     0.87851    0.10474
     0.89387    0.08644
     0.90822    0.10311
     0.92190    0.14267
     0.93484    0.16719
     0.94681    0.18490
     0.95765    0.18711
     0.96734    0.20634
     0.97603    0.27000
     0.98378    0.37969
     0.99042    0.59121
     0.99597    0.85256
     1.00000    0.99949
