#      x          Cp  
     1.00000    0.56094
     0.99838    0.04119
     0.99353    0.40829
     0.98547    0.17004
     0.97427    0.09786
     0.95999   -0.02878
     0.94273   -0.08884
     0.92260   -0.11273
     0.89972   -0.13983
     0.87426   -0.17129
     0.84636   -0.20312
     0.81622   -0.24032
     0.78403   -0.27901
     0.75000   -0.32407
     0.71435   -0.37331
     0.67730   -0.42788
     0.63911   -0.48731
     0.60001   -0.55418
     0.56027   -0.62790
     0.52013   -0.70793
     0.47987   -0.79876
     0.43973   -0.89782
     0.39999   -1.00782
     0.36089   -1.12799
     0.32270   -1.26129
     0.28565   -1.40434
     0.25000   -1.52535
     0.21597   -1.61907
     0.18378   -1.90847
     0.15364   -2.19388
     0.12574   -2.41886
     0.10028   -2.58489
     0.07741   -2.74253
     0.05727   -3.08516
     0.04001   -3.61381
     0.02573   -4.15010
     0.01453   -4.87976
     0.00647   -4.46309
     0.00162   -4.95111
     0.00000   -2.95996
     0.00162   -2.11617
     0.00647    0.51919
     0.01453    0.92652
     0.02573    0.99977
     0.04001    0.95672
     0.05727    0.88170
     0.07741    0.80414
     0.10028    0.73218
     0.12574    0.66698
     0.15364    0.60859
     0.18378    0.55568
     0.21597    0.50788
     0.25000    0.46087
     0.28565    0.41625
     0.32270    0.38523
     0.36089    0.36187
     0.39999    0.34472
     0.43973    0.33194
     0.47987    0.31994
     0.52013    0.30612
     0.56027    0.29324
     0.60001    0.28251
     0.63911    0.27478
     0.67730    0.27449
     0.71435    0.28053
     0.75000    0.29034
     0.78403    0.26424
     0.81622    0.25796
     0.84636    0.26122
     0.87426    0.20912
     0.89972    0.28351
     0.92260    0.23909
     0.94273    0.25160
     0.95999    0.26853
     0.97427    0.26008
     0.98547    0.28779
     0.99353    0.34310
     0.99838    0.37373
     1.00000    0.56094
