#      x          Cp  
     1.00000    0.35495
     0.99199    0.24981
     0.98038    0.17839
     0.96713    0.13632
     0.95314    0.09171
     0.93867    0.05068
     0.92402    0.01221
     0.90930   -0.02449
     0.89452   -0.06038
     0.87972   -0.09610
     0.86498   -0.13125
     0.85029   -0.16485
     0.83564   -0.19667
     0.82101   -0.22741
     0.80637   -0.25689
     0.79173   -0.28540
     0.77709   -0.31326
     0.76245   -0.34062
     0.74781   -0.36749
     0.73317   -0.39386
     0.71853   -0.41952
     0.70388   -0.44470
     0.68921   -0.46960
     0.67453   -0.49431
     0.65984   -0.51900
     0.64514   -0.54392
     0.63043   -0.56948
     0.61571   -0.59597
     0.60100   -0.62300
     0.58630   -0.65050
     0.57161   -0.67846
     0.55692   -0.70687
     0.54224   -0.73573
     0.52756   -0.76515
     0.51289   -0.79510
     0.49823   -0.82551
     0.48358   -0.85634
     0.46895   -0.88760
     0.45433   -0.91922
     0.43971   -0.95112
     0.42511   -0.98312
     0.41052   -1.01527
     0.39594   -1.04771
     0.38137   -1.08033
     0.36680   -1.11315
     0.35224   -1.14664
     0.33768   -1.18114
     0.32313   -1.21714
     0.30858   -1.25480
     0.29405   -1.29449
     0.27954   -1.33713
     0.26507   -1.38273
     0.25062   -1.43146
     0.23622   -1.48425
     0.22185   -1.54168
     0.20753   -1.60497
     0.19330   -1.67800
     0.17919   -1.75896
     0.16523   -1.84759
     0.15142   -1.94585
     0.13781   -2.05158
     0.12442   -2.16850
     0.11132   -2.29506
     0.09854   -2.42751
     0.08611   -2.56710
     0.07410   -2.71290
     0.06261   -2.87617
     0.05181   -3.04445
     0.04190   -3.21971
     0.03308   -3.39688
     0.02553   -3.61227
     0.01935   -3.83641
     0.01451   -4.06079
     0.01076   -4.29688
     0.00780   -4.54284
     0.00542   -4.99952
     0.00353   -5.63938
     0.00212   -6.14371
     0.00113   -6.42438
     0.00048   -6.54346
     0.00011   -6.49082
    -0.00001   -6.86053
     0.00021   -6.25346
     0.00084   -4.09374
     0.00191   -2.24076
     0.00343   -0.92387
     0.00547   -0.11395
     0.00806    0.37220
     0.01132    0.69316
     0.01531    0.87601
     0.02016    0.96422
     0.02625    0.99824
     0.03414    0.99087
     0.04395    0.95275
     0.05503    0.89934
     0.06699    0.84054
     0.07962    0.78282
     0.09271    0.72980
     0.10610    0.68223
     0.11970    0.63996
     0.13348    0.60329
     0.14743    0.57187
     0.16154    0.54505
     0.17580    0.52167
     0.19017    0.50122
     0.20463    0.48368
     0.21917    0.46871
     0.23381    0.45585
     0.24855    0.44457
     0.26336    0.43397
     0.27823    0.42407
     0.29313    0.41493
     0.30806    0.40629
     0.32301    0.39808
     0.33799    0.39030
     0.35298    0.38279
     0.36798    0.37542
     0.38300    0.36831
     0.39801    0.36142
     0.41303    0.35467
     0.42804    0.34812
     0.44306    0.34179
     0.45807    0.33570
     0.47307    0.32985
     0.48807    0.32431
     0.50306    0.31915
     0.51806    0.31459
     0.53307    0.31043
     0.54810    0.30651
     0.56314    0.30264
     0.57819    0.29870
     0.59324    0.29484
     0.60829    0.29113
     0.62334    0.28772
     0.63837    0.28449
     0.65339    0.28126
     0.66840    0.27781
     0.68340    0.27391
     0.69840    0.26981
     0.71341    0.26555
     0.72844    0.26107
     0.74348    0.25649
     0.75852    0.25190
     0.77356    0.24731
     0.78858    0.24284
     0.80358    0.23863
     0.81856    0.23482
     0.83352    0.23156
     0.84846    0.22908
     0.86338    0.22778
     0.87828    0.22777
     0.89319    0.22959
     0.90814    0.23371
     0.92312    0.23968
     0.93801    0.24788
     0.95266    0.25743
     0.96690    0.26824
     0.98025    0.28109
     0.99187    0.30370
     1.00000    0.35495
