#      x          Cp  
     1.00000    0.28273
     0.99276    0.03913
     0.98256    0.03654
     0.97011   -0.04254
     0.95618   -0.09495
     0.94120   -0.13204
     0.92573   -0.19841
     0.91027   -0.23860
     0.89417   -0.26141
     0.87781   -0.31060
     0.86200   -0.37267
     0.84651   -0.38443
     0.83090   -0.42467
     0.81543   -0.48974
     0.79963   -0.51133
     0.78350   -0.54841
     0.76740   -0.58444
     0.75125   -0.61858
     0.73508   -0.65365
     0.71893   -0.68946
     0.70290   -0.73127
     0.68700   -0.76487
     0.67112   -0.79331
     0.65524   -0.81382
     0.63914   -0.82054
     0.62286   -0.83921
     0.60657   -0.85642
     0.59025   -0.87503
     0.57392   -0.88646
     0.55730   -0.88975
     0.54074   -0.92357
     0.52428   -0.92844
     0.50750   -0.93814
     0.49075   -0.96984
     0.47427   -0.99798
     0.45765   -1.00294
     0.44085   -1.02488
     0.42422   -1.06374
     0.40777   -1.08657
     0.39117   -1.09129
     0.37454   -1.13324
     0.35807   -1.17362
     0.34156   -1.19017
     0.32479   -1.21554
     0.30821   -1.28288
     0.29217   -1.32640
     0.27585   -1.33224
     0.25953   -1.39970
     0.24325   -1.42398
     0.22689   -1.50238
     0.21094   -1.57574
     0.19483   -1.61686
     0.17858   -1.69502
     0.16260   -1.79836
     0.14684   -1.89898
     0.13128   -2.03564
     0.11634   -2.20375
     0.10184   -2.35059
     0.08801   -2.57365
     0.07545   -2.82885
     0.06451   -3.29736
     0.05516   -3.42704
     0.04691   -3.87136
     0.03969   -4.49021
     0.03343   -4.50888
     0.02792   -4.91469
     0.02314   -4.81164
     0.01898   -5.64906
     0.01548   -5.58574
     0.01245   -5.70629
     0.00984   -6.06957
     0.00764   -6.26024
     0.00577   -6.36412
     0.00419   -6.53509
     0.00286   -6.76219
     0.00177   -8.00431
     0.00104   -6.15244
     0.00038   -7.83587
     0.00005   -6.48347
    -0.00012   -6.23646
    -0.00010   -6.31472
     0.00025   -5.36164
     0.00095   -3.45764
     0.00187   -2.62521
     0.00304   -1.91175
     0.00457   -1.00361
     0.00644   -0.37194
     0.00866    0.09738
     0.01126    0.43547
     0.01432    0.66608
     0.01789    0.80832
     0.02205    0.90731
     0.02700    0.96884
     0.03293    0.99630
     0.03998    0.99813
     0.04800    0.98178
     0.05714    0.95267
     0.06747    0.91594
     0.07900    0.87656
     0.09200    0.83444
     0.10572    0.78579
     0.12028    0.74464
     0.13574    0.70489
     0.15159    0.66399
     0.16742    0.62399
     0.18323    0.58877
     0.19931    0.55831
     0.21538    0.52279
     0.23133    0.49528
     0.24753    0.46761
     0.26349    0.43782
     0.27961    0.41865
     0.29563    0.38641
     0.31133    0.36957
     0.32751    0.35869
     0.34383    0.33878
     0.35986    0.31820
     0.37596    0.31019
     0.39218    0.29361
     0.40816    0.28528
     0.42453    0.28431
     0.44090    0.26794
     0.45714    0.26129
     0.47330    0.24889
     0.48914    0.25330
     0.50485    0.23359
     0.52062    0.23376
     0.53681    0.23383
     0.55298    0.23111
     0.56916    0.22980
     0.58517    0.22504
     0.60095    0.22697
     0.61681    0.23776
     0.63284    0.24541
     0.64862    0.25017
     0.66430    0.26481
     0.67983    0.27708
     0.69507    0.31093
     0.71041    0.33901
     0.72595    0.34542
     0.74172    0.37527
     0.75766    0.40131
     0.77361    0.41942
     0.78958    0.44124
     0.80487    0.46854
     0.81996    0.47692
     0.83509    0.49499
     0.84959    0.51043
     0.86405    0.51157
     0.87872    0.51490
     0.89324    0.51953
     0.90749    0.52157
     0.92166    0.51810
     0.93545    0.52275
     0.94841    0.52353
     0.96074    0.51045
     0.97243    0.49520
     0.98312    0.46887
     0.99261    0.39411
     1.00000    0.28273
