#      x          Cp  
     1.00000    0.37655
     0.99314    0.17552
     0.98431    0.09561
     0.97428    0.02669
     0.96283   -0.02859
     0.94987   -0.07169
     0.93574   -0.09507
     0.92152   -0.10600
     0.90721   -0.11282
     0.89293   -0.12756
     0.87890   -0.15262
     0.86499   -0.18104
     0.85112   -0.21174
     0.83722   -0.24374
     0.82323   -0.27614
     0.80913   -0.30789
     0.79491   -0.33590
     0.78058   -0.35851
     0.76616   -0.37885
     0.75169   -0.39790
     0.73720   -0.41654
     0.72272   -0.43571
     0.70822   -0.45652
     0.69373   -0.48240
     0.67929   -0.51403
     0.66492   -0.54756
     0.65061   -0.58159
     0.63636   -0.61467
     0.62217   -0.64520
     0.60800   -0.67122
     0.59385   -0.68634
     0.57969   -0.68945
     0.56549   -0.68784
     0.55124   -0.68407
     0.53695   -0.68054
     0.52261   -0.67964
     0.50824   -0.68411
     0.49385   -0.70203
     0.47947   -0.73557
     0.46513   -0.77653
     0.45082   -0.82252
     0.43655   -0.87144
     0.42232   -0.92122
     0.40810   -0.96955
     0.39389   -1.01001
     0.37964   -1.04059
     0.36536   -1.06722
     0.35102   -1.09153
     0.33662   -1.11497
     0.32219   -1.13885
     0.30775   -1.16459
     0.29334   -1.19589
     0.27898   -1.23350
     0.26472   -1.27414
     0.25055   -1.31696
     0.23646   -1.36118
     0.22240   -1.40585
     0.20833   -1.44993
     0.19417   -1.48357
     0.17983   -1.50833
     0.16535   -1.54854
     0.15093   -1.63063
     0.13689   -1.81537
     0.12345   -2.04526
     0.11050   -2.27827
     0.09773   -2.43880
     0.08468   -2.43653
     0.07103   -2.61411
     0.05734   -3.18857
     0.04566   -3.60775
     0.03650   -3.80497
     0.02833   -4.04313
     0.01832   -4.22535
     0.01008   -5.21765
     0.00641   -6.82120
     0.00410   -8.47771
     0.00248  -10.42998
     0.00134  -12.68311
     0.00057  -15.01049
     0.00012  -16.62542
     0.00000  -15.87500
     0.00020  -12.05838
     0.00072   -8.05866
     0.00157   -4.97638
     0.00278   -2.81627
     0.00444   -1.34495
     0.00675   -0.34271
     0.01014    0.34388
     0.01599    0.81482
     0.02548    0.99396
     0.03517    0.99282
     0.04591    0.96506
     0.05811    0.92380
     0.07043    0.86278
     0.08258    0.80626
     0.09546    0.76850
     0.10951    0.73525
     0.12397    0.70565
     0.13841    0.68215
     0.15290    0.66270
     0.16726    0.64577
     0.18162    0.63114
     0.19607    0.61825
     0.21063    0.60633
     0.22522    0.59525
     0.23981    0.58499
     0.25438    0.57536
     0.26890    0.56613
     0.28336    0.55703
     0.29776    0.54768
     0.31215    0.53716
     0.32654    0.52588
     0.34095    0.51425
     0.35540    0.50244
     0.36990    0.49062
     0.38445    0.47904
     0.39903    0.46809
     0.41364    0.45862
     0.42824    0.45005
     0.44284    0.44194
     0.45743    0.43409
     0.47199    0.42626
     0.48652    0.41820
     0.50103    0.40944
     0.51552    0.39920
     0.53000    0.38826
     0.54448    0.37701
     0.55896    0.36568
     0.57344    0.35456
     0.58793    0.34395
     0.60243    0.33452
     0.61693    0.32705
     0.63144    0.32062
     0.64596    0.31490
     0.66048    0.30966
     0.67502    0.30471
     0.68958    0.29988
     0.70417    0.29489
     0.71875    0.28953
     0.73330    0.28392
     0.74781    0.27801
     0.76231    0.27167
     0.77682    0.26475
     0.79138    0.25697
     0.80594    0.24741
     0.82034    0.23596
     0.83459    0.22392
     0.84868    0.21174
     0.86268    0.19980
     0.87666    0.18843
     0.89073    0.17800
     0.90504    0.16882
     0.91952    0.16176
     0.93381    0.15835
     0.94821    0.16055
     0.96166    0.17118
     0.97354    0.18966
     0.98390    0.21785
     0.99298    0.25922
     1.00000    0.37655
