#      x          Cp  
     1.00000    0.54339
     0.99148    0.17983
     0.98111    0.05130
     0.97002    0.03349
     0.95820    0.02515
     0.94589   -0.10253
     0.93296   -0.19542
     0.91913   -0.21313
     0.90430   -0.22023
     0.88893   -0.28344
     0.87365   -0.38402
     0.85851   -0.46244
     0.84292   -0.46957
     0.82631   -0.45410
     0.80854   -0.46758
     0.79012   -0.51380
     0.77185   -0.58316
     0.75425   -0.66757
     0.73708   -0.73258
     0.71964   -0.75557
     0.70165   -0.78331
     0.68387   -0.87068
     0.66629   -0.87796
     0.64820   -0.88161
     0.62990   -0.91398
     0.61180   -0.98063
     0.59410   -1.02159
     0.57620   -1.02180
     0.55835   -1.04722
     0.54065   -1.04432
     0.52322   -1.14749
     0.50586   -1.16234
     0.48813   -1.16795
     0.47065   -1.23946
     0.45387   -1.24474
     0.43732   -1.22942
     0.42110   -1.36227
     0.40462   -1.27161
     0.38713   -1.26571
     0.36905   -1.32734
     0.35095   -1.38565
     0.33288   -1.40076
     0.31474   -1.43493
     0.29671   -1.53392
     0.27877   -1.59822
     0.26103   -1.69952
     0.24398   -1.82496
     0.22772   -1.93325
     0.21158   -1.91347
     0.19491   -1.90052
     0.17843   -2.00579
     0.16260   -2.07137
     0.14729   -2.04685
     0.13276   -2.20934
     0.11959   -2.50908
     0.10769   -2.76985
     0.09661   -2.66222
     0.08599   -2.66590
     0.07606   -3.07105
     0.06692   -3.29442
     0.05839   -3.34393
     0.05057   -3.49384
     0.04365   -3.84955
     0.03761   -4.02492
     0.03228   -4.09440
     0.02755   -4.21696
     0.02340   -4.36073
     0.01975   -4.52485
     0.01651   -4.65950
     0.01361   -4.73059
     0.01101   -4.78034
     0.00871   -4.85644
     0.00671   -4.94096
     0.00501   -5.02543
     0.00358   -5.09955
     0.00239   -5.15055
     0.00144   -5.16233
     0.00072   -5.11449
     0.00021   -4.98283
    -0.00008   -4.74059
    -0.00016   -4.36379
     0.00000   -3.82365
     0.00040   -3.10731
     0.00105   -2.37938
     0.00193   -1.70983
     0.00305   -1.12274
     0.00443   -0.62373
     0.00608   -0.20886
     0.00801    0.12985
     0.01025    0.40090
     0.01281    0.61556
     0.01570    0.77828
     0.01894    0.88701
     0.02257    0.95116
     0.02664    0.98469
     0.03120    0.99869
     0.03637    0.99815
     0.04223    0.98697
     0.04886    0.96625
     0.05633    0.93930
     0.06489    0.91270
     0.07474    0.88376
     0.08585    0.84230
     0.09821    0.80223
     0.11215    0.76790
     0.12723    0.72594
     0.14252    0.68113
     0.15816    0.66683
     0.17469    0.63544
     0.19206    0.59411
     0.20976    0.55692
     0.22750    0.52729
     0.24528    0.50034
     0.26281    0.45792
     0.28033    0.43365
     0.29811    0.41194
     0.31546    0.36772
     0.33208    0.35640
     0.34852    0.33182
     0.36465    0.28230
     0.38126    0.28825
     0.39835    0.25988
     0.41523    0.23823
     0.43203    0.22715
     0.44896    0.23534
     0.46609    0.23774
     0.48309    0.20697
     0.49993    0.20412
     0.51693    0.22752
     0.53405    0.21059
     0.55117    0.20559
     0.56873    0.22098
     0.58644    0.21699
     0.60364    0.21544
     0.62074    0.24818
     0.63799    0.24326
     0.65489    0.23432
     0.67133    0.26214
     0.68784    0.28939
     0.70431    0.29058
     0.72104    0.32897
     0.73774    0.35508
     0.75382    0.41126
     0.76947    0.45533
     0.78499    0.46811
     0.80098    0.46597
     0.81678    0.49159
     0.83225    0.47451
     0.84828    0.46218
     0.86444    0.48792
     0.87984    0.51758
     0.89454    0.52512
     0.90923    0.50200
     0.92442    0.46262
     0.93938    0.44572
     0.95322    0.47747
     0.96605    0.47177
     0.97845    0.41648
     0.99038    0.40970
     1.00000    0.54339
