#      x          Cp  
     1.00000    0.38660
     0.99382    0.21757
     0.98580    0.14995
     0.97653    0.09530
     0.96569    0.04703
     0.95299    0.00102
     0.93920   -0.04155
     0.92582   -0.07769
     0.91228   -0.10980
     0.89826   -0.13759
     0.88441   -0.15820
     0.87080   -0.17469
     0.85727   -0.18880
     0.84370   -0.20174
     0.82999   -0.21464
     0.81611   -0.22873
     0.80205   -0.24591
     0.78785   -0.27067
     0.77370   -0.30041
     0.75959   -0.33296
     0.74547   -0.36761
     0.73131   -0.40365
     0.71710   -0.44027
     0.70291   -0.47612
     0.68875   -0.50833
     0.67461   -0.53801
     0.66046   -0.56650
     0.64631   -0.59421
     0.63213   -0.62150
     0.61792   -0.64865
     0.60369   -0.67594
     0.58943   -0.70399
     0.57516   -0.73268
     0.56087   -0.76188
     0.54657   -0.79157
     0.53226   -0.82180
     0.51795   -0.85268
     0.50365   -0.88438
     0.48936   -0.91757
     0.47507   -0.95185
     0.46080   -0.98665
     0.44655   -1.02164
     0.43230   -1.05643
     0.41804   -1.09048
     0.40377   -1.12290
     0.38948   -1.15019
     0.37513   -1.17454
     0.36074   -1.19924
     0.34633   -1.22610
     0.33195   -1.25724
     0.31756   -1.29556
     0.30315   -1.34583
     0.28872   -1.42287
     0.27440   -1.51885
     0.26020   -1.62392
     0.24614   -1.73338
     0.23218   -1.84194
     0.21831   -1.94228
     0.20445   -2.02333
     0.19053   -2.03711
     0.17647   -2.01490
     0.16226   -2.01665
     0.14805   -2.12937
     0.13409   -2.47407
     0.12064   -2.87967
     0.10777   -3.23088
     0.09542   -3.21457
     0.08328   -2.78448
     0.07064   -2.36955
     0.05879   -2.15798
     0.04640   -2.54577
     0.03736   -3.52708
     0.03018   -4.67982
     0.02233   -5.02795
     0.01438   -3.94855
     0.00774   -5.57161
     0.00471   -7.61004
     0.00275  -10.24955
     0.00140  -14.18061
     0.00051  -20.36919
     0.00002  -29.93939
    -0.00009  -37.66938
     0.00021  -25.72276
     0.00095  -11.70965
     0.00220   -5.13211
     0.00409   -1.95301
     0.00705   -0.28695
     0.01350    0.64087
     0.02289    0.90964
     0.03276    0.98890
     0.04202    0.99930
     0.05451    0.97623
     0.06749    0.94016
     0.08122    0.89653
     0.09459    0.84377
     0.10821    0.79592
     0.12218    0.76295
     0.13638    0.74029
     0.15073    0.72333
     0.16512    0.70420
     0.17953    0.68487
     0.19391    0.66580
     0.20827    0.64617
     0.22260    0.62595
     0.23691    0.60569
     0.25122    0.58563
     0.26553    0.56606
     0.27983    0.54741
     0.29415    0.53022
     0.30847    0.51627
     0.32281    0.50548
     0.33715    0.49655
     0.35152    0.48901
     0.36589    0.48246
     0.38028    0.47645
     0.39468    0.47052
     0.40909    0.46348
     0.42350    0.45545
     0.43792    0.44712
     0.45234    0.43865
     0.46677    0.43017
     0.48119    0.42182
     0.49562    0.41372
     0.51005    0.40623
     0.52449    0.39927
     0.53892    0.39261
     0.55335    0.38622
     0.56778    0.38003
     0.58221    0.37400
     0.59665    0.36808
     0.61108    0.36215
     0.62550    0.35625
     0.63990    0.35043
     0.65430    0.34469
     0.66869    0.33905
     0.68308    0.33351
     0.69749    0.32807
     0.71192    0.32277
     0.72629    0.31762
     0.74060    0.31260
     0.75488    0.30769
     0.76914    0.30290
     0.78342    0.29818
     0.79778    0.29353
     0.81215    0.28895
     0.82633    0.28452
     0.84033    0.28026
     0.85418    0.27619
     0.86798    0.27229
     0.88183    0.26859
     0.89592    0.26511
     0.91017    0.26204
     0.92392    0.25966
     0.93745    0.25807
     0.95141    0.25773
     0.96462    0.25967
     0.97586    0.26484
     0.98542    0.27478
     0.99367    0.29744
     1.00000    0.38660
