#      x          Cp  
     1.00000    0.55354
     0.99124    0.36395
     0.97935    0.28672
     0.96575    0.22659
     0.95087    0.17666
     0.93522    0.13245
     0.91914    0.09223
     0.90286    0.05476
     0.88648    0.01906
     0.87007   -0.01502
     0.85366   -0.04803
     0.83726   -0.08000
     0.82092   -0.11084
     0.80465   -0.14153
     0.78847   -0.17296
     0.77237   -0.20596
     0.75634   -0.24140
     0.74040   -0.27962
     0.72451   -0.32375
     0.70862   -0.37615
     0.69268   -0.43677
     0.67664   -0.50489
     0.66052   -0.58055
     0.64438   -0.66413
     0.62831   -0.75647
     0.61242   -0.86069
     0.59679   -0.97436
     0.58141   -1.09496
     0.56628   -1.22066
     0.55138   -1.34928
     0.53669   -1.47902
     0.52217   -1.60840
     0.50779   -1.73154
     0.49350   -1.84492
     0.47927   -1.94716
     0.46505   -2.04248
     0.45086   -2.13270
     0.43669   -2.21252
     0.42252   -2.27555
     0.40829   -2.32107
     0.39398   -2.35531
     0.37958   -2.38097
     0.36511   -2.40236
     0.35059   -2.42285
     0.33604   -2.44073
     0.32150   -2.45509
     0.30697   -2.46740
     0.29247   -2.47497
     0.27801   -2.47864
     0.26360   -2.47844
     0.24924   -2.47553
     0.23496   -2.47048
     0.22075   -2.46292
     0.20665   -2.45400
     0.19266   -2.44474
     0.17880   -2.43323
     0.16511   -2.42235
     0.15160   -2.41127
     0.13830   -2.40087
     0.12528   -2.39195
     0.11257   -2.38544
     0.10025   -2.38208
     0.08841   -2.38092
     0.07715   -2.37991
     0.06659   -2.37830
     0.05686   -2.37612
     0.04807   -2.37651
     0.04030   -2.37964
     0.03358   -2.38798
     0.02784   -2.40432
     0.02298   -2.42752
     0.01889   -2.45442
     0.01543   -2.47939
     0.01252   -2.50343
     0.01004   -2.52951
     0.00793   -2.56042
     0.00614   -2.60111
     0.00461   -2.64804
     0.00332   -2.71076
     0.00224   -2.80891
     0.00137   -2.92409
     0.00069   -3.05472
     0.00024   -3.11130
     0.00002   -3.03510
     0.00004   -2.74921
     0.00033   -2.24316
     0.00089   -1.62280
     0.00173   -1.02610
     0.00284   -0.52242
     0.00422   -0.10485
     0.00589    0.24775
     0.00788    0.53370
     0.01021    0.74240
     0.01289    0.87814
     0.01595    0.95525
     0.01944    0.99065
     0.02344    0.99999
     0.02806    0.99422
     0.03343    0.97831
     0.03971    0.95370
     0.04710    0.92190
     0.05579    0.88534
     0.06599    0.84702
     0.07782    0.80855
     0.09115    0.76891
     0.10561    0.73069
     0.12088    0.69550
     0.13671    0.66418
     0.15293    0.63550
     0.16938    0.60929
     0.18600    0.58538
     0.20272    0.56331
     0.21952    0.54319
     0.23637    0.52427
     0.25326    0.50680
     0.27017    0.49052
     0.28711    0.47515
     0.30405    0.46083
     0.32101    0.44746
     0.33798    0.43466
     0.35495    0.42238
     0.37189    0.41014
     0.38878    0.39849
     0.40563    0.38842
     0.42248    0.38001
     0.43935    0.37298
     0.45626    0.36712
     0.47323    0.36217
     0.49027    0.35806
     0.50737    0.35393
     0.52450    0.34962
     0.54166    0.34558
     0.55884    0.34177
     0.57604    0.33822
     0.59327    0.33520
     0.61052    0.33219
     0.62778    0.32909
     0.64505    0.32636
     0.66232    0.32367
     0.67959    0.32093
     0.69684    0.31819
     0.71410    0.31542
     0.73134    0.31275
     0.74858    0.31007
     0.76581    0.30734
     0.78304    0.30466
     0.80025    0.30205
     0.81745    0.29946
     0.83462    0.29664
     0.85175    0.29285
     0.86883    0.28728
     0.88578    0.28159
     0.90251    0.27795
     0.91897    0.27755
     0.93506    0.28153
     0.95063    0.29196
     0.96540    0.31136
     0.97899    0.34307
     0.99102    0.39541
     1.00000    0.55354
