#      x          Cp  
     1.00000    0.27874
     0.99206   -0.07330
     0.98408   -0.09794
     0.97716   -0.04486
     0.97111    0.05766
     0.96577    0.12345
     0.96102    0.10461
     0.95673   -0.12854
     0.95266   -0.56681
     0.94858   -0.93735
     0.94432   -0.96413
     0.93981   -0.83897
     0.93501   -0.64414
     0.92984   -0.43498
     0.92423   -0.24633
     0.91814   -0.15538
     0.91150   -0.22603
     0.90412   -0.37951
     0.89567   -0.48989
     0.88563   -0.47711
     0.87358   -0.48091
     0.85967   -0.52955
     0.84403   -0.54547
     0.82661   -0.56196
     0.80793   -0.57862
     0.78831   -0.59114
     0.76802   -0.59987
     0.74719   -0.60709
     0.72595   -0.61903
     0.70446   -0.63270
     0.68276   -0.64610
     0.66089   -0.65850
     0.63886   -0.67329
     0.61674   -0.69023
     0.59456   -0.70777
     0.57234   -0.72696
     0.55009   -0.74702
     0.52783   -0.76873
     0.50557   -0.79195
     0.48330   -0.81452
     0.46099   -0.83798
     0.43864   -0.86447
     0.41622   -0.88947
     0.39376   -0.92154
     0.37130   -0.95651
     0.34887   -0.99637
     0.32652   -1.04321
     0.30428   -1.09391
     0.28218   -1.15310
     0.26027   -1.21760
     0.23858   -1.29197
     0.21718   -1.37482
     0.19618   -1.47273
     0.17571   -1.58136
     0.15590   -1.70139
     0.13697   -1.84023
     0.11926   -1.99833
     0.10304   -2.15671
     0.08841   -2.29509
     0.07556   -2.49000
     0.06468   -2.76413
     0.05550   -3.04656
     0.04766   -3.32588
     0.04091   -3.59484
     0.03503   -3.88993
     0.02988   -4.17987
     0.02531   -4.46917
     0.02126   -4.67207
     0.01764   -4.68769
     0.01440   -4.66831
     0.01153   -4.24556
     0.00898   -3.67008
     0.00681   -2.62366
     0.00502   -0.35091
     0.00344    0.92761
     0.00216    0.42882
     0.00122  -59.88471
     0.00055  -57.13644
     0.00015***********
     0.00000***********
     0.00009***********
     0.00041  -45.91520
     0.00101  -76.88164
     0.00187   -3.15313
     0.00304   -0.47304
     0.00453    0.72714
     0.00621    0.98342
     0.00820    0.99807
     0.01061    0.99902
     0.01329    0.99875
     0.01629    1.00000
     0.01960    0.99833
     0.02323    0.99316
     0.02719    0.98468
     0.03150    0.97363
     0.03611    0.95914
     0.04105    0.94112
     0.04633    0.92513
     0.05200    0.91357
     0.05808    0.90493
     0.06457    0.88807
     0.07152    0.85629
     0.07910    0.81165
     0.08772    0.77773
     0.09799    0.75675
     0.11041    0.72709
     0.12474    0.68997
     0.14086    0.65275
     0.15864    0.61634
     0.17770    0.58181
     0.19771    0.54880
     0.21836    0.51839
     0.23941    0.48909
     0.26068    0.46170
     0.28210    0.43661
     0.30360    0.41264
     0.32515    0.39075
     0.34674    0.37020
     0.36836    0.35045
     0.38990    0.33027
     0.41135    0.31256
     0.43271    0.29466
     0.45393    0.27932
     0.47495    0.25941
     0.49551    0.24259
     0.51570    0.22649
     0.53518    0.20158
     0.55393    0.19262
     0.57239    0.18910
     0.59042    0.18748
     0.60811    0.19856
     0.62568    0.21960
     0.64306    0.24203
     0.66008    0.27803
     0.67715    0.35759
     0.69501    0.39924
     0.71355    0.42773
     0.73224    0.45638
     0.75087    0.47672
     0.76943    0.51331
     0.78776    0.48491
     0.80582    0.51680
     0.82345    0.52801
     0.84051    0.53890
     0.85673    0.54907
     0.87197    0.55556
     0.88596    0.56610
     0.89834    0.57469
     0.90952    0.54910
     0.91981    0.53542
     0.92899    0.58344
     0.93707    0.62833
     0.94439    0.65108
     0.95131    0.62809
     0.95825    0.51165
     0.96564    0.45383
     0.97365    0.47330
     0.98227    0.48205
     0.99151    0.42707
     1.00000    0.27874
