#      x          Cp  
     1.00000    0.18666
     0.99198   -0.16562
     0.98394   -0.20439
     0.97697   -0.13789
     0.97088   -0.01230
     0.96552    0.05699
     0.96074    0.03713
     0.95642   -0.23485
     0.95232   -0.71086
     0.94818   -1.07306
     0.94384   -1.07031
     0.93925   -0.92110
     0.93435   -0.70549
     0.92907   -0.48167
     0.92334   -0.28548
     0.91711   -0.21685
     0.91029   -0.30897
     0.90269   -0.47770
     0.89391   -0.56248
     0.88343   -0.53772
     0.87089   -0.55450
     0.85653   -0.59886
     0.84038   -0.60923
     0.82252   -0.62635
     0.80346   -0.64093
     0.78351   -0.65445
     0.76293   -0.66395
     0.74182   -0.67149
     0.72033   -0.68349
     0.69862   -0.69593
     0.67670   -0.70821
     0.65461   -0.72020
     0.63237   -0.73555
     0.61006   -0.75260
     0.58769   -0.77069
     0.56528   -0.79069
     0.54285   -0.81146
     0.52041   -0.83475
     0.49798   -0.85870
     0.47552   -0.88212
     0.45301   -0.90827
     0.43048   -0.93515
     0.40785   -0.96415
     0.38522   -0.99958
     0.36259   -1.03840
     0.34000   -1.08378
     0.31752   -1.13591
     0.29515   -1.19326
     0.27296   -1.25978
     0.25096   -1.33357
     0.22922   -1.41786
     0.20781   -1.51529
     0.18688   -1.62863
     0.16653   -1.75430
     0.14695   -1.89786
     0.12843   -2.06876
     0.11130   -2.25755
     0.09575   -2.44345
     0.08188   -2.64312
     0.06995   -2.96522
     0.05991   -3.34721
     0.05140   -3.76293
     0.04411   -4.20177
     0.03779   -4.69603
     0.03227   -5.26202
     0.02741   -5.89736
     0.02310   -6.57949
     0.01926   -7.21873
     0.01583   -7.80365
     0.01277   -8.63106
     0.01007   -8.74807
     0.00769  -10.04438
     0.00575   -8.82200
     0.00408   -8.37952
     0.00265   -8.76976
     0.00157   -8.06326
     0.00079   -7.28952
     0.00027   -6.64007
     0.00003   -5.79661
     0.00003   -5.02821
     0.00026   -4.30797
     0.00076   -3.49717
     0.00153   -2.78869
     0.00259   -2.10672
     0.00400   -1.24813
     0.00564   -0.74647
     0.00751   -0.45570
     0.00982    0.10314
     0.01244    0.40788
     0.01537    0.64053
     0.01862    0.79488
     0.02218    0.89389
     0.02608    0.95377
     0.03032    0.98573
     0.03489    0.99873
     0.03978    0.99828
     0.04501    0.98878
     0.05063    0.97604
     0.05666    0.96321
     0.06310    0.94688
     0.06999    0.92012
     0.07748    0.88129
     0.08590    0.84366
     0.09587    0.81691
     0.10795    0.78609
     0.12205    0.74714
     0.13795    0.70793
     0.15560    0.66950
     0.17461    0.63316
     0.19464    0.59868
     0.21536    0.56693
     0.23654    0.53681
     0.25795    0.50858
     0.27952    0.48294
     0.30118    0.45857
     0.32290    0.43647
     0.34466    0.41573
     0.36645    0.39632
     0.38816    0.37641
     0.40979    0.35908
     0.43133    0.34190
     0.45273    0.32720
     0.47393    0.30890
     0.49468    0.29313
     0.51506    0.27890
     0.53475    0.25657
     0.55372    0.24927
     0.57241    0.24776
     0.59074    0.24976
     0.60886    0.26257
     0.62706    0.29343
     0.64577    0.33008
     0.66443    0.36784
     0.68304    0.42442
     0.70203    0.45072
     0.72120    0.47456
     0.74023    0.49596
     0.75910    0.51141
     0.77778    0.52620
     0.79613    0.53795
     0.81409    0.54867
     0.83146    0.55770
     0.84804    0.56622
     0.86351    0.57309
     0.87781    0.57712
     0.89051    0.59031
     0.90158    0.58815
     0.91152    0.55268
     0.92057    0.54492
     0.92867    0.59907
     0.93588    0.64868
     0.94243    0.67908
     0.94856    0.68341
     0.95453    0.60319
     0.96069    0.47371
     0.96738    0.45230
     0.97472    0.48152
     0.98279    0.49614
     0.99164    0.47666
     1.00000    0.18666
