#      x          Cp  
     1.00000    0.40888
     0.99057    0.18109
     0.97821    0.08679
     0.96425    0.02370
     0.94923   -0.04189
     0.93395   -0.12655
     0.91839   -0.15494
     0.90222   -0.18011
     0.88589   -0.23221
     0.86969   -0.27544
     0.85366   -0.28435
     0.83786   -0.29917
     0.82233   -0.38393
     0.80690   -0.41461
     0.79162   -0.44802
     0.77705   -0.55822
     0.76310   -0.52595
     0.74937   -0.45340
     0.73582   -0.57588
     0.72230   -0.65165
     0.70857   -0.56631
     0.69472   -0.62421
     0.68085   -0.75039
     0.66674   -0.69497
     0.65235   -0.70211
     0.63792   -0.83203
     0.62331   -0.80637
     0.60831   -0.79273
     0.59314   -0.91488
     0.57760   -0.92371
     0.56128   -0.90802
     0.54454   -0.95766
     0.52792   -1.02610
     0.51148   -1.04081
     0.49490   -1.03732
     0.47831   -1.09734
     0.46235   -1.24896
     0.44709   -1.30401
     0.43170   -1.23104
     0.41618   -1.34395
     0.40077   -1.39507
     0.38476   -1.32327
     0.36809   -1.35550
     0.35131   -1.43005
     0.33478   -1.51285
     0.31859   -1.57751
     0.30248   -1.56078
     0.28639   -1.62550
     0.27082   -1.76146
     0.25544   -1.70455
     0.23986   -1.76579
     0.22442   -1.95924
     0.20926   -2.06733
     0.19413   -2.10553
     0.17887   -2.14952
     0.16431   -2.34882
     0.15069   -2.33435
     0.13722   -2.14676
     0.12384   -2.36788
     0.11101   -2.69403
     0.09835   -2.64634
     0.08538   -2.58984
     0.07273   -2.72013
     0.06149   -3.04577
     0.05216   -3.48469
     0.04441   -3.70052
     0.03781   -3.25377
     0.03191   -3.31007
     0.02669   -4.11274
     0.02224   -4.27953
     0.01836   -4.02769
     0.01493   -4.03280
     0.01192   -4.39450
     0.00937   -4.77383
     0.00723   -5.07229
     0.00545   -5.13420
     0.00397   -5.05406
     0.00272   -4.96455
     0.00166   -5.09592
     0.00082   -5.40091
     0.00023   -5.67639
    -0.00009   -5.78678
    -0.00011   -5.53223
     0.00020   -4.39286
     0.00086   -2.86686
     0.00180   -1.71303
     0.00292   -1.10245
     0.00419   -0.78425
     0.00568   -0.47949
     0.00752   -0.05186
     0.00983    0.40583
     0.01265    0.70242
     0.01598    0.86384
     0.01976    0.94046
     0.02398    0.98091
     0.02871    0.99837
     0.03407    0.99681
     0.04027    0.98244
     0.04749    0.96285
     0.05577    0.93193
     0.06505    0.88905
     0.07550    0.84919
     0.08747    0.81546
     0.10065    0.76570
     0.11436    0.71301
     0.12900    0.68490
     0.14498    0.65734
     0.16158    0.62546
     0.17834    0.59292
     0.19486    0.55568
     0.21107    0.53575
     0.22754    0.52844
     0.24429    0.50219
     0.26121    0.48448
     0.27844    0.47030
     0.29577    0.45206
     0.31298    0.43284
     0.33011    0.41749
     0.34718    0.40298
     0.36414    0.39194
     0.38121    0.39379
     0.39854    0.38813
     0.41600    0.37796
     0.43343    0.36918
     0.45075    0.36142
     0.46779    0.34070
     0.48460    0.32868
     0.50146    0.33163
     0.51822    0.33421
     0.53459    0.30872
     0.55066    0.29705
     0.56678    0.31329
     0.58310    0.29311
     0.59944    0.27464
     0.61579    0.27292
     0.63234    0.28261
     0.64879    0.26870
     0.66478    0.27217
     0.68096    0.30319
     0.69736    0.30301
     0.71372    0.31521
     0.73035    0.34244
     0.74714    0.36728
     0.76375    0.38438
     0.77989    0.41937
     0.79532    0.46192
     0.81050    0.47418
     0.82578    0.47909
     0.84107    0.48268
     0.85616    0.48474
     0.87116    0.46305
     0.88646    0.42985
     0.90184    0.44319
     0.91716    0.44186
     0.93280    0.42136
     0.94821    0.41922
     0.96294    0.39662
     0.97710    0.35846
     0.99009    0.34973
     1.00000    0.40888
