#      x          Cp  
     1.00000    0.27005
     0.99189    0.05796
     0.97994    0.06717
     0.96644    0.07823
     0.95275    0.07937
     0.93918    0.07445
     0.92557    0.06305
     0.91201    0.05433
     0.89845    0.03577
     0.88477    0.01690
     0.87106    0.00577
     0.85738    0.01340
     0.84388    0.03065
     0.83086    0.04961
     0.81825    0.03984
     0.80565   -0.01735
     0.79282   -0.11092
     0.78000   -0.24406
     0.76735   -0.36309
     0.75463   -0.42253
     0.74168   -0.45562
     0.72850   -0.47135
     0.71516   -0.48057
     0.70169   -0.49020
     0.68815   -0.49997
     0.67457   -0.51165
     0.66096   -0.52325
     0.64733   -0.53479
     0.63366   -0.54698
     0.61998   -0.56055
     0.60630   -0.57411
     0.59261   -0.58699
     0.57891   -0.59977
     0.56519   -0.61292
     0.55145   -0.62659
     0.53772   -0.64140
     0.52398   -0.65700
     0.51024   -0.67281
     0.49650   -0.68881
     0.48276   -0.70510
     0.46901   -0.72176
     0.45526   -0.73905
     0.44150   -0.75721
     0.42775   -0.77648
     0.41400   -0.79748
     0.40026   -0.81916
     0.38652   -0.84008
     0.37277   -0.86146
     0.35902   -0.88559
     0.34528   -0.91185
     0.33156   -0.93839
     0.31784   -0.96533
     0.30411   -0.99380
     0.29039   -1.02425
     0.27668   -1.05760
     0.26298   -1.09402
     0.24930   -1.13234
     0.23563   -1.17289
     0.22197   -1.21696
     0.20833   -1.26529
     0.19470   -1.31916
     0.18110   -1.37952
     0.16755   -1.44811
     0.15403   -1.52346
     0.14056   -1.60710
     0.12715   -1.70756
     0.11384   -1.82133
     0.10062   -1.94831
     0.08751   -2.10064
     0.07457   -2.28831
     0.06186   -2.51898
     0.04945   -2.81453
     0.03754   -3.23067
     0.02653   -3.79259
     0.01704   -4.62187
     0.01013   -5.73895
     0.00575   -6.68235
     0.00304   -7.95217
     0.00136  -10.16843
     0.00039  -12.39074
     0.00000  -15.80300
     0.00024  -12.02113
     0.00117   -5.33043
     0.00289   -2.01910
     0.00568   -0.21628
     0.00992    0.53415
     0.01686    0.90878
     0.02698    0.99924
     0.03872    0.97656
     0.05133    0.92310
     0.06424    0.86590
     0.07739    0.81217
     0.09068    0.76381
     0.10409    0.72070
     0.11757    0.68209
     0.13110    0.64773
     0.14468    0.61706
     0.15830    0.58951
     0.17196    0.56421
     0.18563    0.54109
     0.19931    0.52064
     0.21304    0.50186
     0.22678    0.48378
     0.24051    0.46718
     0.25425    0.45238
     0.26802    0.43851
     0.28181    0.42514
     0.29559    0.41251
     0.30937    0.40066
     0.32317    0.38943
     0.33696    0.37872
     0.35077    0.36852
     0.36457    0.35880
     0.37838    0.34951
     0.39219    0.34053
     0.40600    0.33192
     0.41981    0.32384
     0.43363    0.31621
     0.44746    0.30860
     0.46129    0.30078
     0.47511    0.29317
     0.48894    0.28608
     0.50277    0.27913
     0.51661    0.27171
     0.53044    0.26408
     0.54426    0.25689
     0.55808    0.25026
     0.57190    0.24361
     0.58573    0.23664
     0.59956    0.22953
     0.61338    0.22222
     0.62720    0.21478
     0.64101    0.20714
     0.65481    0.19947
     0.66860    0.19231
     0.68240    0.18551
     0.69620    0.17762
     0.70997    0.16847
     0.72371    0.16020
     0.73746    0.15339
     0.75121    0.14523
     0.76492    0.13500
     0.77857    0.12529
     0.79217    0.11688
     0.80570    0.10821
     0.81911    0.10213
     0.83236    0.10517
     0.84550    0.12330
     0.85882    0.16487
     0.87241    0.20526
     0.88596    0.23634
     0.89936    0.26055
     0.91273    0.27870
     0.92609    0.29245
     0.93941    0.30520
     0.95257    0.31333
     0.96575    0.30152
     0.97898    0.29314
     0.99146    0.25849
     1.00000    0.27005
