#      x          Cp  
     1.00000    0.40963
     0.99117    0.31231
     0.97962    0.19224
     0.96670    0.09585
     0.95272    0.03108
     0.93781   -0.01398
     0.92213   -0.04799
     0.90592   -0.08385
     0.88945   -0.12105
     0.87285   -0.16132
     0.85618   -0.20321
     0.83947   -0.24598
     0.82275   -0.29021
     0.80606   -0.33724
     0.78944   -0.38695
     0.77290   -0.43848
     0.75642   -0.49149
     0.73999   -0.54666
     0.72363   -0.60533
     0.70735   -0.66772
     0.69119   -0.73288
     0.67516   -0.80180
     0.65929   -0.87257
     0.64357   -0.94217
     0.62796   -1.00669
     0.61241   -1.06679
     0.59688   -1.12263
     0.58134   -1.17156
     0.56575   -1.21570
     0.55010   -1.25615
     0.53440   -1.29356
     0.51866   -1.32808
     0.50286   -1.35959
     0.48699   -1.38744
     0.47104   -1.41311
     0.45502   -1.43847
     0.43893   -1.46524
     0.42281   -1.49292
     0.40666   -1.52166
     0.39050   -1.55228
     0.37434   -1.58441
     0.35818   -1.61851
     0.34205   -1.65540
     0.32595   -1.69432
     0.30990   -1.73555
     0.29389   -1.77932
     0.27794   -1.82598
     0.26206   -1.87697
     0.24629   -1.93273
     0.23063   -1.99313
     0.21511   -2.06056
     0.19977   -2.13383
     0.18466   -2.21558
     0.16982   -2.30640
     0.15530   -2.40224
     0.14117   -2.50458
     0.12745   -2.60895
     0.11421   -2.71478
     0.10150   -2.82035
     0.08942   -2.92793
     0.07806   -3.03857
     0.06754   -3.14392
     0.05792   -3.24763
     0.04927   -3.34010
     0.04163   -3.43158
     0.03499   -3.51262
     0.02924   -3.57438
     0.02429   -3.62410
     0.02005   -3.65769
     0.01643   -3.68345
     0.01336   -3.73418
     0.01077   -3.77679
     0.00860   -3.78863
     0.00676   -3.76005
     0.00521   -3.67136
     0.00391   -3.56121
     0.00282   -3.46190
     0.00190   -3.39618
     0.00115   -3.46042
     0.00056   -3.71291
     0.00016   -3.91193
    -0.00001   -3.93399
     0.00008   -3.55351
     0.00042   -2.90231
     0.00102   -2.22888
     0.00189   -1.58799
     0.00304   -1.00610
     0.00451   -0.47625
     0.00630    0.00982
     0.00840    0.36176
     0.01087    0.61559
     0.01375    0.78598
     0.01705    0.89051
     0.02082    0.95110
     0.02511    0.98531
     0.03002    0.99919
     0.03563    0.99664
     0.04215    0.98084
     0.04979    0.95459
     0.05878    0.92011
     0.06919    0.87929
     0.08089    0.83557
     0.09373    0.79156
     0.10759    0.74916
     0.12228    0.70891
     0.13756    0.67143
     0.15323    0.63702
     0.16920    0.60524
     0.18538    0.57608
     0.20172    0.54891
     0.21817    0.52370
     0.23469    0.50031
     0.25128    0.47848
     0.26792    0.45807
     0.28460    0.43873
     0.30130    0.42033
     0.31801    0.40296
     0.33473    0.38658
     0.35146    0.37107
     0.36818    0.35627
     0.38490    0.34179
     0.40160    0.32775
     0.41825    0.31433
     0.43483    0.30132
     0.45133    0.28911
     0.46775    0.27822
     0.48410    0.26944
     0.50041    0.26277
     0.51671    0.25786
     0.53299    0.25471
     0.54925    0.25341
     0.56550    0.25413
     0.58175    0.25751
     0.59802    0.26378
     0.61435    0.27221
     0.63080    0.28305
     0.64743    0.29641
     0.66426    0.31086
     0.68124    0.32530
     0.69825    0.33883
     0.71518    0.35178
     0.73199    0.36393
     0.74871    0.37516
     0.76535    0.38584
     0.78191    0.39618
     0.79837    0.40626
     0.81472    0.41575
     0.83095    0.42449
     0.84709    0.43249
     0.86310    0.43995
     0.87897    0.44736
     0.89463    0.45420
     0.91002    0.46045
     0.92508    0.46584
     0.93968    0.46921
     0.95372    0.47036
     0.96705    0.46777
     0.97954    0.46132
     0.99100    0.46072
     1.00000    0.40963
