#      x          Cp  
     1.00000    0.39342
     0.98885    0.23116
     0.97470    0.16887
     0.95901    0.12063
     0.94174    0.08026
     0.92305    0.04419
     0.90328    0.01183
     0.88274   -0.01665
     0.86162   -0.04235
     0.84019   -0.06510
     0.81871   -0.08554
     0.79735   -0.10679
     0.77613   -0.13162
     0.75501   -0.16022
     0.73396   -0.19495
     0.71293   -0.23624
     0.69190   -0.28829
     0.67088   -0.35204
     0.64987   -0.41761
     0.62889   -0.47548
     0.60793   -0.52862
     0.58691   -0.57481
     0.56572   -0.61600
     0.54428   -0.65611
     0.52262   -0.69741
     0.50080   -0.74503
     0.47896   -0.80625
     0.45736   -0.88253
     0.43641   -0.98955
     0.41638   -1.11459
     0.39712   -1.22917
     0.37829   -1.31509
     0.35961   -1.39317
     0.34103   -1.47394
     0.32263   -1.56138
     0.30454   -1.65466
     0.28690   -1.76142
     0.26980   -1.87641
     0.25326   -1.99362
     0.23724   -2.11028
     0.22175   -2.22769
     0.20685   -2.34753
     0.19267   -2.48581
     0.17930   -2.63282
     0.16673   -2.76337
     0.15482   -2.86348
     0.14343   -2.89266
     0.13243   -2.86817
     0.12176   -2.82941
     0.11147   -2.79307
     0.10163   -2.78020
     0.09236   -2.83116
     0.08375   -2.90690
     0.07582   -2.98139
     0.06857   -3.04545
     0.06194   -3.09303
     0.05587   -3.12062
     0.05031   -3.12500
     0.04522   -3.10302
     0.04054   -3.06392
     0.03623   -3.01167
     0.03228   -2.94762
     0.02864   -2.87220
     0.02530   -2.78177
     0.02222   -2.66579
     0.01938   -2.55251
     0.01674   -2.45986
     0.01428   -2.39970
     0.01198   -2.43336
     0.00986   -2.57517
     0.00798   -2.65607
     0.00635   -2.49257
     0.00494   -2.25625
     0.00368   -2.09672
     0.00255   -1.97100
     0.00153   -1.87149
     0.00063   -1.94414
    -0.00009   -1.84324
    -0.00064   -1.65991
    -0.00103   -1.51490
    -0.00126   -1.35395
    -0.00131   -1.17472
    -0.00115   -0.96859
    -0.00078   -0.72708
    -0.00015   -0.43981
     0.00077   -0.05488
     0.00188    0.18390
     0.00317    0.36155
     0.00471    0.53864
     0.00658    0.71985
     0.00869    0.84055
     0.01098    0.91375
     0.01342    0.95673
     0.01598    0.98195
     0.01867    0.99592
     0.02152    0.99997
     0.02456    0.99435
     0.02784    0.97976
     0.03138    0.95789
     0.03521    0.93050
     0.03936    0.89922
     0.04386    0.86535
     0.04873    0.82952
     0.05400    0.79004
     0.05967    0.74704
     0.06577    0.70155
     0.07231    0.65437
     0.07929    0.60659
     0.08672    0.55959
     0.09461    0.51506
     0.10301    0.47679
     0.11204    0.44758
     0.12184    0.42575
     0.13262    0.41051
     0.14457    0.40020
     0.15781    0.38631
     0.17228    0.36763
     0.18772    0.34889
     0.20387    0.33038
     0.22053    0.31254
     0.23764    0.29877
     0.25523    0.29647
     0.27344    0.30916
     0.29244    0.32472
     0.31229    0.32826
     0.33287    0.32085
     0.35399    0.31278
     0.37548    0.30855
     0.39712    0.30696
     0.41875    0.31031
     0.44025    0.31453
     0.46169    0.31312
     0.48320    0.30609
     0.50476    0.29672
     0.52612    0.28623
     0.54707    0.28004
     0.56752    0.28778
     0.58749    0.29823
     0.60708    0.29390
     0.62643    0.27118
     0.64568    0.25041
     0.66502    0.25363
     0.68464    0.27095
     0.70457    0.28620
     0.72464    0.29158
     0.74471    0.29084
     0.76479    0.27862
     0.78498    0.26073
     0.80529    0.25051
     0.82565    0.25526
     0.84594    0.26107
     0.86607    0.25604
     0.88593    0.24655
     0.90538    0.24348
     0.92424    0.25120
     0.94226    0.26185
     0.95912    0.27209
     0.97462    0.28348
     0.98876    0.30626
     1.00000    0.39342
