#      x          Cp  
     1.00000***********
     0.99166 -101.24979
     0.98059   -3.15171
     0.96781    0.82911
     0.95355    0.50838
     0.93821    0.50685
     0.92218    0.45780
     0.90578    0.42369
     0.88927    0.39173
     0.87275    0.36248
     0.85621    0.33454
     0.83964    0.30791
     0.82303    0.28225
     0.80641    0.25723
     0.78977    0.23258
     0.77312    0.20804
     0.75645    0.18341
     0.73974    0.15833
     0.72301    0.13278
     0.70623    0.10682
     0.68943    0.08057
     0.67260    0.05379
     0.65575    0.02618
     0.63888   -0.00279
     0.62196   -0.03300
     0.60500   -0.06427
     0.58803   -0.09630
     0.57107   -0.12926
     0.55414   -0.16349
     0.53727   -0.19951
     0.52046   -0.23731
     0.50373   -0.27658
     0.48706   -0.31724
     0.47045   -0.35939
     0.45390   -0.40335
     0.43741   -0.44967
     0.42100   -0.49858
     0.40468   -0.54977
     0.38846   -0.60365
     0.37236   -0.66033
     0.35638   -0.71942
     0.34052   -0.78141
     0.32478   -0.84640
     0.30921   -0.91409
     0.29384   -0.98693
     0.27874   -1.06265
     0.26390   -1.13661
     0.24929   -1.20412
     0.23486   -1.26593
     0.22057   -1.32234
     0.20641   -1.37208
     0.19238   -1.41669
     0.17848   -1.45777
     0.16477   -1.49533
     0.15125   -1.52804
     0.13797   -1.55566
     0.12494   -1.57857
     0.11224   -1.59984
     0.09996   -1.61814
     0.08820   -1.63375
     0.07708   -1.64672
     0.06671   -1.65288
     0.05721   -1.65455
     0.04866   -1.64758
     0.04109   -1.64015
     0.03448   -1.62481
     0.02878   -1.60083
     0.02390   -1.57534
     0.01972   -1.53792
     0.01616   -1.49078
     0.01310   -1.44339
     0.01049   -1.38439
     0.00825   -1.31203
     0.00634   -1.23716
     0.00472   -1.17279
     0.00337   -1.09015
     0.00227   -0.98132
     0.00140   -0.84638
     0.00074   -0.68700
     0.00028   -0.55934
     0.00003   -0.39142
     0.00004   -0.13965
     0.00033    0.01988
     0.00121    0.53552
     0.00265    0.87297
     0.00439    0.97305
     0.00640    0.99961
     0.00867    0.99170
     0.01122    0.96650
     0.01410    0.93136
     0.01737    0.89050
     0.02111    0.84558
     0.02542    0.79860
     0.03045    0.75142
     0.03637    0.70389
     0.04337    0.65428
     0.05168    0.60512
     0.06147    0.55717
     0.07282    0.51098
     0.08567    0.46865
     0.09978    0.42931
     0.11485    0.39390
     0.13057    0.36081
     0.14671    0.32998
     0.16310    0.30096
     0.17963    0.27317
     0.19624    0.24690
     0.21290    0.22182
     0.22959    0.19785
     0.24629    0.17480
     0.26299    0.15248
     0.27969    0.13102
     0.29638    0.11050
     0.31308    0.09087
     0.32979    0.07194
     0.34650    0.05356
     0.36322    0.03565
     0.37994    0.01823
     0.39666    0.00123
     0.41338   -0.01539
     0.43010   -0.03170
     0.44682   -0.04782
     0.46354   -0.06378
     0.48025   -0.07955
     0.49695   -0.09510
     0.51365   -0.11046
     0.53035   -0.12578
     0.54705   -0.14128
     0.56372   -0.15710
     0.58037   -0.17306
     0.59700   -0.18917
     0.61360   -0.20543
     0.63018   -0.22193
     0.64672   -0.23888
     0.66322   -0.25652
     0.67966   -0.27453
     0.69604   -0.29286
     0.71235   -0.31161
     0.72858   -0.33101
     0.74472   -0.35235
     0.76073   -0.37560
     0.77654   -0.39981
     0.79205   -0.42740
     0.80719   -0.45310
     0.82200   -0.46940
     0.83660   -0.47104
     0.85114   -0.46172
     0.86579   -0.43549
     0.88070   -0.39911
     0.89582   -0.35969
     0.91086   -0.32518
     0.92553   -0.31891
     0.93935   -0.33501
     0.95162   -0.31499
     0.96212   -0.22550
     0.97131   -0.94296
     0.97954    0.26530
     0.98688  -19.19600
     0.99356-1844.33400
     1.00000***********
