#      x          Cp  
     1.00000***********
     0.99613  -58.51420
     0.98509    0.18396
     0.96799    0.08208
     0.94535   -0.05294
     0.91714   -0.03411
     0.88354   -0.06052
     0.84516   -0.09681
     0.80266   -0.14472
     0.75678   -0.20412
     0.70827   -0.27810
     0.65789   -0.36698
     0.60639   -0.47139
     0.55451   -0.59495
     0.50291   -0.73978
     0.45220   -0.90767
     0.40294   -1.10423
     0.35561   -1.32820
     0.31063   -1.58847
     0.26836   -1.88281
     0.22884   -2.12765
     0.19194   -2.31401
     0.15767   -2.47107
     0.12621   -2.61091
     0.09777   -2.75154
     0.07260   -2.89592
     0.05090   -3.05538
     0.03286   -3.23119
     0.01865   -3.40539
     0.00837   -3.59039
     0.00211   -3.72438
     0.00033   -3.73831
     0.00003   -3.64879
     0.00005   -3.57026
     0.00025   -3.50173
     0.00042   -3.43678
     0.00064   -3.65719
     0.00094   -3.23167
     0.00133   -2.47721
     0.00182   -1.65749
     0.00239   -1.14677
     0.00377   -0.28722
     0.00543    0.21881
     0.00840    0.63052
     0.01313    0.89069
     0.02917    0.99474
     0.05087    0.91858
     0.07794    0.82088
     0.11009    0.73234
     0.14685    0.65261
     0.18759    0.58017
     0.23168    0.51402
     0.27851    0.45277
     0.32750    0.39773
     0.37812    0.34863
     0.42981    0.30384
     0.48202    0.26306
     0.53418    0.22585
     0.58570    0.19192
     0.63602    0.16082
     0.68458    0.13228
     0.73086    0.10617
     0.77432    0.08163
     0.81443    0.06225
     0.85123    0.10268
     0.88525    0.19671
     0.91643    0.28048
     0.94401    0.39328
     0.96710    0.26654
     0.98481    0.96511
     0.99610 -113.81944
     1.00000***********
