#      x          Cp  
     1.00000    0.16103
     0.99159    0.09082
     0.97881    0.06571
     0.96496    0.03247
     0.95079   -0.00129
     0.93652   -0.03039
     0.92223   -0.05708
     0.90793   -0.08220
     0.89361   -0.10672
     0.87928   -0.13079
     0.86494   -0.15470
     0.85059   -0.17855
     0.83624   -0.20242
     0.82187   -0.22631
     0.80750   -0.25027
     0.79313   -0.27446
     0.77876   -0.29926
     0.76439   -0.32463
     0.75004   -0.35045
     0.73569   -0.37649
     0.72134   -0.40288
     0.70699   -0.42991
     0.69264   -0.45779
     0.67830   -0.48668
     0.66397   -0.51648
     0.64964   -0.54718
     0.63531   -0.57878
     0.62098   -0.61150
     0.60666   -0.64557
     0.59234   -0.68146
     0.57803   -0.71909
     0.56373   -0.75842
     0.54943   -0.79970
     0.53514   -0.84313
     0.52085   -0.88881
     0.50657   -0.93744
     0.49232   -0.99031
     0.47811   -1.04564
     0.46393   -1.10233
     0.44977   -1.15881
     0.43564   -1.21517
     0.42152   -1.27190
     0.40741   -1.32888
     0.39331   -1.38602
     0.37922   -1.44321
     0.36516   -1.50025
     0.35111   -1.55692
     0.33709   -1.61299
     0.32308   -1.66800
     0.30910   -1.72152
     0.29514   -1.77369
     0.28121   -1.82418
     0.26732   -1.87256
     0.25346   -1.91880
     0.23963   -1.96130
     0.22583   -1.99989
     0.21204   -2.03776
     0.19829   -2.07864
     0.18458   -2.12286
     0.17094   -2.17062
     0.15738   -2.22409
     0.14391   -2.28216
     0.13056   -2.34832
     0.11737   -2.42143
     0.10435   -2.50243
     0.09152   -2.59227
     0.07895   -2.69592
     0.06673   -2.81620
     0.05488   -2.95949
     0.04351   -3.12815
     0.03306   -3.33943
     0.02369   -3.58903
     0.01551   -3.86732
     0.00980   -4.25483
     0.00612   -4.56627
     0.00360   -4.53803
     0.00188   -4.52842
     0.00071   -5.52406
     0.00006   -7.29216
    -0.00010   -8.73322
     0.00029   -6.82307
     0.00127   -3.11737
     0.00285   -0.98465
     0.00506    0.25238
     0.00816    0.86252
     0.01270    0.99816
     0.01951    0.97093
     0.02867    0.89627
     0.03957    0.82525
     0.05141    0.76839
     0.06298    0.72980
     0.07412    0.71756
     0.08537    0.72430
     0.09702    0.74318
     0.10901    0.76793
     0.12097    0.79196
     0.13256    0.81172
     0.14388    0.82477
     0.15528    0.83138
     0.16698    0.83522
     0.17903    0.83695
     0.19133    0.83690
     0.20382    0.83529
     0.21646    0.83201
     0.22925    0.82716
     0.24222    0.82081
     0.25541    0.81234
     0.26887    0.80214
     0.28259    0.79113
     0.29650    0.78106
     0.31049    0.77149
     0.32449    0.76192
     0.33850    0.75225
     0.35254    0.74239
     0.36662    0.73229
     0.38075    0.72193
     0.39492    0.71135
     0.40912    0.70067
     0.42335    0.69019
     0.43759    0.67987
     0.45183    0.66954
     0.46608    0.65922
     0.48032    0.64889
     0.49456    0.63844
     0.50880    0.62777
     0.52304    0.61677
     0.53728    0.60551
     0.55153    0.59397
     0.56579    0.58211
     0.58005    0.56993
     0.59432    0.55747
     0.60860    0.54473
     0.62290    0.53173
     0.63720    0.51848
     0.65151    0.50501
     0.66584    0.49129
     0.68018    0.47743
     0.69455    0.46352
     0.70892    0.44995
     0.72329    0.43662
     0.73766    0.42320
     0.75201    0.40954
     0.76635    0.39548
     0.78069    0.38086
     0.79503    0.36549
     0.80937    0.34904
     0.82371    0.33100
     0.83801    0.30936
     0.85227    0.28467
     0.86646    0.25883
     0.88059    0.23284
     0.89465    0.20749
     0.90863    0.18376
     0.92253    0.16314
     0.93640    0.15059
     0.95037    0.14669
     0.96447    0.14704
     0.97850    0.14963
     0.99151    0.15039
     1.00000    0.16103
