#      x          Cp  
     1.20000    0.44510
     1.19143    0.21603
     1.17908    0.07741
     1.16505   -0.06240
     1.15027   -0.19964
     1.13534   -0.33222
     1.12053   -0.45543
     1.10582   -0.56446
     1.09097   -0.64176
     1.07570   -0.68905
     1.05987   -0.71881
     1.04349   -0.73473
     1.02654   -0.73996
     1.00898   -0.73980
     0.99092   -0.74610
     0.97258   -0.76219
     0.95413   -0.78294
     0.93564   -0.80571
     0.91710   -0.82614
     0.89849   -0.84141
     0.87980   -0.85784
     0.86101   -0.87939
     0.84212   -0.91632
     0.82315   -0.96698
     0.80412   -1.02158
     0.78509   -1.07944
     0.76611   -1.14434
     0.74724   -1.21726
     0.72850   -1.29655
     0.70986   -1.38271
     0.69133   -1.47636
     0.67307   -1.58470
     0.65519   -1.69972
     0.63765   -1.80426
     0.62027   -1.88529
     0.60288   -1.95301
     0.58536   -2.00507
     0.56765   -2.04393
     0.54975   -2.07765
     0.53169   -2.11281
     0.51353   -2.14800
     0.49530   -2.18336
     0.47701   -2.21956
     0.45865   -2.25715
     0.44027   -2.29817
     0.42187   -2.34200
     0.40348   -2.38784
     0.38511   -2.43589
     0.36674   -2.48667
     0.34840   -2.54163
     0.33011   -2.60109
     0.31187   -2.66503
     0.29372   -2.73464
     0.27566   -2.80903
     0.25770   -2.88874
     0.23985   -2.97473
     0.22213   -3.07002
     0.20458   -3.17602
     0.18724   -3.29224
     0.17013   -3.42104
     0.15328   -3.56547
     0.13677   -3.73243
     0.12069   -3.92089
     0.10513   -4.13760
     0.09024   -4.38582
     0.07615   -4.67787
     0.06317   -5.01545
     0.05164   -5.40452
     0.04162   -5.83707
     0.03307   -6.31961
     0.02610   -6.84558
     0.02058   -7.45538
     0.01615   -8.04122
     0.01250   -8.57927
     0.00941   -9.08752
     0.00684   -9.67032
     0.00473  -10.54484
     0.00304  -12.28092
     0.00176  -14.19728
     0.00086  -15.80910
     0.00030  -16.65009
     0.00010  -16.17367
     0.00024  -15.16553
     0.00077  -13.92035
     0.00175  -11.68455
     0.00326   -8.01885
     0.00535   -4.83812
     0.00804   -2.63630
     0.01127   -1.43472
     0.01504   -0.71163
     0.01948   -0.18130
     0.02473    0.21845
     0.03112    0.51881
     0.03910    0.73438
     0.04917    0.87469
     0.06137    0.95544
     0.07535    0.99196
     0.09095    0.99985
     0.10785    0.99054
     0.12549    0.97196
     0.14353    0.94900
     0.16189    0.92429
     0.18048    0.89927
     0.19923    0.87474
     0.21811    0.85106
     0.23708    0.82841
     0.25612    0.80687
     0.27521    0.78643
     0.29433    0.76714
     0.31350    0.74902
     0.33272    0.73195
     0.35198    0.71574
     0.37126    0.70027
     0.39055    0.68559
     0.40982    0.67161
     0.42906    0.65834
     0.44829    0.64581
     0.46749    0.63399
     0.48666    0.62290
     0.50578    0.61252
     0.52483    0.60284
     0.54380    0.59399
     0.56274    0.58584
     0.58164    0.57857
     0.60036    0.57175
     0.61866    0.56507
     0.63651    0.56156
     0.65420    0.56622
     0.67221    0.57882
     0.69081    0.59420
     0.70989    0.60942
     0.72907    0.62451
     0.74808    0.63920
     0.76680    0.65309
     0.78518    0.66572
     0.80321    0.67671
     0.82092    0.68589
     0.83839    0.69295
     0.85575    0.69689
     0.87314    0.69881
     0.89060    0.69939
     0.90812    0.69890
     0.92568    0.69757
     0.94330    0.69559
     0.96095    0.69349
     0.97853    0.69203
     0.99592    0.69026
     1.01308    0.68768
     1.03002    0.68390
     1.04674    0.67846
     1.06323    0.67076
     1.07952    0.65989
     1.09577    0.64366
     1.11213    0.62294
     1.12867    0.59761
     1.14530    0.56728
     1.16172    0.53288
     1.17722    0.49502
     1.19065    0.46529
     1.20000    0.44510
