#      x          Cp  
     1.00000    0.20393
     0.95000    0.03115
     0.90000   -0.05192
     0.80000   -0.18855
     0.70000   -0.31750
     0.60000   -0.40731
     0.50000   -0.47547
     0.40000   -0.61496
     0.30000   -0.76177
     0.20000   -1.04311
     0.10000   -1.71521
     0.05000   -2.05736
     0.01000   -6.93192
     0.00000  -14.87777
     0.01000    0.92842
     0.05000    0.88539
     0.10000    0.69193
     0.20000    0.47900
     0.30000    0.38804
     0.40000    0.30369
     0.50000    0.25602
     0.60000    0.19263
     0.70000    0.15238
     0.80000    0.14915
     0.90000    0.15447
     0.95000    0.17104
     1.00000    0.20393
