#      x          Cp  
     1.00000    0.21169
     0.95000    0.08479
     0.90000   -0.01795
     0.80000   -0.17632
     0.70000   -0.25591
     0.60000   -0.35974
     0.50000   -0.58423
     0.40000   -0.72793
     0.30000   -0.75733
     0.20000   -1.24284
     0.15000   -1.08774
     0.10000   -2.24610
     0.07500   -2.33058
     0.05000   -1.71238
     0.02500   -6.74645
     0.01250   -0.70935
     0.00000  -11.14034
     0.01250    0.84419
     0.02500    0.98306
     0.05000    0.83047
     0.07500    0.76267
     0.10000    0.68847
     0.15000    0.59250
     0.20000    0.51759
     0.30000    0.41623
     0.40000    0.34083
     0.50000    0.27388
     0.60000    0.20849
     0.70000    0.09130
     0.80000    0.14696
     0.90000    0.11199
     0.95000    0.14138
     1.00000    0.21169
