#      x          Cp  
     1.00000    0.33873
     0.99364    0.23642
     0.98406    0.16173
     0.97112    0.06523
     0.95888   -0.03417
     0.94669   -0.13144
     0.93319   -0.23818
     0.92010   -0.32933
     0.90801   -0.40470
     0.89639   -0.47293
     0.88492   -0.53651
     0.87340   -0.59704
     0.86165   -0.65525
     0.84953   -0.71149
     0.83693   -0.76540
     0.82374   -0.81613
     0.80995   -0.86009
     0.79565   -0.89342
     0.78097   -0.91964
     0.76606   -0.94018
     0.75107   -0.95644
     0.73607   -0.96998
     0.72114   -0.98247
     0.70627   -0.99760
     0.69146   -1.01681
     0.67666   -1.03717
     0.66186   -1.05823
     0.64703   -1.07964
     0.63217   -1.10129
     0.61726   -1.12308
     0.60231   -1.14497
     0.58731   -1.16692
     0.57228   -1.18893
     0.55722   -1.21109
     0.54214   -1.23351
     0.52705   -1.25628
     0.51195   -1.27952
     0.49685   -1.30347
     0.48176   -1.32822
     0.46667   -1.35472
     0.45159   -1.38263
     0.43652   -1.41187
     0.42147   -1.44216
     0.40643   -1.47374
     0.39139   -1.50655
     0.37637   -1.54075
     0.36135   -1.57663
     0.34634   -1.61454
     0.33132   -1.65475
     0.31630   -1.69772
     0.30130   -1.74431
     0.28636   -1.79668
     0.27150   -1.85421
     0.25674   -1.91576
     0.24209   -1.98142
     0.22752   -2.05164
     0.21303   -2.12743
     0.19856   -2.21065
     0.18407   -2.30745
     0.16954   -2.41903
     0.15511   -2.54327
     0.14113   -2.69164
     0.12788   -2.85962
     0.11519   -3.02758
     0.10252   -3.18309
     0.08897   -3.32127
     0.07532   -3.43463
     0.06230   -3.52277
     0.04932   -3.61786
     0.03939   -3.76303
     0.03178   -3.92982
     0.02551   -4.11022
     0.02003   -4.31548
     0.01500   -4.55238
     0.01011   -4.96580
     0.00539   -5.38749
     0.00251   -5.49671
     0.00079   -6.27130
    -0.00031   -7.65179
    -0.00095   -9.43798
    -0.00121  -11.61239
    -0.00110  -13.26537
    -0.00054  -11.14342
     0.00064   -3.62121
     0.00235   -1.28659
     0.00443   -0.61365
     0.00702   -0.20183
     0.01017    0.11016
     0.01408    0.46959
     0.01927    0.75080
     0.02706    0.92806
     0.03960    0.99722
     0.05267    0.98977
     0.06429    0.95775
     0.07628    0.91616
     0.08946    0.86812
     0.10338    0.81763
     0.11723    0.77068
     0.13079    0.73054
     0.14423    0.69710
     0.15778    0.66917
     0.17159    0.64597
     0.18578    0.62671
     0.20044    0.61048
     0.21555    0.59569
     0.23097    0.57949
     0.24625    0.56356
     0.26145    0.54834
     0.27666    0.53383
     0.29197    0.52002
     0.30739    0.50694
     0.32273    0.49482
     0.33796    0.48390
     0.35311    0.47414
     0.36824    0.46520
     0.38338    0.45692
     0.39857    0.44916
     0.41381    0.44177
     0.42910    0.43459
     0.44444    0.42740
     0.45980    0.41967
     0.47514    0.41042
     0.49044    0.40082
     0.50565    0.39153
     0.52076    0.38302
     0.53575    0.37573
     0.55061    0.37011
     0.56536    0.36672
     0.58000    0.36621
     0.59454    0.37060
     0.60901    0.38018
     0.62344    0.39240
     0.63785    0.40646
     0.65228    0.42173
     0.66674    0.43775
     0.68127    0.45413
     0.69591    0.47056
     0.71068    0.48671
     0.72563    0.50202
     0.74078    0.51650
     0.75599    0.53025
     0.77108    0.54315
     0.78614    0.55529
     0.80127    0.56682
     0.81659    0.57790
     0.83170    0.58840
     0.84630    0.59901
     0.86027    0.60995
     0.87359    0.61944
     0.88633    0.62702
     0.89862    0.63239
     0.91061    0.63519
     0.92246    0.63485
     0.93439    0.63061
     0.94669    0.62003
     0.95970    0.59749
     0.97294    0.56583
     0.98454    0.51993
     0.99366    0.47186
     1.00000    0.33873
