#      x          Cp  
     1.00000    0.21343
     0.99121    0.16480
     0.97837    0.11578
     0.96509    0.08032
     0.95176    0.05323
     0.93839    0.03083
     0.92502    0.01298
     0.91166   -0.00324
     0.89830   -0.01929
     0.88494   -0.03559
     0.87157   -0.05161
     0.85819   -0.06532
     0.84484   -0.07762
     0.83150   -0.09373
     0.81814   -0.11071
     0.80476   -0.12444
     0.79140   -0.13809
     0.77804   -0.15362
     0.76467   -0.16898
     0.75129   -0.18320
     0.73792   -0.19776
     0.72455   -0.21337
     0.71117   -0.22925
     0.69780   -0.24502
     0.68442   -0.26072
     0.67105   -0.27606
     0.65768   -0.29182
     0.64430   -0.30944
     0.63094   -0.32815
     0.61758   -0.34617
     0.60422   -0.36341
     0.59085   -0.38138
     0.57748   -0.40081
     0.56412   -0.42085
     0.55076   -0.44092
     0.53740   -0.46138
     0.52404   -0.48277
     0.51068   -0.50513
     0.49733   -0.52817
     0.48399   -0.55176
     0.47064   -0.57571
     0.45730   -0.59934
     0.44395   -0.62352
     0.43059   -0.65001
     0.41725   -0.67890
     0.40392   -0.70827
     0.39059   -0.73718
     0.37726   -0.76698
     0.36393   -0.79902
     0.35062   -0.83239
     0.33731   -0.86523
     0.32399   -0.89816
     0.31067   -0.93410
     0.29737   -0.97397
     0.28408   -1.01471
     0.27080   -1.05500
     0.25753   -1.09739
     0.24426   -1.14370
     0.23101   -1.19228
     0.21778   -1.24226
     0.20455   -1.29559
     0.19136   -1.35433
     0.17821   -1.41403
     0.16504   -1.47260
     0.15189   -1.54588
     0.13882   -1.63563
     0.12583   -1.71810
     0.11285   -1.80497
     0.09992   -1.91613
     0.08709   -2.04654
     0.07437   -2.20108
     0.06179   -2.39216
     0.04942   -2.64330
     0.03734   -2.98246
     0.02576   -3.51687
     0.01533   -4.34455
     0.00748   -5.92269
     0.00335   -8.67051
     0.00114  -13.06827
     0.00018  -19.06807
     0.00004  -18.85222
     0.00067   -8.89152
     0.00233   -2.92889
     0.00561   -0.13168
     0.01173    0.75070
     0.02163    0.98858
     0.03340    0.98611
     0.04590    0.93317
     0.05867    0.87448
     0.07163    0.82060
     0.08472    0.77305
     0.09790    0.73102
     0.11112    0.69373
     0.12437    0.66083
     0.13766    0.63150
     0.15098    0.60478
     0.16431    0.58029
     0.17764    0.55777
     0.19098    0.53748
     0.20434    0.51886
     0.21772    0.50086
     0.23109    0.48378
     0.24446    0.46812
     0.25784    0.45334
     0.27123    0.43867
     0.28460    0.42461
     0.29797    0.41206
     0.31136    0.40039
     0.32476    0.38841
     0.33815    0.37634
     0.35153    0.36509
     0.36491    0.35475
     0.37830    0.34465
     0.39169    0.33444
     0.40507    0.32454
     0.41845    0.31528
     0.43184    0.30645
     0.44522    0.29775
     0.45861    0.28920
     0.47198    0.28100
     0.48536    0.27325
     0.49875    0.26574
     0.51213    0.25827
     0.52550    0.25103
     0.53887    0.24437
     0.55225    0.23824
     0.56562    0.23226
     0.57900    0.22622
     0.59238    0.22034
     0.60575    0.21468
     0.61912    0.20931
     0.63248    0.20441
     0.64585    0.19994
     0.65922    0.19576
     0.67259    0.19181
     0.68596    0.18807
     0.69932    0.18449
     0.71268    0.18128
     0.72605    0.17876
     0.73943    0.17628
     0.75280    0.17272
     0.76614    0.16971
     0.77948    0.17040
     0.79284    0.17030
     0.80615    0.16074
     0.81935    0.15679
     0.83244    0.17712
     0.84549    0.18521
     0.85856    0.16187
     0.87171    0.15492
     0.88498    0.16546
     0.89834    0.16659
     0.91172    0.16602
     0.92511    0.16670
     0.93850    0.16852
     0.95187    0.17097
     0.96525    0.17765
     0.97849    0.19281
     0.99133    0.21208
     1.00000    0.21343
