#      x          Cp  
     1.00000    0.11049
     0.99161    0.01710
     0.98075   -0.01607
     0.96836   -0.05130
     0.95425   -0.08361
     0.93856   -0.11525
     0.92190   -0.14567
     0.90501   -0.17465
     0.88822   -0.20270
     0.87151   -0.23035
     0.85479   -0.25793
     0.83804   -0.28575
     0.82123   -0.31411
     0.80436   -0.34334
     0.78746   -0.37426
     0.77056   -0.40654
     0.75370   -0.43966
     0.73691   -0.47339
     0.72018   -0.50757
     0.70353   -0.54206
     0.68694   -0.57672
     0.67041   -0.61143
     0.65392   -0.64609
     0.63747   -0.68055
     0.62106   -0.71460
     0.60467   -0.74789
     0.58831   -0.77954
     0.57199   -0.80977
     0.55569   -0.83905
     0.53941   -0.86745
     0.52314   -0.89493
     0.50683   -0.92138
     0.49047   -0.94578
     0.47403   -0.96858
     0.45748   -0.99131
     0.44084   -1.01478
     0.42412   -1.04010
     0.40740   -1.06854
     0.39075   -1.10472
     0.37425   -1.14791
     0.35796   -1.19340
     0.34188   -1.23944
     0.32598   -1.28426
     0.31021   -1.32608
     0.29446   -1.35938
     0.27863   -1.38173
     0.26264   -1.40036
     0.24644   -1.41809
     0.23005   -1.43767
     0.21356   -1.46210
     0.19714   -1.49868
     0.18098   -1.55468
     0.16515   -1.61673
     0.14952   -1.67526
     0.13383   -1.71589
     0.11790   -1.76101
     0.10198   -1.83060
     0.08669   -1.95957
     0.07272   -2.09704
     0.06040   -2.20585
     0.04972   -2.39946
     0.04058   -2.77178
     0.03300   -3.13295
     0.02686   -3.36006
     0.02186   -3.13962
     0.01760   -2.92466
     0.01375   -3.15200
     0.01014   -4.63278
     0.00680   -7.68759
     0.00384  -12.25375
     0.00133  -17.38977
    -0.00070  -18.09101
    -0.00226  -14.60794
    -0.00343  -11.54098
    -0.00427   -9.21103
    -0.00483   -7.50073
    -0.00514   -6.23131
    -0.00524   -5.27077
    -0.00514   -4.52846
    -0.00486   -3.94145
    -0.00441   -3.46199
    -0.00379   -3.04543
    -0.00301   -2.63468
    -0.00205   -2.13681
    -0.00092   -1.42688
     0.00042   -0.42862
     0.00199    0.40079
     0.00378    0.78775
     0.00582    0.93737
     0.00811    0.98717
     0.01068    0.99934
     0.01350    0.99912
     0.01658    0.99470
     0.01996    0.98649
     0.02376    0.97235
     0.02813    0.95342
     0.03326    0.93333
     0.03932    0.91354
     0.04653    0.89577
     0.05504    0.87599
     0.06510    0.85013
     0.07684    0.82295
     0.09007    0.80490
     0.10433    0.79074
     0.11929    0.77503
     0.13477    0.76003
     0.15055    0.74662
     0.16643    0.73612
     0.18228    0.72740
     0.19807    0.71947
     0.21380    0.71117
     0.22956    0.70269
     0.24538    0.69425
     0.26130    0.68587
     0.27735    0.67758
     0.29353    0.66948
     0.30983    0.66185
     0.32621    0.65468
     0.34265    0.64777
     0.35912    0.64105
     0.37559    0.63453
     0.39204    0.62820
     0.40842    0.62220
     0.42474    0.61646
     0.44097    0.61071
     0.45712    0.60478
     0.47322    0.59848
     0.48929    0.59154
     0.50540    0.58324
     0.52159    0.57316
     0.53791    0.56207
     0.55441    0.55027
     0.57108    0.53807
     0.58791    0.52586
     0.60483    0.51470
     0.62178    0.50541
     0.63867    0.49682
     0.65546    0.48855
     0.67214    0.48023
     0.68871    0.47153
     0.70522    0.46170
     0.72173    0.45022
     0.73828    0.43772
     0.75491    0.42433
     0.77163    0.41012
     0.78841    0.39516
     0.80523    0.37944
     0.82203    0.36303
     0.83876    0.34620
     0.85542    0.32912
     0.87203    0.31201
     0.88862    0.29510
     0.90528    0.27961
     0.92205    0.26607
     0.93859    0.25199
     0.95422    0.23578
     0.96830    0.21695
     0.98070    0.19484
     0.99158    0.17591
     1.00000    0.11049
