#      x          Cp  
     1.00000    0.68913
     0.99337    0.06206
     0.98520   -0.06145
     0.97580   -0.02392
     0.96459    0.05133
     0.95185    0.08884
     0.93823    0.08130
     0.92368    0.05125
     0.90838    0.01404
     0.89257   -0.02408
     0.87648   -0.06101
     0.86029   -0.09497
     0.84412   -0.12609
     0.82794   -0.15468
     0.81175   -0.18158
     0.79554   -0.20727
     0.77931   -0.23236
     0.76307   -0.25707
     0.74682   -0.28160
     0.73057   -0.30606
     0.71431   -0.33044
     0.69805   -0.35480
     0.68178   -0.37919
     0.66550   -0.40362
     0.64921   -0.42836
     0.63290   -0.45364
     0.61659   -0.47972
     0.60026   -0.50712
     0.58394   -0.53611
     0.56764   -0.56665
     0.55136   -0.59908
     0.53510   -0.63308
     0.51889   -0.66871
     0.50271   -0.70581
     0.48658   -0.74424
     0.47049   -0.78394
     0.45443   -0.82488
     0.43842   -0.86708
     0.42244   -0.91054
     0.40651   -0.95523
     0.39061   -1.00129
     0.37475   -1.04910
     0.35894   -1.09900
     0.34318   -1.15095
     0.32747   -1.20544
     0.31183   -1.26242
     0.29627   -1.32259
     0.28080   -1.38582
     0.26543   -1.45195
     0.25017   -1.52109
     0.23504   -1.59291
     0.22004   -1.66772
     0.20520   -1.74444
     0.19051   -1.82257
     0.17597   -1.90324
     0.16162   -1.98854
     0.14749   -2.08018
     0.13366   -2.18435
     0.12022   -2.29829
     0.10726   -2.42582
     0.09489   -2.55895
     0.08320   -2.69739
     0.07228   -2.82287
     0.06218   -2.92603
     0.05294   -2.99012
     0.04457   -3.00689
     0.03713   -3.00288
     0.03064   -2.99142
     0.02507   -2.99704
     0.02033   -3.04909
     0.01633   -3.13330
     0.01296   -3.26794
     0.01014   -3.48587
     0.00777   -3.70935
     0.00575   -3.94166
     0.00404   -4.28710
     0.00263   -4.62301
     0.00154   -4.82684
     0.00076   -4.83621
     0.00026   -4.67144
     0.00003   -4.34899
     0.00004   -3.74906
     0.00031   -2.97204
     0.00084   -2.18178
     0.00169   -1.39522
     0.00285   -0.69714
     0.00434   -0.14361
     0.00613    0.26220
     0.00824    0.55036
     0.01072    0.75088
     0.01363    0.88011
     0.01703    0.95506
     0.02102    0.99176
     0.02569    0.99967
     0.03120    0.98618
     0.03773    0.95655
     0.04545    0.91492
     0.05449    0.86573
     0.06487    0.81365
     0.07658    0.76279
     0.08950    0.71570
     0.10344    0.67324
     0.11818    0.63508
     0.13352    0.60025
     0.14926    0.56806
     0.16528    0.53737
     0.18145    0.50746
     0.19765    0.47758
     0.21380    0.44760
     0.22982    0.41768
     0.24568    0.38918
     0.26140    0.36276
     0.27703    0.33989
     0.29265    0.32133
     0.30835    0.30565
     0.32415    0.29264
     0.34005    0.28134
     0.35606    0.27073
     0.37214    0.26079
     0.38827    0.25121
     0.40444    0.24191
     0.42063    0.23300
     0.43684    0.22442
     0.45304    0.21638
     0.46926    0.20903
     0.48548    0.20231
     0.50172    0.19625
     0.51798    0.19077
     0.53426    0.18567
     0.55056    0.18081
     0.56688    0.17609
     0.58321    0.17122
     0.59952    0.16636
     0.61582    0.16153
     0.63209    0.15686
     0.64833    0.15270
     0.66455    0.14935
     0.68074    0.14686
     0.69694    0.14567
     0.71315    0.14551
     0.72939    0.14623
     0.74566    0.14769
     0.76197    0.14966
     0.77832    0.15200
     0.79471    0.15441
     0.81113    0.15666
     0.82757    0.15871
     0.84400    0.16050
     0.86040    0.16246
     0.87675    0.16499
     0.89302    0.16908
     0.90913    0.17542
     0.92486    0.18454
     0.93980    0.19339
     0.95356    0.19010
     0.96598    0.15277
     0.97664    0.03901
     0.98562   -0.04384
     0.99349    0.06376
     1.00000    0.68913
