#      x          Cp  
     1.00000    0.38752
     0.99091    0.25096
     0.97966    0.20558
     0.96748    0.17454
     0.95426    0.15033
     0.93987    0.12974
     0.92427    0.11158
     0.90748    0.09544
     0.88971    0.08210
     0.87135    0.07128
     0.85280    0.06164
     0.83439    0.05236
     0.81623    0.04255
     0.79831    0.03070
     0.78049    0.01484
     0.76260   -0.00324
     0.74455   -0.02284
     0.72631   -0.04332
     0.70793   -0.06378
     0.68955   -0.08078
     0.67135   -0.09527
     0.65347   -0.11070
     0.63595   -0.12880
     0.61879   -0.15158
     0.60194   -0.18263
     0.58529   -0.23011
     0.56876   -0.28860
     0.55222   -0.35468
     0.53562   -0.42654
     0.51889   -0.50190
     0.50198   -0.57612
     0.48486   -0.63892
     0.46754   -0.69610
     0.45004   -0.75141
     0.43239   -0.80688
     0.41464   -0.86455
     0.39687   -0.92902
     0.37916   -1.00394
     0.36160   -1.08470
     0.34425   -1.16999
     0.32718   -1.25909
     0.31042   -1.35175
     0.29401   -1.45037
     0.27798   -1.55415
     0.26231   -1.65839
     0.24696   -1.75979
     0.23190   -1.85619
     0.21712   -1.94858
     0.20262   -2.03628
     0.18843   -2.11853
     0.17459   -2.19418
     0.16108   -2.26225
     0.14784   -2.31778
     0.13483   -2.35979
     0.12210   -2.40031
     0.10983   -2.44647
     0.09825   -2.52163
     0.08756   -2.63120
     0.07784   -2.73409
     0.06906   -2.81533
     0.06113   -2.87956
     0.05394   -2.93102
     0.04739   -2.97306
     0.04142   -3.00901
     0.03601   -3.04313
     0.03115   -3.08276
     0.02682   -3.14765
     0.02299   -3.28788
     0.01962   -3.42467
     0.01665   -3.51292
     0.01403   -3.52249
     0.01171   -3.41325
     0.00965   -3.24706
     0.00782   -3.05411
     0.00622   -2.84788
     0.00483   -2.63811
     0.00364   -2.43216
     0.00264   -2.23654
     0.00181   -2.05758
     0.00114   -1.90985
     0.00061   -1.82823
     0.00024   -1.74007
     0.00003   -1.60645
     0.00001   -1.40030
     0.00019   -1.13413
     0.00059   -0.82767
     0.00126   -0.46294
     0.00221   -0.08038
     0.00345    0.25321
     0.00498    0.51996
     0.00679    0.71781
     0.00888    0.85399
     0.01124    0.93910
     0.01386    0.98426
     0.01674    0.99961
     0.01992    0.99537
     0.02346    0.98070
     0.02740    0.96058
     0.03179    0.93512
     0.03667    0.90517
     0.04208    0.87138
     0.04806    0.83472
     0.05469    0.79778
     0.06214    0.76224
     0.07066    0.72806
     0.08055    0.69368
     0.09199    0.65799
     0.10500    0.62031
     0.11929    0.57892
     0.13442    0.53772
     0.14993    0.49967
     0.16573    0.46844
     0.18191    0.44285
     0.19858    0.42266
     0.21578    0.40969
     0.23350    0.40089
     0.25169    0.39148
     0.27023    0.37544
     0.28900    0.35732
     0.30793    0.34051
     0.32694    0.32618
     0.34599    0.31242
     0.36501    0.29852
     0.38396    0.28370
     0.40274    0.26608
     0.42130    0.24346
     0.43959    0.21898
     0.45761    0.19408
     0.47541    0.16996
     0.49303    0.14790
     0.51058    0.13142
     0.52815    0.12011
     0.54581    0.11152
     0.56363    0.10499
     0.58163    0.09988
     0.59980    0.09545
     0.61811    0.09059
     0.63650    0.08598
     0.65492    0.08192
     0.67333    0.07853
     0.69170    0.07585
     0.70999    0.07391
     0.72821    0.07277
     0.74635    0.07250
     0.76444    0.07318
     0.78253    0.07489
     0.80068    0.07785
     0.81898    0.08242
     0.83746    0.08837
     0.85604    0.09565
     0.87451    0.10424
     0.89257    0.11408
     0.90985    0.12494
     0.92610    0.13705
     0.94120    0.15096
     0.95515    0.16736
     0.96804    0.18756
     0.97996    0.21466
     0.99102    0.25641
     1.00000    0.38752
