#      x          Cp  
     1.00000    0.54959
     0.99267    0.23208
     0.98351    0.09285
     0.97349   -0.01653
     0.96251   -0.10045
     0.95051   -0.15898
     0.93751   -0.17832
     0.92366   -0.17229
     0.90918   -0.15591
     0.89432   -0.15409
     0.87924   -0.17912
     0.86404   -0.21393
     0.84881   -0.25504
     0.83361   -0.29964
     0.81846   -0.34534
     0.80334   -0.38932
     0.78824   -0.42510
     0.77311   -0.45474
     0.75793   -0.48124
     0.74266   -0.50543
     0.72732   -0.52803
     0.71190   -0.54965
     0.69641   -0.57130
     0.68089   -0.59384
     0.66535   -0.61633
     0.64982   -0.63852
     0.63430   -0.66023
     0.61878   -0.68127
     0.60325   -0.70135
     0.58771   -0.71941
     0.57211   -0.73629
     0.55646   -0.75297
     0.54075   -0.77002
     0.52497   -0.78807
     0.50915   -0.80785
     0.49330   -0.83144
     0.47747   -0.85944
     0.46168   -0.88992
     0.44593   -0.92241
     0.43024   -0.95655
     0.41459   -0.99212
     0.39897   -1.02882
     0.38336   -1.06628
     0.36774   -1.10502
     0.35210   -1.14539
     0.33646   -1.18766
     0.32083   -1.23219
     0.30528   -1.27949
     0.28984   -1.33141
     0.27457   -1.38724
     0.25949   -1.44541
     0.24459   -1.50549
     0.22980   -1.56717
     0.21505   -1.63018
     0.20022   -1.69269
     0.18517   -1.74888
     0.16984   -1.81335
     0.15441   -1.90185
     0.13934   -2.06001
     0.12503   -2.26143
     0.11154   -2.46514
     0.09865   -2.64086
     0.08605   -2.75002
     0.07363   -2.87429
     0.06157   -3.07706
     0.05047   -3.31418
     0.04093   -3.60788
     0.03301   -3.91706
     0.02641   -4.22322
     0.02080   -4.51166
     0.01602   -4.70597
     0.01210   -4.94588
     0.00895   -5.43579
     0.00648   -5.99398
     0.00454   -6.58386
     0.00302   -7.17967
     0.00184   -7.73565
     0.00096   -8.17264
     0.00036   -8.37177
     0.00002   -8.18511
    -0.00006   -7.49763
     0.00013   -6.21322
     0.00057   -4.71958
     0.00126   -3.39670
     0.00219   -2.30194
     0.00335   -1.42757
     0.00475   -0.74049
     0.00641   -0.20542
     0.00834    0.20811
     0.01056    0.52256
     0.01309    0.75872
     0.01597    0.91389
     0.01930    0.98232
     0.02324    0.99957
     0.02802    0.99702
     0.03397    0.98530
     0.04137    0.96374
     0.05028    0.93077
     0.06073    0.89563
     0.07305    0.86278
     0.08721    0.82663
     0.10245    0.78932
     0.11815    0.75654
     0.13407    0.72743
     0.15004    0.70130
     0.16602    0.67717
     0.18203    0.65485
     0.19807    0.63419
     0.21413    0.61510
     0.23019    0.59740
     0.24624    0.58089
     0.26229    0.56541
     0.27835    0.55083
     0.29441    0.53705
     0.31048    0.52397
     0.32654    0.51151
     0.34260    0.49963
     0.35866    0.48826
     0.37472    0.47737
     0.39078    0.46692
     0.40684    0.45688
     0.42291    0.44721
     0.43898    0.43789
     0.45504    0.42888
     0.47111    0.42014
     0.48717    0.41166
     0.50324    0.40340
     0.51930    0.39534
     0.53536    0.38747
     0.55142    0.37979
     0.56748    0.37231
     0.58354    0.36502
     0.59959    0.35794
     0.61565    0.35113
     0.63171    0.34450
     0.64776    0.33798
     0.66382    0.33152
     0.67987    0.32506
     0.69591    0.31851
     0.71193    0.31157
     0.72794    0.30442
     0.74393    0.29732
     0.75990    0.29039
     0.77585    0.28383
     0.79179    0.27785
     0.80772    0.27339
     0.82365    0.27035
     0.83958    0.26738
     0.85548    0.26379
     0.87131    0.25863
     0.88704    0.25073
     0.90260    0.23531
     0.91790    0.20733
     0.93275    0.18074
     0.94683    0.16510
     0.95988    0.17236
     0.97176    0.19984
     0.98251    0.24703
     0.99226    0.32235
     1.00000    0.54959
