#      x          Cp  
     1.00000    0.21740
     0.99202    0.11114
     0.98004    0.05572
     0.96639    0.00664
     0.95207   -0.03721
     0.93757   -0.07770
     0.92306   -0.11553
     0.90855   -0.15158
     0.89405   -0.18633
     0.87957   -0.21999
     0.86510   -0.25282
     0.85064   -0.28483
     0.83619   -0.31598
     0.82175   -0.34652
     0.80730   -0.37653
     0.79286   -0.40601
     0.77842   -0.43499
     0.76398   -0.46354
     0.74954   -0.49161
     0.73509   -0.51908
     0.72064   -0.54611
     0.70618   -0.57280
     0.69172   -0.59916
     0.67724   -0.62516
     0.66276   -0.65094
     0.64826   -0.67663
     0.63376   -0.70233
     0.61925   -0.72826
     0.60474   -0.75439
     0.59023   -0.78065
     0.57571   -0.80703
     0.56120   -0.83348
     0.54668   -0.86000
     0.53215   -0.88677
     0.51762   -0.91392
     0.50308   -0.94160
     0.48855   -0.97018
     0.47401   -0.99957
     0.45948   -1.02967
     0.44496   -1.06054
     0.43045   -1.09231
     0.41594   -1.12516
     0.40145   -1.15890
     0.38697   -1.19355
     0.37251   -1.22917
     0.35806   -1.26592
     0.34363   -1.30386
     0.32922   -1.34323
     0.31483   -1.38402
     0.30047   -1.42629
     0.28614   -1.47010
     0.27184   -1.51529
     0.25757   -1.56214
     0.24333   -1.61152
     0.22913   -1.66402
     0.21498   -1.72093
     0.20091   -1.78229
     0.18690   -1.84562
     0.17295   -1.91261
     0.15907   -1.98879
     0.14530   -2.07330
     0.13166   -2.16598
     0.11816   -2.27024
     0.10483   -2.39061
     0.09171   -2.53553
     0.07892   -2.71311
     0.06659   -2.93190
     0.05490   -3.20025
     0.04412   -3.53940
     0.03456   -3.91567
     0.02638   -4.29147
     0.01971   -4.66142
     0.01444   -4.99431
     0.01038   -5.29982
     0.00732   -5.65685
     0.00502   -6.02303
     0.00325   -6.48732
     0.00191   -6.97984
     0.00095   -7.55305
     0.00032   -8.49921
     0.00002   -9.05853
     0.00007   -8.42520
     0.00048   -7.02062
     0.00134   -4.97024
     0.00275   -2.40549
     0.00467   -0.81776
     0.00707    0.00973
     0.01011    0.50329
     0.01404    0.77356
     0.01926    0.92264
     0.02626    0.98913
     0.03543    0.99764
     0.04647    0.96892
     0.05873    0.92268
     0.07167    0.87223
     0.08508    0.82383
     0.09881    0.77858
     0.11271    0.73787
     0.12681    0.70117
     0.14099    0.66718
     0.15522    0.63680
     0.16952    0.60957
     0.18388    0.58422
     0.19823    0.56116
     0.21259    0.54065
     0.22697    0.52223
     0.24138    0.50570
     0.25579    0.49110
     0.27022    0.47836
     0.28466    0.46734
     0.29912    0.45795
     0.31360    0.45039
     0.32813    0.44466
     0.34271    0.43992
     0.35733    0.43571
     0.37197    0.43234
     0.38663    0.42988
     0.40132    0.42816
     0.41605    0.42705
     0.43082    0.42642
     0.44561    0.42607
     0.46041    0.42599
     0.47521    0.42620
     0.49000    0.42665
     0.50478    0.42730
     0.51954    0.42809
     0.53428    0.42902
     0.54900    0.43004
     0.56370    0.43113
     0.57838    0.43226
     0.59304    0.43340
     0.60768    0.43449
     0.62231    0.43551
     0.63692    0.43637
     0.65151    0.43707
     0.66609    0.43761
     0.68066    0.43799
     0.69521    0.43821
     0.70975    0.43825
     0.72428    0.43806
     0.73878    0.43758
     0.75327    0.43677
     0.76774    0.43558
     0.78219    0.43397
     0.79662    0.43189
     0.81103    0.42926
     0.82543    0.42603
     0.83981    0.42215
     0.85416    0.41758
     0.86850    0.41226
     0.88281    0.40602
     0.89709    0.39876
     0.91133    0.39037
     0.92551    0.38042
     0.93963    0.36860
     0.95364    0.35413
     0.96738    0.33600
     0.98045    0.31078
     0.99206    0.28248
     1.00000    0.21740
