#      x          Cp  
     1.00000***********
     0.99891  -22.84601
     0.99571    0.59534
     0.99034    0.15813
     0.98291    0.12592
     0.97344    0.01550
     0.96192   -0.05351
     0.94848   -0.11993
     0.93299   -0.18362
     0.91571   -0.28196
     0.89644   -0.30797
     0.87590   -0.41344
     0.85350   -0.48101
     0.82970   -0.56068
     0.80435   -0.62975
     0.77773   -0.70211
     0.74995   -0.76772
     0.72115   -0.83819
     0.69133   -0.90979
     0.66074   -0.96050
     0.62938   -1.03892
     0.59750   -1.06858
     0.56525   -1.15558
     0.53274   -1.18067
     0.49997   -1.25719
     0.46733   -1.29870
     0.43469   -1.40492
     0.40243   -1.43650
     0.37056   -1.55755
     0.33933   -1.59396
     0.30861   -1.73318
     0.27801   -1.80295
     0.24998   -1.95377
     0.22221   -2.01732
     0.19558   -2.24556
     0.17037   -2.29886
     0.14643   -2.57445
     0.12403   -2.66227
     0.10330   -2.96422
     0.08422   -3.09346
     0.06694   -3.42393
     0.05158   -3.50964
     0.03802   -3.95830
     0.02650   -4.00553
     0.01702   -4.71224
     0.00960   -4.56293
     0.00422   -5.16882
     0.00102   -4.17171
     0.00000   -6.97244
     0.00102   -2.15479
     0.00422   -0.91740
     0.00960    0.30382
     0.01702    0.75964
     0.02650    0.94539
     0.03802    0.99883
     0.05158    0.98636
     0.06694    0.94277
     0.08422    0.88446
     0.10330    0.82337
     0.12403    0.75824
     0.14643    0.70178
     0.17037    0.64001
     0.19558    0.58940
     0.22221    0.53057
     0.24998    0.49208
     0.27801    0.43622
     0.30861    0.40463
     0.33933    0.36289
     0.37056    0.33897
     0.40243    0.30186
     0.43469    0.28604
     0.46733    0.25365
     0.49997    0.24333
     0.53274    0.22134
     0.56525    0.22577
     0.59750    0.21803
     0.62938    0.24345
     0.66074    0.25850
     0.69133    0.29947
     0.72115    0.33216
     0.74995    0.38491
     0.77773    0.42307
     0.80435    0.46985
     0.82970    0.49718
     0.85350    0.53290
     0.87590    0.55118
     0.89644    0.57509
     0.91571    0.59118
     0.93299    0.60753
     0.94848    0.62056
     0.96192    0.62820
     0.97344    0.63135
     0.98291    0.60573
     0.99034    0.66275
     0.99571    0.18188
     0.99891   -7.17192
     1.00000***********
