#      x          Cp  
     1.00000***********
     0.99318  -22.70946
     0.98318    0.54284
     0.97128   -0.08622
     0.95829   -0.04513
     0.94459   -0.10013
     0.93039   -0.12571
     0.91599   -0.16664
     0.90160   -0.18761
     0.88712   -0.22576
     0.87262   -0.27286
     0.85802   -0.30346
     0.84333   -0.34428
     0.82862   -0.39246
     0.81390   -0.43704
     0.79913   -0.48508
     0.78437   -0.53959
     0.76968   -0.59961
     0.75508   -0.66457
     0.74057   -0.73343
     0.72618   -0.80385
     0.71186   -0.86992
     0.69757   -0.93145
     0.68328   -0.99025
     0.66900   -1.04543
     0.65472   -1.09328
     0.64038   -1.13287
     0.62596   -1.16857
     0.61146   -1.20198
     0.59691   -1.23340
     0.58232   -1.26372
     0.56770   -1.29265
     0.55303   -1.31992
     0.53832   -1.34634
     0.52358   -1.37439
     0.50884   -1.40335
     0.49411   -1.42990
     0.47934   -1.45348
     0.46455   -1.47797
     0.44973   -1.50538
     0.43494   -1.53299
     0.42017   -1.55894
     0.40542   -1.58371
     0.39060   -1.60520
     0.37569   -1.62906
     0.36084   -1.67269
     0.34621   -1.72634
     0.33174   -1.75670
     0.31720   -1.76433
     0.30250   -1.77849
     0.28777   -1.80619
     0.27311   -1.83890
     0.25852   -1.87525
     0.24400   -1.91223
     0.22954   -1.94911
     0.21511   -1.98643
     0.20063   -2.02860
     0.18632   -2.10379
     0.17241   -2.18857
     0.15862   -2.21232
     0.14462   -2.23544
     0.13071   -2.32483
     0.11716   -2.40921
     0.10377   -2.48527
     0.09058   -2.59800
     0.07778   -2.73438
     0.06546   -2.88828
     0.05370   -3.06282
     0.04276   -3.29994
     0.03305   -3.59983
     0.02487   -3.89325
     0.01827   -4.13925
     0.01317   -4.51660
     0.00934   -4.93833
     0.00652   -5.44235
     0.00446   -5.82453
     0.00296   -5.82031
     0.00181   -5.69323
     0.00089   -5.94299
     0.00017   -7.04339
    -0.00026   -8.36308
    -0.00034   -9.38539
     0.00000   -8.25105
     0.00087   -4.44590
     0.00212   -2.61529
     0.00371   -1.44597
     0.00572   -0.53827
     0.00826    0.11272
     0.01150    0.51496
     0.01565    0.75951
     0.02104    0.90712
     0.02817    0.98138
     0.03744    0.99986
     0.04879    0.98184
     0.06176    0.94556
     0.07557    0.90332
     0.08988    0.86110
     0.10448    0.82067
     0.11919    0.78246
     0.13396    0.74754
     0.14886    0.71556
     0.16384    0.68542
     0.17886    0.65700
     0.19389    0.63014
     0.20892    0.60491
     0.22395    0.58136
     0.23902    0.55959
     0.25413    0.53857
     0.26921    0.51770
     0.28426    0.49836
     0.29932    0.48092
     0.31441    0.46402
     0.32949    0.44731
     0.34455    0.43172
     0.35961    0.41745
     0.37468    0.40361
     0.38973    0.38983
     0.40475    0.37705
     0.41975    0.36583
     0.43477    0.35525
     0.44976    0.34435
     0.46469    0.33434
     0.47958    0.32666
     0.49448    0.32064
     0.50938    0.31505
     0.52423    0.31020
     0.53903    0.30738
     0.55383    0.30686
     0.56863    0.30763
     0.58339    0.30942
     0.59810    0.31358
     0.61282    0.32151
     0.62759    0.33175
     0.64239    0.34321
     0.65720    0.35657
     0.67207    0.37387
     0.68708    0.39328
     0.70218    0.41191
     0.71721    0.42966
     0.73207    0.44744
     0.74676    0.46391
     0.76135    0.47663
     0.77593    0.48694
     0.79048    0.49642
     0.80498    0.50437
     0.81948    0.50984
     0.83403    0.51516
     0.84851    0.52124
     0.86291    0.52545
     0.87728    0.52841
     0.89159    0.53162
     0.90577    0.53360
     0.91981    0.53485
     0.93361    0.53496
     0.94699    0.53556
     0.95994    0.50558
     0.97206    0.57121
     0.98338    0.20392
     0.99310   -9.59994
     1.00000***********
