#      x          Cp  
     1.00000    0.49221
     0.99222    0.37115
     0.98155    0.16271
     0.96920    0.10207
     0.95584    0.04513
     0.94153    0.01020
     0.92644   -0.01059
     0.91085   -0.02944
     0.89503   -0.05439
     0.87919   -0.08001
     0.86339   -0.10554
     0.84761   -0.13331
     0.83178   -0.16419
     0.81593   -0.19350
     0.80009   -0.22341
     0.78425   -0.25596
     0.76838   -0.28913
     0.75250   -0.32311
     0.73663   -0.35964
     0.72075   -0.39790
     0.70485   -0.43666
     0.68896   -0.47758
     0.67310   -0.52207
     0.65728   -0.56838
     0.64149   -0.61572
     0.62571   -0.66597
     0.60996   -0.72022
     0.59425   -0.77705
     0.57854   -0.83603
     0.56284   -0.90164
     0.54722   -0.97794
     0.53173   -1.06088
     0.51638   -1.14941
     0.50116   -1.24270
     0.48610   -1.34133
     0.47122   -1.44053
     0.45646   -1.53249
     0.44175   -1.61867
     0.42709   -1.70364
     0.41253   -1.78602
     0.39804   -1.85594
     0.38350   -1.90880
     0.36889   -1.95950
     0.35432   -2.01724
     0.33984   -2.06781
     0.32535   -2.09624
     0.31074   -2.12005
     0.29617   -2.16605
     0.28183   -2.21240
     0.26757   -2.21978
     0.25318   -2.20889
     0.23868   -2.21899
     0.22429   -2.23902
     0.21001   -2.24897
     0.19577   -2.25697
     0.18162   -2.27472
     0.16764   -2.29244
     0.15379   -2.30472
     0.14008   -2.32343
     0.12659   -2.34989
     0.11335   -2.37388
     0.10039   -2.40217
     0.08779   -2.44125
     0.07566   -2.47997
     0.06410   -2.52650
     0.05330   -2.59132
     0.04360   -2.68271
     0.03516   -2.74991
     0.02791   -2.81634
     0.02206   -3.12846
     0.01752   -3.36941
     0.01390   -3.15709
     0.01086   -2.94702
     0.00825   -3.14797
     0.00607   -3.63567
     0.00429   -4.07578
     0.00288   -4.35797
     0.00177   -4.53179
     0.00093   -4.71552
     0.00033   -5.04436
     0.00001   -5.24792
    -0.00003   -5.09228
     0.00026   -4.20083
     0.00091   -3.05705
     0.00194   -1.84494
     0.00335   -0.83511
     0.00507   -0.20973
     0.00708    0.17362
     0.00946    0.47467
     0.01233    0.71885
     0.01582    0.87144
     0.02002    0.94710
     0.02500    0.98619
     0.03099    0.99998
     0.03843    0.98997
     0.04760    0.96103
     0.05833    0.91929
     0.07053    0.87126
     0.08383    0.82092
     0.09785    0.77280
     0.11238    0.72695
     0.12715    0.68452
     0.14220    0.64742
     0.15731    0.60914
     0.17209    0.57649
     0.18664    0.56150
     0.20089    0.53051
     0.21449    0.47237
     0.22768    0.44226
     0.24121    0.45377
     0.25547    0.45087
     0.27018    0.41535
     0.28511    0.38540
     0.30043    0.37074
     0.31611    0.35330
     0.33175    0.33094
     0.34723    0.31328
     0.36276    0.30066
     0.37840    0.28686
     0.39399    0.27145
     0.40947    0.25823
     0.42489    0.24783
     0.44029    0.23873
     0.45562    0.23089
     0.47087    0.22654
     0.48611    0.22703
     0.50140    0.23055
     0.51674    0.23653
     0.53213    0.24553
     0.54763    0.25898
     0.56334    0.27419
     0.57923    0.28820
     0.59522    0.30191
     0.61119    0.31669
     0.62705    0.33068
     0.64284    0.34127
     0.65861    0.34992
     0.67434    0.35818
     0.69001    0.36535
     0.70566    0.37036
     0.72132    0.37416
     0.73698    0.37763
     0.75263    0.38007
     0.76830    0.38099
     0.78401    0.38184
     0.79972    0.38306
     0.81540    0.38377
     0.83107    0.38405
     0.84672    0.38412
     0.86231    0.38557
     0.87772    0.38742
     0.89288    0.38681
     0.90779    0.38184
     0.92263    0.36384
     0.93759    0.33270
     0.95247    0.30727
     0.96667    0.29661
     0.97996    0.32083
     0.99175    0.29158
     1.00000    0.49221
