#      x          Cp  
     1.00000    0.63922
     0.99893    0.29823
     0.99039    0.23654
     0.97347    0.15554
     0.94844    0.09620
     0.91573    0.02026
     0.87592   -0.07006
     0.85355   -0.11961
     0.82967   -0.18526
     0.80438   -0.24330
     0.77779   -0.32545
     0.75000   -0.40064
     0.72114   -0.49037
     0.69134   -0.57778
     0.66072   -0.69341
     0.62941   -0.79334
     0.59755   -0.94504
     0.56526   -1.06297
     0.53270   -1.25750
     0.50000   -1.40973
     0.46730   -1.66031
     0.43474   -1.84461
     0.40245   -2.12553
     0.37059   -2.11472
     0.33928   -2.17264
     0.30866   -2.14526
     0.27866   -2.21592
     0.25000   -2.18520
     0.22221   -2.24940
     0.19562   -2.24660
     0.17033   -2.30631
     0.14645   -2.31881
     0.12408   -2.38017
     0.10332   -2.41329
     0.08427   -2.48763
     0.06699   -2.53984
     0.05156   -2.64860
     0.03806   -2.73828
     0.02653   -2.91831
     0.01702   -3.14834
     0.00961   -3.42690
     0.00428   -3.98057
     0.00107   -4.96666
     0.00000   -5.37342
     0.00107   -2.86276
     0.00428   -0.56005
     0.00961    0.48176
     0.01704    0.86487
     0.02653    0.98593
     0.03806    0.99580
     0.05156    0.95798
     0.06699    0.90005
     0.08427    0.83504
     0.10332    0.76958
     0.12408    0.70473
     0.14645    0.64517
     0.17033    0.58571
     0.19562    0.53376
     0.22221    0.47984
     0.25000    0.43650
     0.27866    0.38573
     0.30866    0.34895
     0.33928    0.30001
     0.37059    0.26820
     0.40245    0.21933
     0.43474    0.24302
     0.46730    0.25061
     0.50000    0.28216
     0.53270    0.29076
     0.56526    0.31829
     0.59755    0.32575
     0.62941    0.34676
     0.66072    0.35494
     0.69134    0.37032
     0.72114    0.37932
     0.75000    0.38847
     0.77779    0.39689
     0.80438    0.40635
     0.82967    0.40952
     0.85355    0.41936
     0.87592    0.42528
     0.91573    0.43449
     0.94844    0.44309
     0.97347    0.43652
     0.99039    0.39562
     0.99893    0.13833
     1.00000    0.63922
