#      x          Cp  
     1.00000    0.40081
     0.99188    0.18315
     0.98024    0.10433
     0.96733    0.03784
     0.95351    0.01152
     0.93878   -0.01355
     0.92368   -0.04091
     0.90858   -0.06725
     0.89347   -0.09323
     0.87835   -0.11757
     0.86328   -0.13702
     0.84833   -0.16172
     0.83341   -0.19619
     0.81846   -0.21973
     0.80351   -0.23986
     0.78851   -0.27087
     0.77343   -0.30340
     0.75829   -0.33286
     0.74314   -0.36271
     0.72798   -0.39376
     0.71282   -0.42617
     0.69766   -0.46063
     0.68255   -0.50007
     0.66752   -0.54312
     0.65253   -0.58143
     0.63750   -0.61633
     0.62245   -0.66143
     0.60749   -0.71823
     0.59260   -0.77275
     0.57765   -0.82095
     0.56263   -0.87665
     0.54775   -0.94798
     0.53307   -1.01850
     0.51838   -1.07186
     0.50351   -1.12489
     0.48861   -1.20253
     0.47393   -1.29414
     0.45945   -1.37693
     0.44495   -1.45066
     0.43045   -1.53455
     0.41616   -1.63356
     0.40211   -1.71977
     0.38805   -1.76598
     0.37377   -1.80169
     0.35941   -1.86253
     0.34525   -1.93184
     0.33119   -1.96832
     0.31693   -1.97903
     0.30247   -2.01665
     0.28819   -2.08911
     0.27419   -2.14461
     0.26023   -2.16769
     0.24620   -2.19456
     0.23225   -2.23766
     0.21847   -2.26791
     0.20472   -2.27416
     0.19093   -2.28761
     0.17726   -2.31811
     0.16375   -2.33722
     0.15028   -2.34598
     0.13692   -2.37762
     0.12381   -2.41828
     0.11092   -2.44132
     0.09821   -2.47646
     0.08583   -2.53028
     0.07382   -2.57111
     0.06223   -2.63471
     0.05133   -2.72669
     0.04129   -2.80434
     0.03238   -2.92956
     0.02491   -3.08516
     0.01893   -3.24222
     0.01424   -3.40380
     0.01058   -3.58279
     0.00773   -3.85719
     0.00552   -4.17130
     0.00377   -4.51088
     0.00241   -4.88721
     0.00136   -5.20556
     0.00060   -5.72015
     0.00013   -6.28941
    -0.00003   -6.48565
     0.00015   -5.59513
     0.00070   -4.10451
     0.00166   -2.61364
     0.00304   -1.30181
     0.00481   -0.42995
     0.00696    0.09974
     0.00958    0.47015
     0.01283    0.72036
     0.01690    0.87694
     0.02201    0.96149
     0.02846    0.99702
     0.03663    0.99463
     0.04667    0.96544
     0.05822    0.92134
     0.07105    0.87186
     0.08453    0.82056
     0.09844    0.77467
     0.11276    0.72987
     0.12711    0.68770
     0.14165    0.65285
     0.15642    0.61721
     0.17107    0.58269
     0.18578    0.55605
     0.20074    0.52964
     0.21566    0.49993
     0.23043    0.47400
     0.24526    0.45180
     0.26005    0.42763
     0.27459    0.40465
     0.28913    0.39380
     0.30406    0.38978
     0.31926    0.37674
     0.33422    0.35879
     0.34898    0.34915
     0.36394    0.34534
     0.37903    0.33560
     0.39384    0.32165
     0.40839    0.31707
     0.42309    0.32414
     0.43814    0.33069
     0.45329    0.33132
     0.46829    0.33422
     0.48319    0.34473
     0.49815    0.35505
     0.51322    0.35670
     0.52838    0.35542
     0.54353    0.35982
     0.55861    0.36701
     0.57367    0.36889
     0.58881    0.36636
     0.60402    0.36801
     0.61916    0.37485
     0.63421    0.37896
     0.64934    0.37812
     0.66460    0.37817
     0.67982    0.38137
     0.69493    0.38321
     0.71006    0.38184
     0.72528    0.38095
     0.74049    0.38200
     0.75565    0.38222
     0.77086    0.38114
     0.78606    0.38285
     0.80108    0.38585
     0.81610    0.38185
     0.83132    0.37744
     0.84645    0.38163
     0.86139    0.38007
     0.87646    0.37290
     0.89163    0.37059
     0.90669    0.36937
     0.92164    0.36618
     0.93667    0.36050
     0.95162    0.35715
     0.96599    0.35990
     0.97954    0.35772
     0.99166    0.38915
     1.00000    0.40081
