#      x          Cp  
     1.00000    0.35847
     0.99234    0.33983
     0.98134    0.31347
     0.96885    0.29287
     0.95567    0.26578
     0.94221    0.23421
     0.92860    0.20057
     0.91485    0.16308
     0.90096    0.12590
     0.88701    0.08990
     0.87302    0.05469
     0.85901    0.01939
     0.84499   -0.01856
     0.83091   -0.05925
     0.81679   -0.10108
     0.80269   -0.14335
     0.78863   -0.18517
     0.77461   -0.22573
     0.76061   -0.26404
     0.74661   -0.30106
     0.73260   -0.33691
     0.71859   -0.37227
     0.70459   -0.40758
     0.69059   -0.44198
     0.67660   -0.47480
     0.66261   -0.50587
     0.64861   -0.53439
     0.63459   -0.56078
     0.62056   -0.58515
     0.60651   -0.60756
     0.59243   -0.62762
     0.57833   -0.64527
     0.56419   -0.66160
     0.55001   -0.67712
     0.53580   -0.69247
     0.52155   -0.70855
     0.50728   -0.72572
     0.49299   -0.74503
     0.47868   -0.76674
     0.46438   -0.79013
     0.45009   -0.81525
     0.43579   -0.84187
     0.42149   -0.86990
     0.40720   -0.89968
     0.39290   -0.93204
     0.37862   -0.96678
     0.36436   -1.00306
     0.35010   -1.04096
     0.33584   -1.08170
     0.32160   -1.12611
     0.30737   -1.17405
     0.29317   -1.22614
     0.27899   -1.28226
     0.26486   -1.34309
     0.25077   -1.40785
     0.23671   -1.47588
     0.22268   -1.54948
     0.20872   -1.63283
     0.19484   -1.72249
     0.18103   -1.81574
     0.16728   -1.92074
     0.15364   -2.04488
     0.14018   -2.19014
     0.12695   -2.35756
     0.11406   -2.54962
     0.10160   -2.74919
     0.08963   -2.93687
     0.07817   -3.07315
     0.06718   -3.13920
     0.05660   -3.12278
     0.04642   -3.04781
     0.03673   -2.93194
     0.02766   -2.79566
     0.01965   -2.68486
     0.01319   -2.68254
     0.00859   -2.83044
     0.00550   -3.12268
     0.00329   -3.83057
     0.00170   -4.80940
     0.00067   -5.84699
     0.00012   -7.03599
     0.00002   -6.72442
     0.00037   -4.49261
     0.00121   -2.53786
     0.00262   -1.02373
     0.00464   -0.04663
     0.00736    0.46074
     0.01113    0.77639
     0.01653    0.94598
     0.02393    0.99949
     0.03338    0.97668
     0.04436    0.91560
     0.05618    0.84248
     0.06848    0.77097
     0.08109    0.70736
     0.09399    0.65509
     0.10721    0.61421
     0.12076    0.58285
     0.13460    0.55724
     0.14865    0.53527
     0.16285    0.51497
     0.17712    0.49578
     0.19140    0.47737
     0.20570    0.46079
     0.22001    0.44582
     0.23435    0.43202
     0.24872    0.41916
     0.26309    0.40689
     0.27747    0.39528
     0.29185    0.38433
     0.30624    0.37402
     0.32064    0.36437
     0.33504    0.35523
     0.34945    0.34629
     0.36386    0.33760
     0.37827    0.32935
     0.39267    0.32156
     0.40708    0.31424
     0.42150    0.30741
     0.43593    0.30070
     0.45036    0.29381
     0.46479    0.28707
     0.47921    0.28081
     0.49364    0.27483
     0.50807    0.26878
     0.52251    0.26264
     0.53694    0.25667
     0.55136    0.25092
     0.56579    0.24537
     0.58022    0.24008
     0.59466    0.23476
     0.60910    0.22890
     0.62352    0.22289
     0.63794    0.21747
     0.65236    0.21253
     0.66679    0.20729
     0.68121    0.20161
     0.69562    0.19614
     0.71002    0.19109
     0.72443    0.18605
     0.73884    0.18084
     0.75325    0.17546
     0.76763    0.16983
     0.78200    0.16471
     0.79638    0.16041
     0.81076    0.15544
     0.82511    0.14969
     0.83944    0.14489
     0.85375    0.14090
     0.86805    0.13719
     0.88234    0.13355
     0.89658    0.13052
     0.91078    0.12981
     0.92495    0.13104
     0.93908    0.13635
     0.95319    0.14749
     0.96720    0.16239
     0.98068    0.18295
     0.99223    0.18011
     1.00000    0.35847
