#      x          Cp  
     1.00000    0.54302
     0.98824    0.11131
     0.97389    0.05029
     0.95842   -0.01627
     0.94165   -0.07253
     0.92389   -0.15175
     0.90550   -0.17648
     0.88582   -0.21566
     0.86436   -0.30155
     0.84054   -0.34425
     0.81441   -0.41233
     0.78704   -0.49748
     0.75909   -0.58522
     0.73093   -0.66265
     0.70250   -0.75257
     0.67430   -0.82629
     0.64593   -0.92616
     0.61904   -1.04451
     0.59259   -1.12702
     0.56627   -1.22112
     0.54045   -1.32605
     0.51545   -1.44373
     0.49127   -1.54567
     0.46728   -1.63521
     0.44433   -1.79388
     0.42282   -1.92441
     0.40190   -2.02701
     0.38173   -2.16512
     0.36239   -2.27350
     0.34335   -2.34777
     0.32486   -2.48419
     0.30742   -2.64160
     0.29095   -2.76965
     0.27522   -2.89009
     0.26020   -3.01117
     0.24598   -3.16156
     0.23267   -3.35181
     0.22022   -3.51601
     0.20840   -3.62059
     0.19708   -3.71099
     0.18623   -3.81619
     0.17588   -3.92637
     0.16602   -4.03798
     0.15662   -4.14749
     0.14766   -4.24243
     0.13908   -4.30753
     0.13085   -4.35477
     0.12295   -4.39720
     0.11537   -4.44333
     0.10811   -4.48199
     0.10115   -4.50798
     0.09449   -4.51779
     0.08810   -4.51328
     0.08198   -4.49206
     0.07611   -4.45367
     0.07050   -4.39806
     0.06512   -4.31729
     0.05996   -4.21149
     0.05502   -4.09676
     0.05028   -3.98556
     0.04575   -3.88388
     0.04143   -3.78012
     0.03733   -3.67053
     0.03344   -3.55302
     0.02977   -3.42759
     0.02631   -3.29257
     0.02306   -3.14567
     0.02002   -2.99278
     0.01719   -2.83872
     0.01456   -2.69203
     0.01215   -2.54034
     0.00996   -2.37470
     0.00800   -2.18319
     0.00628   -1.97641
     0.00477   -1.76203
     0.00349   -1.53766
     0.00243   -1.31173
     0.00157   -1.09389
     0.00090   -0.88970
     0.00041   -0.70088
     0.00010   -0.52317
    -0.00000   -0.35975
     0.00008   -0.22283
     0.00038   -0.09866
     0.00089    0.02429
     0.00163    0.15077
     0.00259    0.27633
     0.00379    0.39708
     0.00521    0.51219
     0.00684    0.61792
     0.00869    0.71154
     0.01075    0.79267
     0.01301    0.85997
     0.01546    0.91287
     0.01810    0.95208
     0.02091    0.97891
     0.02389    0.99458
     0.02707    0.99998
     0.03044    0.99618
     0.03401    0.98461
     0.03777    0.96673
     0.04173    0.94356
     0.04588    0.91612
     0.05022    0.88547
     0.05478    0.85303
     0.05956    0.81968
     0.06457    0.78562
     0.06982    0.74963
     0.07529    0.71124
     0.08100    0.67189
     0.08696    0.63319
     0.09320    0.59639
     0.09973    0.56121
     0.10660    0.52776
     0.11381    0.49620
     0.12140    0.46689
     0.12940    0.43973
     0.13786    0.41485
     0.14680    0.39178
     0.15628    0.36908
     0.16631    0.34946
     0.17703    0.33928
     0.18866    0.33821
     0.20139    0.33700
     0.21532    0.33262
     0.23058    0.33346
     0.24754    0.33940
     0.26636    0.33988
     0.28693    0.34247
     0.30954    0.35071
     0.33402    0.35445
     0.36028    0.37356
     0.38902    0.38356
     0.41957    0.39254
     0.45212    0.40801
     0.48504    0.42727
     0.51737    0.43908
     0.55031    0.44859
     0.58240    0.46076
     0.61377    0.47164
     0.64360    0.48655
     0.67199    0.49233
     0.70014    0.49734
     0.72667    0.51325
     0.75180    0.51932
     0.77579    0.52710
     0.79827    0.53421
     0.81943    0.53540
     0.83915    0.54419
     0.85687    0.55041
     0.87324    0.53869
     0.88845    0.57074
     0.90282    0.58123
     0.91737    0.56249
     0.93193    0.57741
     0.94624    0.58050
     0.96032    0.59372
     0.97397    0.60852
     0.98760    0.64040
     1.00000    0.54302
