#      x          Cp  
     1.00000    0.33283
     0.99183    0.20860
     0.98061    0.12799
     0.96736    0.07183
     0.95230    0.01658
     0.93588   -0.03723
     0.91859   -0.09068
     0.90083   -0.14338
     0.88283   -0.19592
     0.86473   -0.24887
     0.84662   -0.30239
     0.82858   -0.35809
     0.81074   -0.41981
     0.79318   -0.47696
     0.77609   -0.54613
     0.75980   -0.65914
     0.74394   -0.74073
     0.72759   -0.76746
     0.71068   -0.83069
     0.69399   -0.92321
     0.67739   -0.98317
     0.66037   -1.03896
     0.64335   -1.13095
     0.62674   -1.22283
     0.61018   -1.29056
     0.59345   -1.36852
     0.57698   -1.47217
     0.56084   -1.56127
     0.54451   -1.61979
     0.52797   -1.70400
     0.51188   -1.83593
     0.49636   -1.94546
     0.48077   -2.00268
     0.46496   -2.08134
     0.44964   -2.22882
     0.43507   -2.35285
     0.42056   -2.37164
     0.40547   -2.36408
     0.39022   -2.44065
     0.37555   -2.53913
     0.36108   -2.53215
     0.34594   -2.45511
     0.33015   -2.46371
     0.31473   -2.54456
     0.29975   -2.55722
     0.28451   -2.51641
     0.26897   -2.52865
     0.25371   -2.57761
     0.23879   -2.58979
     0.22388   -2.58381
     0.20899   -2.59444
     0.19430   -2.61255
     0.17986   -2.63168
     0.16568   -2.65329
     0.15185   -2.67677
     0.13836   -2.69076
     0.12521   -2.70083
     0.11250   -2.72583
     0.10037   -2.75611
     0.08891   -2.78623
     0.07818   -2.81032
     0.06827   -2.83127
     0.05922   -2.85901
     0.05109   -2.89722
     0.04391   -2.95581
     0.03762   -2.99835
     0.03211   -3.00548
     0.02728   -3.03017
     0.02306   -3.13459
     0.01940   -3.25051
     0.01624   -3.30417
     0.01347   -3.28191
     0.01104   -3.26747
     0.00887   -3.29954
     0.00693   -3.40462
     0.00518   -3.58773
     0.00361   -4.06794
     0.00225   -4.84933
     0.00121   -5.44091
     0.00053   -5.26659
     0.00014   -4.74782
     0.00000   -4.21326
     0.00006   -3.81322
     0.00032   -3.44693
     0.00083   -2.97748
     0.00162   -2.48600
     0.00273   -2.00113
     0.00419   -1.28883
     0.00606   -0.20697
     0.00829    0.44442
     0.01077    0.71379
     0.01338    0.83450
     0.01614    0.91129
     0.01912    0.96172
     0.02237    0.98851
     0.02596    0.99872
     0.02995    0.99941
     0.03437    0.99324
     0.03930    0.98075
     0.04492    0.96441
     0.05149    0.94575
     0.05925    0.92241
     0.06835    0.89486
     0.07903    0.86659
     0.09163    0.83713
     0.10612    0.80661
     0.12211    0.77618
     0.13917    0.74784
     0.15696    0.72314
     0.17526    0.70048
     0.19371    0.67765
     0.21219    0.65959
     0.23071    0.64170
     0.24896    0.62350
     0.26698    0.61313
     0.28487    0.60075
     0.30247    0.58187
     0.31989    0.57238
     0.33738    0.56809
     0.35470    0.55252
     0.37162    0.53794
     0.38861    0.53851
     0.40598    0.53861
     0.42308    0.52892
     0.43952    0.52938
     0.45568    0.54602
     0.47200    0.55529
     0.48870    0.54864
     0.50571    0.54762
     0.52280    0.55890
     0.54005    0.56529
     0.55778    0.56443
     0.57574    0.56987
     0.59323    0.57937
     0.61047    0.58153
     0.62799    0.58113
     0.64542    0.58730
     0.66234    0.59246
     0.67922    0.59013
     0.69636    0.58955
     0.71320    0.59435
     0.72967    0.59390
     0.74630    0.58857
     0.76298    0.58816
     0.77933    0.58774
     0.79563    0.58031
     0.81209    0.57436
     0.82836    0.57048
     0.84455    0.55944
     0.86092    0.54763
     0.87724    0.53732
     0.89341    0.52406
     0.90946    0.50852
     0.92535    0.49054
     0.94089    0.47011
     0.95565    0.44823
     0.96922    0.42496
     0.98140    0.37775
     0.99206    0.41411
     1.00000    0.33283
