#      x          Cp  
     1.00000***********
     0.99893  -15.70087
     0.99039    0.44150
     0.97347    0.07554
     0.94844    0.00523
     0.91573   -0.10848
     0.87592   -0.23809
     0.85355   -0.31394
     0.82967   -0.39550
     0.80438   -0.49217
     0.77779   -0.60346
     0.75000   -0.84082
     0.72114   -0.89268
     0.69134   -1.06283
     0.66072   -1.17347
     0.62941   -1.36462
     0.59755   -1.51749
     0.56526   -1.72926
     0.53270   -1.87098
     0.50000   -2.14984
     0.46730   -2.30271
     0.43474   -2.61632
     0.40245   -2.61848
     0.37059   -2.81664
     0.33928   -2.66613
     0.30866   -2.80037
     0.27886   -2.72296
     0.25000   -2.79669
     0.22221   -2.77985
     0.19562   -2.79582
     0.17033   -2.80633
     0.14645   -2.84676
     0.12408   -2.82085
     0.10332   -2.86830
     0.08427   -2.87042
     0.06699   -2.89532
     0.05156   -2.88330
     0.03806   -2.98204
     0.02653   -2.82213
     0.01704   -3.20594
     0.00961   -3.45263
     0.00428   -3.67278
     0.00107   -4.68452
     0.00000   -4.33737
     0.00107   -3.49949
     0.00428   -1.11526
     0.00961    0.60118
     0.01704    0.94202
     0.02653    0.99967
     0.03806    0.98297
     0.05156    0.94708
     0.06699    0.90414
     0.08427    0.86425
     0.10332    0.82734
     0.12408    0.79369
     0.14645    0.76066
     0.17033    0.73587
     0.19562    0.70795
     0.22221    0.68698
     0.25000    0.66185
     0.27886    0.64954
     0.30866    0.62332
     0.33928    0.61451
     0.37059    0.58990
     0.40245    0.59116
     0.43474    0.58029
     0.46730    0.60694
     0.50000    0.59835
     0.53270    0.61414
     0.56526    0.61584
     0.59755    0.62900
     0.62941    0.62922
     0.66072    0.63881
     0.69134    0.63432
     0.72114    0.63921
     0.75000    0.63074
     0.77779    0.63064
     0.80438    0.61721
     0.82967    0.61003
     0.85355    0.59141
     0.87592    0.57703
     0.91573    0.54103
     0.94844    0.48756
     0.97347    0.48442
     0.99039    0.19491
     0.99893   -6.99954
     1.00000***********
