#      x          Cp  
     1.00000    0.37328
     0.99115    0.26048
     0.97960    0.17345
     0.96653    0.11276
     0.95196    0.05635
     0.93608    0.00361
     0.91915   -0.04225
     0.90150   -0.09302
     0.88338   -0.14126
     0.86499   -0.19259
     0.84640   -0.24618
     0.82765   -0.29568
     0.80881   -0.34668
     0.78996   -0.40073
     0.77115   -0.45902
     0.75239   -0.52308
     0.73373   -0.59668
     0.71518   -0.67816
     0.69685   -0.76613
     0.67882   -0.86203
     0.66113   -0.96631
     0.64385   -1.08069
     0.62703   -1.20405
     0.61072   -1.33663
     0.59489   -1.46952
     0.57944   -1.59639
     0.56428   -1.71514
     0.54929   -1.81965
     0.53440   -1.91201
     0.51951   -1.98725
     0.50455   -2.05148
     0.48949   -2.11171
     0.47437   -2.16866
     0.45921   -2.22424
     0.44404   -2.27775
     0.42886   -2.32561
     0.41368   -2.36590
     0.39847   -2.39678
     0.38319   -2.41651
     0.36783   -2.42754
     0.35234   -2.43070
     0.33673   -2.43489
     0.32107   -2.44778
     0.30542   -2.46327
     0.28983   -2.47956
     0.27431   -2.49445
     0.25887   -2.50702
     0.24354   -2.52191
     0.22837   -2.53987
     0.21339   -2.55796
     0.19863   -2.57560
     0.18413   -2.59207
     0.16993   -2.61109
     0.15611   -2.63998
     0.14275   -2.66703
     0.12989   -2.68751
     0.11759   -2.71524
     0.10596   -2.74827
     0.09505   -2.77122
     0.08488   -2.79515
     0.07550   -2.83862
     0.06696   -2.88940
     0.05923   -2.94571
     0.05227   -2.99231
     0.04600   -3.01438
     0.04036   -3.03217
     0.03529   -3.07718
     0.03074   -3.13946
     0.02666   -3.18680
     0.02300   -3.19882
     0.01970   -3.21514
     0.01670   -3.28729
     0.01399   -3.46854
     0.01158   -3.64799
     0.00946   -3.76468
     0.00763   -3.76924
     0.00605   -3.71018
     0.00470   -3.60336
     0.00356   -3.43982
     0.00261   -3.24963
     0.00182   -3.06649
     0.00119   -2.90827
     0.00069   -2.81468
     0.00032   -2.74427
     0.00009   -2.67372
    -0.00000   -2.68657
     0.00008   -2.97745
     0.00049   -3.18856
     0.00141   -2.46380
     0.00291   -1.09064
     0.00482   -0.18252
     0.00697    0.38517
     0.00932    0.68170
     0.01180    0.81112
     0.01442    0.88735
     0.01719    0.94067
     0.02016    0.97638
     0.02337    0.99456
     0.02684    0.99998
     0.03060    0.99683
     0.03467    0.98758
     0.03911    0.97390
     0.04398    0.95729
     0.04937    0.93883
     0.05540    0.91899
     0.06218    0.89806
     0.06988    0.87604
     0.07864    0.85246
     0.08865    0.82865
     0.10014    0.80560
     0.11326    0.78160
     0.12798    0.75683
     0.14408    0.73261
     0.16133    0.71204
     0.17956    0.69274
     0.19849    0.67357
     0.21785    0.65672
     0.23742    0.64233
     0.25704    0.62895
     0.27675    0.61556
     0.29651    0.60402
     0.31625    0.59348
     0.33597    0.58331
     0.35571    0.57358
     0.37545    0.56448
     0.39520    0.55617
     0.41492    0.54837
     0.43463    0.54095
     0.45433    0.53379
     0.47402    0.52703
     0.49368    0.52071
     0.51334    0.51437
     0.53300    0.50811
     0.55265    0.50223
     0.57231    0.49619
     0.59202    0.48989
     0.61174    0.48495
     0.63141    0.48038
     0.65108    0.47444
     0.67081    0.46916
     0.69053    0.46466
     0.71026    0.45935
     0.73004    0.45359
     0.74990    0.44787
     0.76971    0.44313
     0.78940    0.44123
     0.80899    0.44264
     0.82838    0.44682
     0.84741    0.45266
     0.86586    0.46127
     0.88353    0.47105
     0.90033    0.48179
     0.91613    0.49432
     0.93090    0.50483
     0.94469    0.51165
     0.95757    0.51689
     0.96961    0.51539
     0.98089    0.50252
     0.99147    0.53782
     1.00000    0.37328
