#      x          Cp  
     1.00000    0.95485
     0.99893   -0.21541
     0.99572    0.19499
     0.99039    0.10167
     0.98296    0.10643
     0.97347    0.07872
     0.96194    0.06097
     0.94844    0.03970
     0.93301    0.01974
     0.91573   -0.00022
     0.89668   -0.03669
     0.87592   -0.07934
     0.85355   -0.13919
     0.82967   -0.21270
     0.80438   -0.30335
     0.77779   -0.42149
     0.75000   -0.56552
     0.72114   -0.72779
     0.69134   -0.89881
     0.66072   -1.03910
     0.62941   -1.14704
     0.59755   -1.26795
     0.56526   -1.37750
     0.53270   -1.49983
     0.50000   -1.59468
     0.46730   -1.66111
     0.43474   -1.73435
     0.40245   -1.78973
     0.37059   -1.84301
     0.33928   -1.89771
     0.30866   -1.95587
     0.27886   -2.00758
     0.25000   -2.06451
     0.22221   -2.11855
     0.19562   -2.17729
     0.17033   -2.24217
     0.14645   -2.31447
     0.12408   -2.39418
     0.10332   -2.48937
     0.08427   -2.58790
     0.06699   -2.70848
     0.05156   -2.86586
     0.03806   -3.03295
     0.02653   -3.26407
     0.01704   -3.56241
     0.00961   -4.11497
     0.00428   -4.60979
     0.00107   -5.30568
     0.00000   -6.47797
     0.00107   -4.28489
     0.00428   -0.68713
     0.00961    0.45355
     0.01704    0.85076
     0.02653    0.98261
     0.03806    0.99739
     0.05156    0.96430
     0.06699    0.91202
     0.08427    0.85325
     0.10332    0.79422
     0.12408    0.73679
     0.14645    0.68325
     0.17033    0.63294
     0.19562    0.58694
     0.22221    0.54399
     0.25000    0.50482
     0.27886    0.46885
     0.30866    0.43632
     0.33928    0.40502
     0.37059    0.37838
     0.40245    0.35265
     0.43474    0.33052
     0.46730    0.31586
     0.50000    0.30680
     0.53270    0.30851
     0.56526    0.32523
     0.59755    0.35042
     0.62941    0.37934
     0.66072    0.40345
     0.69134    0.42018
     0.72114    0.43424
     0.75000    0.44369
     0.77779    0.45211
     0.80438    0.45800
     0.82967    0.46284
     0.85355    0.46547
     0.87592    0.46622
     0.89668    0.46340
     0.91573    0.46032
     0.93301    0.45195
     0.94844    0.44482
     0.96194    0.43453
     0.97347    0.42167
     0.98296    0.41258
     0.99039    0.34210
     0.99572    0.43418
     0.99893   -0.68647
     1.00000    0.95485
