#      x          Cp  
     1.00000    0.40996
     0.99311    0.08348
     0.98262    0.08744
     0.96992    0.05312
     0.95607    0.02455
     0.94185   -0.01027
     0.92757   -0.03550
     0.91342   -0.06014
     0.89933   -0.09313
     0.88521   -0.12741
     0.87111   -0.16528
     0.85695   -0.20863
     0.84271   -0.25114
     0.82848   -0.29326
     0.81434   -0.33625
     0.80028   -0.38808
     0.78616   -0.45505
     0.77202   -0.53379
     0.75803   -0.62141
     0.74429   -0.70776
     0.73070   -0.78842
     0.71717   -0.86197
     0.70368   -0.92463
     0.69017   -0.97557
     0.67654   -1.00903
     0.66271   -1.03582
     0.64873   -1.06590
     0.63465   -1.09838
     0.62057   -1.13544
     0.60653   -1.17510
     0.59252   -1.21093
     0.57850   -1.24063
     0.56446   -1.26610
     0.55039   -1.28667
     0.53629   -1.30332
     0.52212   -1.31468
     0.50788   -1.32334
     0.49357   -1.33362
     0.47922   -1.34724
     0.46486   -1.36257
     0.45051   -1.38040
     0.43618   -1.39850
     0.42184   -1.41509
     0.40750   -1.43138
     0.39315   -1.44915
     0.37880   -1.46833
     0.36448   -1.48788
     0.35016   -1.50778
     0.33585   -1.52859
     0.32156   -1.55070
     0.30728   -1.57396
     0.29303   -1.59855
     0.27880   -1.62486
     0.26460   -1.65371
     0.25044   -1.68467
     0.23633   -1.71784
     0.22227   -1.75278
     0.20825   -1.78886
     0.19428   -1.82888
     0.18037   -1.87615
     0.16656   -1.92775
     0.15284   -1.98319
     0.13921   -2.04617
     0.12572   -2.11793
     0.11238   -2.19845
     0.09920   -2.29218
     0.08624   -2.40514
     0.07358   -2.54700
     0.06133   -2.71587
     0.04960   -2.91648
     0.03859   -3.17626
     0.02885   -3.56222
     0.02084   -3.96237
     0.01463   -4.50628
     0.01008   -5.20356
     0.00683   -5.96452
     0.00449   -6.67230
     0.00273   -7.37193
     0.00147   -7.97212
     0.00061   -8.91403
     0.00013   -9.95472
     0.00000   -9.98153
     0.00026   -8.58060
     0.00095   -6.68935
     0.00219   -3.66711
     0.00403   -1.38734
     0.00640   -0.25537
     0.00945    0.38760
     0.01349    0.72004
     0.01891    0.90239
     0.02632    0.98538
     0.03629    0.99845
     0.04831    0.97274
     0.06147    0.93245
     0.07530    0.88979
     0.08947    0.84883
     0.10377    0.81094
     0.11819    0.77676
     0.13272    0.74527
     0.14727    0.71622
     0.16185    0.69003
     0.17649    0.66582
     0.19115    0.64316
     0.20581    0.62234
     0.22050    0.60308
     0.23522    0.58487
     0.24994    0.56769
     0.26467    0.55156
     0.27942    0.53621
     0.29417    0.52136
     0.30890    0.50727
     0.32365    0.49422
     0.33841    0.48178
     0.35317    0.46942
     0.36792    0.45752
     0.38266    0.44658
     0.39743    0.43623
     0.41221    0.42568
     0.42697    0.41509
     0.44172    0.40521
     0.45647    0.39604
     0.47124    0.38689
     0.48600    0.37747
     0.50073    0.36834
     0.51546    0.35987
     0.53019    0.35166
     0.54493    0.34325
     0.55964    0.33483
     0.57434    0.32656
     0.58903    0.31847
     0.60369    0.31041
     0.61832    0.30242
     0.63291    0.29490
     0.64750    0.28800
     0.66208    0.28055
     0.67656    0.27121
     0.69088    0.26283
     0.70505    0.25737
     0.71909    0.25613
     0.73304    0.26200
     0.74698    0.27420
     0.76102    0.29423
     0.77526    0.31963
     0.78961    0.34873
     0.80391    0.37675
     0.81806    0.39867
     0.83211    0.41538
     0.84614    0.42675
     0.86020    0.43668
     0.87423    0.44596
     0.88819    0.45364
     0.90211    0.45981
     0.91596    0.46418
     0.92977    0.46601
     0.94351    0.46854
     0.95700    0.47105
     0.97009    0.47137
     0.98232    0.46414
     0.99283    0.49429
     1.00000    0.40996
