#      x          Cp  
     1.00000    0.38818
     0.99284    0.10254
     0.98160    0.10122
     0.96845    0.06715
     0.95478    0.05237
     0.94114    0.03848
     0.92746    0.00449
     0.91360   -0.03328
     0.89969   -0.05818
     0.88580   -0.08573
     0.87187   -0.11150
     0.85805   -0.13084
     0.84438   -0.15816
     0.83070   -0.19331
     0.81697   -0.23154
     0.80324   -0.27345
     0.78952   -0.31970
     0.77579   -0.37307
     0.76205   -0.43729
     0.74831   -0.50806
     0.73464   -0.58281
     0.72106   -0.65943
     0.70761   -0.73559
     0.69424   -0.80754
     0.68091   -0.86656
     0.66755   -0.91458
     0.65410   -0.95176
     0.64054   -0.97923
     0.62687   -1.00336
     0.61311   -1.02790
     0.59929   -1.05190
     0.58542   -1.07628
     0.57150   -1.10164
     0.55754   -1.13028
     0.54357   -1.16237
     0.52960   -1.19688
     0.51563   -1.23403
     0.50167   -1.27338
     0.48774   -1.31619
     0.47384   -1.36024
     0.46000   -1.40359
     0.44623   -1.44447
     0.43250   -1.47775
     0.41877   -1.49830
     0.40501   -1.51232
     0.39120   -1.52204
     0.37735   -1.52908
     0.36347   -1.53507
     0.34954   -1.54171
     0.33557   -1.55354
     0.32162   -1.57362
     0.30771   -1.59659
     0.29386   -1.62049
     0.28005   -1.64386
     0.26625   -1.66346
     0.25244   -1.68366
     0.23865   -1.71118
     0.22492   -1.74300
     0.21124   -1.77459
     0.19760   -1.80809
     0.18400   -1.84764
     0.17048   -1.89205
     0.15704   -1.94055
     0.14368   -1.99412
     0.13042   -2.05439
     0.11727   -2.12434
     0.10428   -2.20560
     0.09145   -2.29810
     0.07881   -2.41534
     0.06650   -2.56112
     0.05457   -2.72580
     0.04305   -2.92577
     0.03224   -3.25997
     0.02283   -3.65867
     0.01516   -4.17779
     0.00964   -4.94133
     0.00606   -5.65108
     0.00363   -6.38207
     0.00194   -7.16793
     0.00083   -8.33296
     0.00019  -10.39860
    -0.00000  -11.22651
     0.00026   -9.28021
     0.00105   -6.62949
     0.00251   -2.85302
     0.00474   -0.64929
     0.00776    0.21625
     0.01203    0.68420
     0.01832    0.91423
     0.02735    0.99512
     0.03900    0.99067
     0.05190    0.95379
     0.06533    0.90979
     0.07911    0.86668
     0.09305    0.82630
     0.10702    0.78954
     0.12109    0.75699
     0.13526    0.72652
     0.14941    0.69847
     0.16358    0.67349
     0.17781    0.65023
     0.19206    0.62831
     0.20630    0.60793
     0.22054    0.58899
     0.23480    0.57156
     0.24909    0.55519
     0.26338    0.53926
     0.27767    0.52404
     0.29196    0.50986
     0.30625    0.49646
     0.32055    0.48351
     0.33485    0.47109
     0.34915    0.45935
     0.36345    0.44822
     0.37775    0.43757
     0.39208    0.42729
     0.40641    0.41704
     0.42072    0.40662
     0.43502    0.39659
     0.44931    0.38742
     0.46361    0.37869
     0.47792    0.36997
     0.49223    0.36130
     0.50653    0.35278
     0.52082    0.34441
     0.53510    0.33629
     0.54938    0.32849
     0.56366    0.32082
     0.57793    0.31304
     0.59219    0.30532
     0.60643    0.29789
     0.62067    0.29067
     0.63489    0.28317
     0.64909    0.27527
     0.66325    0.26733
     0.67734    0.25936
     0.69135    0.25268
     0.70528    0.24833
     0.71912    0.24744
     0.73293    0.25248
     0.74673    0.26256
     0.76062    0.27860
     0.77464    0.29839
     0.78878    0.31931
     0.80292    0.34020
     0.81693    0.36037
     0.83078    0.37689
     0.84455    0.38675
     0.85837    0.39264
     0.87227    0.39591
     0.88622    0.40025
     0.90015    0.40529
     0.91407    0.41090
     0.92788    0.42109
     0.94142    0.43010
     0.95480    0.42721
     0.96823    0.42402
     0.98114    0.41640
     0.99252    0.44006
     1.00000    0.38818
