#      x          Cp  
     1.00000    0.39048
     0.99393   -0.09072
     0.98532   -0.12658
     0.97523   -0.22618
     0.96405   -0.26903
     0.95140   -0.29248
     0.93716   -0.32309
     0.92201   -0.35926
     0.90658   -0.39406
     0.89091   -0.42802
     0.87492   -0.45967
     0.85858   -0.48835
     0.84209   -0.52915
     0.82573   -0.56961
     0.80914   -0.59562
     0.79240   -0.63943
     0.77592   -0.68678
     0.75938   -0.71316
     0.74260   -0.75248
     0.72602   -0.80941
     0.70961   -0.84536
     0.69297   -0.87479
     0.67635   -0.93675
     0.66006   -0.99982
     0.64378   -1.02745
     0.62720   -1.06234
     0.61064   -1.13894
     0.59427   -1.21272
     0.57771   -1.25833
     0.56085   -1.32165
     0.54421   -1.42422
     0.52788   -1.51668
     0.51131   -1.58244
     0.49444   -1.68274
     0.47806   -1.83770
     0.46225   -1.98156
     0.44638   -2.09778
     0.43048   -2.25839
     0.41544   -2.48708
     0.40133   -2.68104
     0.38736   -2.77155
     0.37296   -2.83919
     0.35845   -2.96638
     0.34441   -3.10534
     0.33062   -3.16822
     0.31651   -3.17395
     0.30205   -3.22095
     0.28788   -3.31870
     0.27408   -3.36969
     0.26013   -3.34944
     0.24591   -3.36155
     0.23201   -3.44511
     0.21862   -3.48227
     0.20522   -3.42937
     0.19157   -3.40037
     0.17818   -3.43672
     0.16519   -3.42564
     0.15213   -3.35165
     0.13910   -3.35859
     0.12674   -3.41451
     0.11480   -3.34047
     0.10269   -3.24686
     0.09098   -3.30115
     0.08007   -3.29878
     0.06948   -3.20197
     0.05935   -3.22747
     0.05020   -3.25075
     0.04174   -3.14475
     0.03403   -3.17033
     0.02750   -3.26581
     0.02202   -3.17736
     0.01734   -3.06831
     0.01340   -3.07565
     0.01015   -3.14532
     0.00751   -3.31219
     0.00539   -3.49489
     0.00371   -3.64554
     0.00239   -3.75721
     0.00138   -3.82818
     0.00063   -3.94145
     0.00014   -4.07498
    -0.00010   -4.14596
    -0.00009   -4.11351
     0.00019   -4.07421
     0.00078   -3.81338
     0.00175   -3.14559
     0.00308   -2.51290
     0.00470   -1.32073
     0.00661    0.09896
     0.00882    0.66297
     0.01129    0.83698
     0.01401    0.90678
     0.01706    0.95016
     0.02059    0.97984
     0.02473    0.99588
     0.02965    0.99990
     0.03557    0.99353
     0.04276    0.97836
     0.05144    0.95617
     0.06187    0.93235
     0.07440    0.90640
     0.08848    0.87977
     0.10337    0.85986
     0.11900    0.83660
     0.13511    0.81884
     0.15117    0.80444
     0.16761    0.78587
     0.18434    0.77359
     0.20084    0.76258
     0.21757    0.74783
     0.23449    0.73870
     0.25108    0.73199
     0.26776    0.71987
     0.28486    0.70969
     0.30178    0.70469
     0.31845    0.69616
     0.33539    0.68470
     0.35246    0.67910
     0.36920    0.67549
     0.38583    0.66559
     0.40274    0.65518
     0.41968    0.65218
     0.43635    0.64877
     0.45299    0.63812
     0.46982    0.62880
     0.48671    0.62741
     0.50351    0.62461
     0.52029    0.61523
     0.53714    0.60889
     0.55397    0.60996
     0.57064    0.60689
     0.58705    0.59638
     0.60331    0.59305
     0.61978    0.60113
     0.63666    0.60706
     0.65378    0.60888
     0.67063    0.61806
     0.68686    0.63096
     0.70285    0.63573
     0.71914    0.63673
     0.73537    0.64300
     0.75107    0.64838
     0.76668    0.64696
     0.78255    0.64608
     0.79820    0.64867
     0.81359    0.64691
     0.82912    0.64231
     0.84461    0.64180
     0.85976    0.63973
     0.87477    0.63408
     0.88973    0.62812
     0.90449    0.62123
     0.91900    0.61308
     0.93328    0.60340
     0.94712    0.59085
     0.96009    0.57445
     0.97211    0.55398
     0.98353    0.52192
     0.99340    0.54861
     1.00000    0.39048
