#      x          Cp  
     1.00000    0.55218
     0.99413   -0.05482
     0.98637   -0.17123
     0.97690   -0.20273
     0.96593   -0.24986
     0.95380   -0.24111
     0.94087   -0.31901
     0.92796   -0.42138
     0.91447   -0.43989
     0.89995   -0.46198
     0.88511   -0.50127
     0.87026   -0.52765
     0.85511   -0.54741
     0.83959   -0.57029
     0.82389   -0.59608
     0.80812   -0.62679
     0.79229   -0.66117
     0.77645   -0.69947
     0.76062   -0.74060
     0.74483   -0.78376
     0.72905   -0.82868
     0.71329   -0.87515
     0.69755   -0.92295
     0.68182   -0.97190
     0.66608   -1.02161
     0.65032   -1.07315
     0.63455   -1.12798
     0.61879   -1.18606
     0.60306   -1.24735
     0.58734   -1.31210
     0.57165   -1.38060
     0.55600   -1.45402
     0.54040   -1.53153
     0.52486   -1.61292
     0.50940   -1.69807
     0.49400   -1.78631
     0.47867   -1.87784
     0.46342   -1.97176
     0.44825   -2.06752
     0.43316   -2.16467
     0.41815   -2.26250
     0.40321   -2.36034
     0.38835   -2.45774
     0.37358   -2.55470
     0.35890   -2.65039
     0.34432   -2.74312
     0.32983   -2.82986
     0.31542   -2.91184
     0.30108   -2.99008
     0.28686   -3.06492
     0.27275   -3.13376
     0.25875   -3.19398
     0.24486   -3.24698
     0.23109   -3.29358
     0.21746   -3.33387
     0.20398   -3.36545
     0.19063   -3.38618
     0.17742   -3.39997
     0.16438   -3.41170
     0.15155   -3.41896
     0.13894   -3.41862
     0.12655   -3.41184
     0.11442   -3.40726
     0.10263   -3.40461
     0.09124   -3.39647
     0.08027   -3.38044
     0.06977   -3.35451
     0.05977   -3.31793
     0.05033   -3.26717
     0.04150   -3.20703
     0.03344   -3.16325
     0.02638   -3.13450
     0.02038   -3.12301
     0.01549   -3.12360
     0.01165   -3.13614
     0.00867   -3.17099
     0.00633   -3.23968
     0.00444   -3.42155
     0.00295   -3.67928
     0.00181   -3.93512
     0.00097   -4.24687
     0.00039   -4.78718
     0.00007   -5.23843
     0.00001   -5.44577
     0.00023   -5.47712
     0.00082   -5.08148
     0.00187   -3.46075
     0.00336   -1.80900
     0.00522   -0.68268
     0.00738    0.06846
     0.00986    0.54531
     0.01277    0.80448
     0.01623    0.92362
     0.02041    0.97890
     0.02557    0.99866
     0.03215    0.99699
     0.04076    0.98192
     0.05192    0.95721
     0.06545    0.92736
     0.08049    0.89717
     0.09631    0.86885
     0.11252    0.84329
     0.12890    0.82062
     0.14537    0.80072
     0.16184    0.78345
     0.17828    0.76831
     0.19469    0.75480
     0.21109    0.74274
     0.22749    0.73193
     0.24387    0.72215
     0.26025    0.71325
     0.27663    0.70519
     0.29301    0.69794
     0.30937    0.69136
     0.32574    0.68533
     0.34211    0.67989
     0.35847    0.67508
     0.37481    0.67075
     0.39114    0.66672
     0.40747    0.66301
     0.42380    0.65984
     0.44010    0.65721
     0.45637    0.65482
     0.47261    0.65249
     0.48885    0.65033
     0.50508    0.64844
     0.52130    0.64680
     0.53749    0.64536
     0.55366    0.64409
     0.56980    0.64291
     0.58593    0.64172
     0.60205    0.64063
     0.61816    0.63974
     0.63424    0.63905
     0.65029    0.63848
     0.66630    0.63801
     0.68229    0.63764
     0.69823    0.63736
     0.71414    0.63719
     0.73001    0.63720
     0.74581    0.63738
     0.76156    0.63782
     0.77721    0.63856
     0.79275    0.63950
     0.80813    0.64072
     0.82333    0.64177
     0.83834    0.64248
     0.85314    0.64264
     0.86767    0.64235
     0.88190    0.64059
     0.89585    0.63619
     0.90960    0.62790
     0.92324    0.61410
     0.93680    0.60067
     0.95003    0.58783
     0.96233    0.57151
     0.97360    0.53362
     0.98400    0.45102
     0.99308    0.32013
     1.00000    0.55218
