#      x          Cp  
     1.00000    0.57422
     0.99437    0.04590
     0.98683    0.11794
     0.97761    0.09140
     0.96662    0.03857
     0.95384    0.00341
     0.93989   -0.00945
     0.92522   -0.03652
     0.91096   -0.04043
     0.89695    0.02404
     0.88260   -0.02248
     0.86732   -0.05583
     0.85124   -0.03421
     0.83555    0.00086
     0.82043   -0.00034
     0.80507   -0.02155
     0.79042    0.00009
     0.77722   -0.00397
     0.76445   -0.10023
     0.75099   -0.23049
     0.73673   -0.28732
     0.72253   -0.33006
     0.70877   -0.46334
     0.69523   -0.63787
     0.68142   -0.75691
     0.66698   -0.82761
     0.65213   -0.91142
     0.63744   -1.00590
     0.62281   -1.06057
     0.60757   -1.07134
     0.59163   -1.10712
     0.57587   -1.18718
     0.56053   -1.23889
     0.54492   -1.23955
     0.52866   -1.24958
     0.51234   -1.29700
     0.49630   -1.33249
     0.48010   -1.33547
     0.46349   -1.34640
     0.44689   -1.38559
     0.43052   -1.41536
     0.41402   -1.42057
     0.39725   -1.43782
     0.38059   -1.48006
     0.36417   -1.50883
     0.34767   -1.51679
     0.33096   -1.53724
     0.31431   -1.57338
     0.29783   -1.60661
     0.28144   -1.63715
     0.26508   -1.66830
     0.24879   -1.70068
     0.23258   -1.73538
     0.21647   -1.77037
     0.20039   -1.80676
     0.18447   -1.85993
     0.16884   -1.91663
     0.15333   -1.95510
     0.13796   -2.02611
     0.12311   -2.11931
     0.10865   -2.18540
     0.09473   -2.31161
     0.08179   -2.45268
     0.06969   -2.53703
     0.05863   -2.70032
     0.04893   -2.84966
     0.04042   -2.93252
     0.03315   -3.12440
     0.02709   -3.34088
     0.02203   -3.45397
     0.01773   -3.58271
     0.01409   -3.87975
     0.01103   -4.22745
     0.00845   -4.54310
     0.00629   -4.82337
     0.00446   -5.10127
     0.00294   -5.52668
     0.00174   -5.89976
     0.00086   -5.96836
     0.00031   -5.68233
     0.00003   -5.24873
     0.00002   -4.72078
     0.00027   -4.13878
     0.00085   -3.38621
     0.00186   -2.18129
     0.00328   -1.05528
     0.00506   -0.31572
     0.00715    0.16094
     0.00958    0.49275
     0.01241    0.71397
     0.01571    0.85498
     0.01955    0.93654
     0.02403    0.98093
     0.02931    0.99898
     0.03569    0.99578
     0.04347    0.97598
     0.05270    0.94229
     0.06361    0.90136
     0.07635    0.85341
     0.09029    0.80369
     0.10537    0.75779
     0.12118    0.71048
     0.13728    0.66883
     0.15380    0.63083
     0.17055    0.59457
     0.18742    0.56194
     0.20446    0.53181
     0.22164    0.50335
     0.23883    0.47549
     0.25600    0.45054
     0.27334    0.42924
     0.29077    0.40637
     0.30811    0.38361
     0.32548    0.36588
     0.34304    0.34794
     0.36048    0.32611
     0.37777    0.30900
     0.39530    0.29772
     0.41298    0.27979
     0.43031    0.25788
     0.44748    0.24681
     0.46497    0.23949
     0.48243    0.21891
     0.49942    0.19784
     0.51632    0.19393
     0.53355    0.18921
     0.55060    0.16447
     0.56711    0.14421
     0.58368    0.14726
     0.60061    0.14342
     0.61714    0.11335
     0.63306    0.09458
     0.64925    0.10511
     0.66586    0.10156
     0.68155    0.07077
     0.69619    0.06950
     0.71082    0.10889
     0.72544    0.11220
     0.73876    0.06195
     0.75073    0.05561
     0.76232    0.14866
     0.77454    0.25593
     0.78810    0.30364
     0.80289    0.32243
     0.81775    0.37293
     0.83205    0.41107
     0.84670    0.41208
     0.86225    0.41893
     0.87779    0.44118
     0.89235    0.46943
     0.90662    0.45989
     0.92149    0.44975
     0.93566    0.46280
     0.94882    0.45904
     0.96082    0.45542
     0.97136    0.44368
     0.98035    0.44104
     0.98791    0.33333
     0.99453    0.23017
     1.00000    0.57422
