#      x          Cp  
     1.00000    0.51910
     0.99168   -0.03720
     0.98041    0.04889
     0.96780    0.00733
     0.95394   -0.02212
     0.93901   -0.04777
     0.92321   -0.09234
     0.90668   -0.13447
     0.88964   -0.16394
     0.87216   -0.24371
     0.85432   -0.25246
     0.83626   -0.34349
     0.81784   -0.39757
     0.79923   -0.44384
     0.78051   -0.56698
     0.76135   -0.64248
     0.74188   -0.73759
     0.72293   -0.87961
     0.70425   -0.96798
     0.68534   -1.05242
     0.66666   -1.16035
     0.64806   -1.22142
     0.62896   -1.26314
     0.60982   -1.35600
     0.59097   -1.42171
     0.57165   -1.43266
     0.55194   -1.49581
     0.53260   -1.57424
     0.51300   -1.56853
     0.49265   -1.59800
     0.47269   -1.70419
     0.45305   -1.73200
     0.43281   -1.74367
     0.41277   -1.85192
     0.39327   -1.90283
     0.37323   -1.89113
     0.35317   -2.00349
     0.33394   -2.09336
     0.31442   -2.07054
     0.29471   -2.18064
     0.27600   -2.30746
     0.25724   -2.27569
     0.23825   -2.38374
     0.22035   -2.54084
     0.20264   -2.50269
     0.18488   -2.62820
     0.16835   -2.80817
     0.15221   -2.74764
     0.13628   -2.87802
     0.12161   -3.04278
     0.10756   -2.95228
     0.09413   -3.09251
     0.08210   -3.24838
     0.07105   -3.14475
     0.06093   -3.27384
     0.05216   -3.48548
     0.04452   -3.37014
     0.03768   -3.28319
     0.03168   -3.47564
     0.02656   -3.61615
     0.02218   -3.50825
     0.01836   -3.37899
     0.01498   -3.41784
     0.01204   -3.54923
     0.00952   -3.62152
     0.00739   -3.56760
     0.00557   -3.49136
     0.00400   -3.48192
     0.00267   -3.59627
     0.00160   -3.68497
     0.00080   -3.69009
     0.00027   -3.60100
     0.00002   -3.41981
     0.00003   -3.13148
     0.00033   -2.73898
     0.00098   -2.20611
     0.00204   -1.41835
     0.00346   -0.70880
     0.00515   -0.25337
     0.00708    0.05187
     0.00931    0.33408
     0.01192    0.61409
     0.01491    0.80202
     0.01821    0.89986
     0.02171    0.95179
     0.02544    0.98475
     0.02949    0.99922
     0.03397    0.99750
     0.03888    0.98762
     0.04416    0.96989
     0.04979    0.94254
     0.05587    0.91546
     0.06255    0.89688
     0.06991    0.87470
     0.07786    0.83458
     0.08634    0.79470
     0.09555    0.78147
     0.10566    0.76760
     0.11648    0.72453
     0.12777    0.69143
     0.13967    0.69539
     0.15228    0.68164
     0.16535    0.63603
     0.17874    0.62286
     0.19260    0.63632
     0.20694    0.61182
     0.22157    0.57348
     0.23645    0.58054
     0.25167    0.58901
     0.26717    0.55517
     0.28283    0.53168
     0.29866    0.55006
     0.31472    0.54950
     0.33099    0.51380
     0.34742    0.50405
     0.36397    0.52431
     0.38068    0.51390
     0.39753    0.48010
     0.41446    0.48195
     0.43145    0.50045
     0.44850    0.48124
     0.46558    0.45126
     0.48266    0.46337
     0.49977    0.47962
     0.51692    0.45398
     0.53408    0.42931
     0.55131    0.44823
     0.56863    0.45822
     0.58595    0.42835
     0.60322    0.41637
     0.62057    0.44201
     0.63799    0.44094
     0.65524    0.41312
     0.67230    0.42539
     0.68935    0.45483
     0.70633    0.44149
     0.72299    0.43255
     0.73923    0.47238
     0.75520    0.49023
     0.77111    0.46864
     0.78670    0.48716
     0.80162    0.52672
     0.81618    0.51224
     0.83062    0.49428
     0.84454    0.53491
     0.85778    0.54732
     0.87077    0.50992
     0.88343    0.52393
     0.89535    0.56065
     0.90672    0.52654
     0.91775    0.50316
     0.92821    0.55289
     0.93808    0.54026
     0.94762    0.48330
     0.95683    0.53315
     0.96559    0.51860
     0.97419    0.44615
     0.98280    0.50443
     0.99159    0.33438
     1.00000    0.51910
