#      x          Cp  
     1.00000    0.46549
     0.99507    0.05980
     0.98873    0.07003
     0.98076    0.12109
     0.97037    0.05946
     0.95762    0.04596
     0.94341    0.01945
     0.92869   -0.00422
     0.91380   -0.02946
     0.89884   -0.05027
     0.88389   -0.07335
     0.86896   -0.09472
     0.85400   -0.11311
     0.83904   -0.13278
     0.82411   -0.15157
     0.80918   -0.16863
     0.79424   -0.18541
     0.77930   -0.20187
     0.76437   -0.21751
     0.74942   -0.23286
     0.73446   -0.24846
     0.71951   -0.26404
     0.70456   -0.27947
     0.68960   -0.29490
     0.67465   -0.31045
     0.65971   -0.32574
     0.64475   -0.34033
     0.62978   -0.35504
     0.61480   -0.37064
     0.59981   -0.38691
     0.58484   -0.40383
     0.56986   -0.42134
     0.55490   -0.43955
     0.53995   -0.45827
     0.52501   -0.47706
     0.51007   -0.49584
     0.49514   -0.51457
     0.48021   -0.53322
     0.46526   -0.55231
     0.45031   -0.57215
     0.43535   -0.59308
     0.42038   -0.61568
     0.40543   -0.63981
     0.39048   -0.66573
     0.37556   -0.69315
     0.36066   -0.72158
     0.34577   -0.75103
     0.33090   -0.78115
     0.31601   -0.81244
     0.30113   -0.84675
     0.28627   -0.88445
     0.27143   -0.92454
     0.25661   -0.96732
     0.24181   -1.01429
     0.22704   -1.06590
     0.21231   -1.12232
     0.19762   -1.18393
     0.18297   -1.25077
     0.16835   -1.32632
     0.15377   -1.41521
     0.13929   -1.52251
     0.12498   -1.65230
     0.11091   -1.80893
     0.09718   -1.99086
     0.08384   -2.19637
     0.07096   -2.42274
     0.05860   -2.67375
     0.04702   -2.97640
     0.03667   -3.34889
     0.02792   -3.79210
     0.02098   -4.37538
     0.01562   -5.03423
     0.01147   -5.74493
     0.00825   -6.52149
     0.00573   -7.34799
     0.00374   -8.23328
     0.00218   -9.26095
     0.00107   -9.80509
     0.00038   -9.73781
     0.00004   -9.25017
     0.00004   -7.79885
     0.00038   -5.74657
     0.00107   -3.86499
     0.00218   -2.21984
     0.00374   -0.96659
     0.00573   -0.16521
     0.00825    0.35815
     0.01147    0.69088
     0.01562    0.88482
     0.02098    0.97809
     0.02792    0.99959
     0.03667    0.97261
     0.04702    0.91815
     0.05860    0.85311
     0.07096    0.78838
     0.08384    0.72998
     0.09718    0.67967
     0.11091    0.63687
     0.12498    0.60010
     0.13929    0.56746
     0.15377    0.53793
     0.16835    0.51076
     0.18297    0.48577
     0.19762    0.46306
     0.21231    0.44277
     0.22704    0.42438
     0.24181    0.40753
     0.25661    0.39189
     0.27143    0.37725
     0.28627    0.36377
     0.30113    0.35133
     0.31601    0.33935
     0.33090    0.32777
     0.34577    0.31712
     0.36066    0.30745
     0.37556    0.29853
     0.39048    0.29025
     0.40543    0.28233
     0.42038    0.27453
     0.43535    0.26687
     0.45031    0.25919
     0.46526    0.25169
     0.48021    0.24447
     0.49514    0.23763
     0.51007    0.23140
     0.52501    0.22572
     0.53995    0.22056
     0.55490    0.21584
     0.56986    0.21129
     0.58484    0.20678
     0.59981    0.20232
     0.61480    0.19784
     0.62978    0.19330
     0.64475    0.18853
     0.65971    0.18395
     0.67465    0.18006
     0.68960    0.17657
     0.70456    0.17321
     0.71951    0.17006
     0.73446    0.16719
     0.74942    0.16449
     0.76437    0.16174
     0.77930    0.15931
     0.79424    0.15754
     0.80918    0.15606
     0.82411    0.15482
     0.83904    0.15486
     0.85400    0.15551
     0.86896    0.15511
     0.88389    0.15687
     0.89884    0.15976
     0.91380    0.16045
     0.92869    0.16427
     0.94341    0.16610
     0.95762    0.16962
     0.97037    0.16145
     0.98076    0.19827
     0.98873    0.13208
     0.99507    0.10099
     1.00000    0.46549
