#      x          Cp  
     0.99893    0.40001
     0.98739    0.12327
     0.97387    0.17181
     0.95921    0.13564
     0.94327    0.11024
     0.92618    0.08764
     0.90803    0.05486
     0.88905    0.03486
     0.86925   -0.01214
     0.84883   -0.02043
     0.82781   -0.08559
     0.80627   -0.09504
     0.78447   -0.16069
     0.76237   -0.19059
     0.74030   -0.23170
     0.71823   -0.31061
     0.69619   -0.32647
     0.67447   -0.41040
     0.65296   -0.48057
     0.63164   -0.48532
     0.61062   -0.59112
     0.58983   -0.66797
     0.56918   -0.66066
     0.54873   -0.77996
     0.52831   -0.91616
     0.50775   -0.93760
     0.48724   -1.06240
     0.46696   -1.26033
     0.44667   -1.34159
     0.42659   -1.50020
     0.40726   -1.80202
     0.38853   -2.03905
     0.37019   -2.25694
     0.35260   -2.58039
     0.33571   -2.80681
     0.31879   -2.78463
     0.30167   -2.87216
     0.28505   -3.13901
     0.26888   -3.17238
     0.25256   -3.06261
     0.23638   -3.22294
     0.22093   -3.37104
     0.20577   -3.17441
     0.19063   -3.11558
     0.17622   -3.33651
     0.16270   -3.26539
     0.14959   -3.01084
     0.13700   -3.12706
     0.12544   -3.31976
     0.11480   -3.08551
     0.10467   -2.81896
     0.09507   -2.95065
     0.08628   -3.14852
     0.07830   -2.96827
     0.07087   -2.66516
     0.06382   -2.63879
     0.05725   -2.85889
     0.05132   -2.94592
     0.04599   -2.66616
     0.04104   -2.37345
     0.03631   -2.33139
     0.03183   -2.56089
     0.02775   -2.74893
     0.02416   -2.58198
     0.02093   -2.24807
     0.01788   -2.01975
     0.01489   -2.13698
     0.01209   -2.42728
     0.00965   -2.59177
     0.00762   -2.34044
     0.00591   -2.00126
     0.00437   -1.76516
     0.00293   -1.80153
     0.00172   -1.88328
     0.00087   -1.76371
     0.00040   -1.37058
     0.00019   -0.98199
     0.00012   -0.66500
     0.00007   -0.43866
    -0.00002   -0.34677
    -0.00017   -0.43298
    -0.00017   -0.53472
     0.00020   -0.55436
     0.00114   -0.27046
     0.00272    0.29374
     0.00453    0.57024
     0.00624    0.63790
     0.00798    0.69049
     0.01002    0.78246
     0.01249    0.89325
     0.01528    0.95395
     0.01817    0.98074
     0.02107    0.99351
     0.02405    0.99962
     0.02721    0.99802
     0.03064    0.99023
     0.03431    0.98066
     0.03814    0.97064
     0.04205    0.95551
     0.04607    0.93361
     0.05027    0.90528
     0.05476    0.88185
     0.05955    0.86778
     0.06464    0.85781
     0.06997    0.83933
     0.07555    0.80657
     0.08142    0.76615
     0.08767    0.73671
     0.09439    0.72651
     0.10158    0.71999
     0.10922    0.69195
     0.11731    0.64457
     0.12594    0.60271
     0.13524    0.59462
     0.14527    0.59211
     0.15601    0.55454
     0.16742    0.49829
     0.17964    0.47808
     0.19282    0.48076
     0.20691    0.44237
     0.22175    0.38598
     0.23747    0.38008
     0.25421    0.37076
     0.27166    0.31223
     0.28969    0.28889
     0.30860    0.29252
     0.32808    0.24111
     0.34782    0.20911
     0.36819    0.21629
     0.38891    0.17028
     0.40950    0.13695
     0.43047    0.15171
     0.45164    0.11452
     0.47237    0.08037
     0.49323    0.10101
     0.51409    0.06960
     0.53414    0.02793
     0.55412    0.06764
     0.57446    0.07659
     0.59402    0.05049
     0.61303    0.12464
     0.63274    0.20959
     0.65340    0.22699
     0.67443    0.27187
     0.69573    0.31809
     0.71768    0.32505
     0.73990    0.36035
     0.76201    0.37558
     0.78442    0.38373
     0.80648    0.41038
     0.82840    0.40423
     0.85001    0.43172
     0.87118    0.42748
     0.89196    0.44950
     0.91207    0.44454
     0.93160    0.45998
     0.95028    0.45874
     0.96807    0.46376
     0.98496    0.47038
     0.99893    0.40001
