#      x          Cp  
     1.00000    0.50437
     0.98793    0.29933
     0.97257    0.24500
     0.95568    0.17805
     0.93733    0.12810
     0.91773    0.07363
     0.89711    0.02429
     0.87566   -0.01265
     0.85353   -0.05988
     0.83090   -0.10628
     0.80800   -0.15555
     0.78492   -0.19610
     0.76161   -0.23338
     0.73819   -0.26944
     0.71484   -0.31055
     0.69147   -0.36380
     0.66812   -0.41103
     0.64487   -0.47193
     0.62161   -0.54089
     0.59837   -0.60546
     0.57525   -0.66924
     0.55234   -0.75149
     0.52969   -0.84991
     0.50730   -0.94582
     0.48536   -1.06548
     0.46418   -1.20396
     0.44380   -1.34745
     0.42431   -1.52203
     0.40587   -1.73171
     0.38856   -1.98116
     0.37226   -2.23396
     0.35666   -2.43219
     0.34149   -2.58890
     0.32658   -2.70050
     0.31182   -2.78392
     0.29719   -2.86000
     0.28271   -2.92832
     0.26838   -2.98900
     0.25422   -3.03774
     0.24022   -3.06239
     0.22639   -3.06869
     0.21274   -3.07053
     0.19932   -3.06735
     0.18618   -3.05477
     0.17335   -3.03556
     0.16089   -3.01570
     0.14884   -2.99382
     0.13728   -2.97018
     0.12623   -2.93908
     0.11572   -2.88865
     0.10575   -2.83091
     0.09636   -2.78729
     0.08756   -2.74538
     0.07936   -2.68055
     0.07172   -2.60391
     0.06463   -2.55154
     0.05807   -2.52730
     0.05204   -2.49167
     0.04650   -2.41791
     0.04140   -2.33896
     0.03670   -2.29305
     0.03237   -2.28824
     0.02843   -2.27397
     0.02484   -2.20574
     0.02157   -2.09735
     0.01856   -2.00733
     0.01576   -2.00149
     0.01319   -2.06473
     0.01090   -2.10175
     0.00891   -2.02679
     0.00719   -1.83448
     0.00567   -1.64873
     0.00429   -1.52654
     0.00301   -1.55043
     0.00193   -1.58703
     0.00111   -1.53705
     0.00059   -1.27811
     0.00031   -0.96610
     0.00017   -0.68377
     0.00011   -0.45304
     0.00008   -0.28169
     0.00001   -0.18133
    -0.00011   -0.20455
    -0.00019   -0.26822
    -0.00010   -0.31163
     0.00030   -0.27783
     0.00112   -0.04847
     0.00245    0.36324
     0.00405    0.61610
     0.00563    0.70773
     0.00720    0.75988
     0.00890    0.81447
     0.01090    0.88525
     0.01324    0.94429
     0.01589    0.97876
     0.01875    0.99501
     0.02179    0.99997
     0.02503    0.99711
     0.02849    0.98834
     0.03219    0.97499
     0.03615    0.95804
     0.04038    0.93794
     0.04491    0.91493
     0.04977    0.88954
     0.05500    0.86260
     0.06065    0.83480
     0.06678    0.80647
     0.07343    0.77805
     0.08068    0.74954
     0.08860    0.71920
     0.09724    0.68617
     0.10669    0.65234
     0.11704    0.61886
     0.12837    0.58434
     0.14074    0.54803
     0.15419    0.51257
     0.16875    0.47837
     0.18440    0.44252
     0.20106    0.40776
     0.21866    0.37593
     0.23705    0.34064
     0.25600    0.30454
     0.27539    0.27134
     0.29516    0.24341
     0.31530    0.21848
     0.33573    0.19346
     0.35623    0.16332
     0.37665    0.13502
     0.39705    0.11367
     0.41736    0.08832
     0.43745    0.06489
     0.45742    0.05245
     0.47728    0.03419
     0.49678    0.00939
     0.51585   -0.00868
     0.53461   -0.02039
     0.55313   -0.02602
     0.57149   -0.02113
     0.58983   -0.00226
     0.60850    0.04394
     0.62798    0.10532
     0.64824    0.14505
     0.66868    0.18666
     0.68903    0.23303
     0.70949    0.25331
     0.73023    0.26778
     0.75106    0.28215
     0.77209    0.28402
     0.79333    0.29179
     0.81458    0.29348
     0.83601    0.28628
     0.85743    0.28085
     0.87848    0.27397
     0.89891    0.27760
     0.91860    0.29631
     0.93749    0.33081
     0.95540    0.36123
     0.97211    0.39020
     0.98754    0.44279
     1.00000    0.50437
